name,condition1,condition2,condition3,condition4
balieve3,0,0,0.038461538,0.24
f2san,0.333333333,1.653846154,1,0.36
gatimuti,2.52,2.2,2.92,2.5
gimken,0,0.076923077,0.076923077,0
glueck,0,0.076923077,0.038461538,0.076923077
hiraga,0,0,0,0.36
i_shida627,0.269230769,0.115384615,0,0.153846154
ik-aki,0.24,0.2,0.384615385,0.36
junjun,0.28,0,0.076923077,0.153846154
kopewo,0.115384615,0.230769231,0,0.423076923
kubo,0.24,0.24,0.269230769,0.791666667
matsuhashi,0,0,0,0
miwa,0,0.038461538,0.115384615,0
morry_bk,0.04,0.157894737,0.192307692,0.076923077
natane,0.04,0.083333333,0,0.041666667
rui,0.291666667,0.52,0.44,0.307692308
sakie_bali,0.068965517,0,0,0
shizumizu,0,0.2,0.04,0.230769231
sun_maru_23,0.04,0.08,0,0.192307692
tamafi,0.208333333,0.12,0.12,0.04
tatsuya,0,0,0,0.2
tgtgtg,0.289473684,0.25,0.147058824,0.388888889
tonohiro,0.054054054,0.285714286,0.054054054,0
tsumugi,0.090909091,0,0,0.454545455
