name,condition1,condition2,condition3,condition4
balieve3,5.833333333,6.541666667,6.115384615,5.2
f2san,5.208333333,2.076923077,4.24,4.4
gatimuti,3.16,3.8,2.8,2.923076923
gimken,6.2,6.615384615,6.192307692,6.692307692
glueck,7.038461538,6.653846154,7.576923077,6.192307692
hiraga,6.391304348,7.16,6.28,5.96
i_shida627,5.846153846,6.538461538,5.961538462,6.192307692
ik-aki,5.8,5.96,5.884615385,5.84
junjun,5.32,6.192307692,6.538461538,6.230769231
kopewo,6.961538462,5.923076923,5.842105263,5.346153846
kubo,5.84,4.84,4.884615385,4.416666667
matsuhashi,7.2,7.6,6.461538462,7.04
miwa,7.086956522,6.269230769,6.615384615,6.038461538
morry_bk,5.16,5.473684211,5.576923077,5.5
natane,5.28,5.416666667,6.5,5.708333333
rui,5.541666667,5.32,4.96,5.923076923
sakie_bali,7.275862069,6.625,7.5,6
shizumizu,6.92,5.84,7.12,6.153846154
sun_maru_23,4.36,5.16,4.653846154,5
tamafi,5.583333333,6.4,5.88,5.72
tatsuya,6.884615385,6.961538462,7.04,6.84
tgtgtg,2.684210526,2.638888889,3.941176471,3.861111111
tonohiro,6.513513514,6.085714286,7.459459459,7.805555556
tsumugi,4.636363636,5.185185185,6.540540541,4.090909091
