name,condition1,condition2,condition3,condition4
balieve3,2.75,5.041666667,3.538461538,0.96
f2san,6.375,5.423076923,7.64,7.96
gatimuti,-0.16,0.4,1,-0.884615385
gimken,8.76,8.384615385,7.5,8.230769231
glueck,5.115384615,4.576923077,7.692307692,3.346153846
hiraga,4.913043478,6.04,4.6,4
i_shida627,2.807692308,3.961538462,2.730769231,3.269230769
ik-aki,5.32,4.8,5.192307692,4.76
junjun,0.96,3.884615385,5.153846154,4.384615385
kopewo,6.384615385,5.153846154,4.789473684,4.076923077
kubo,4.24,1.16,1.615384615,1.208333333
matsuhashi,6.24,7.6,5.384615385,6.96
miwa,7.52173913,5,5.576923077,3.346153846
morry_bk,5.36,5.105263158,4.692307692,4.961538462
natane,1.64,0.5,3,2.083333333
rui,2.25,1.92,1.56,2.769230769
sakie_bali,6.448275862,4.875,6.576923077,4.636363636
shizumizu,4.84,2.12,5.08,2.461538462
sun_maru_23,1.28,3,0.269230769,2.423076923
tamafi,4.208333333,3.96,3.44,2.08
tatsuya,6.038461538,6.653846154,5.84,5.92
tgtgtg,-5.605263158,-6.388888889,-0.852941176,-2.75
tonohiro,4.513513514,3.514285714,6.540540541,6.416666667
tsumugi,0.606060606,1.259259259,4.378378378,-0.818181818
