name,condition1,condition2,condition3,condition4
balieve3,0.416666667,0.5,0.384615385,0.56
f2san,2,3.769230769,2.84,3.04
gatimuti,1.04,0.84,1.6,1.192307692
gimken,1.72,1.269230769,1.346153846,1.192307692
glueck,0.192307692,0.307692308,0.538461538,0.346153846
hiraga,0.608695652,0.28,0.6,0.68
i_shida627,0.538461538,0.346153846,0.461538462,0.307692308
ik-aki,1.12,0.8,0.923076923,0.92
junjun,0.32,0.423076923,0.5,0.461538462
kopewo,0.423076923,0.846153846,0.842105263,1.076923077
kubo,0.8,0.76,0.730769231,0.958333333
matsuhashi,0.48,0.6,0.730769231,0.76
miwa,0.782608696,0.692307692,0.615384615,0.423076923
morry_bk,1.52,1.315789474,1.076923077,1.230769231
natane,0.6,0.208333333,0.15,0.333333333
rui,0.625,0.52,0.76,0.423076923
sakie_bali,0.379310345,0.5,0.384615385,0.909090909
shizumizu,0.2,0.28,0.24,0.153846154
sun_maru_23,1.28,0.96,0.730769231,0.923076923
tamafi,0.791666667,0.32,0.52,0.28
tatsuya,0.615384615,0.576923077,0.36,0.6
tgtgtg,0.657894737,0.527777778,0.882352941,0.5
tonohiro,0.540540541,0.485714286,0.351351351,0.138888889
tsumugi,0.787878788,0.518518519,0.351351351,0.772727273
