name,condition1,condition2,condition3,condition4
balieve3,1.958333333,1.25,1.653846154,2.56
f2san,1.25,1.269230769,0.64,1.08
gatimuti,1.44,1.44,1.04,1.846153846
gimken,0.44,0.346153846,0.653846154,0.423076923
glueck,1.153846154,1.307692308,0.461538462,1.730769231
hiraga,1.347826087,0.84,1.44,1.48
i_shida627,1.923076923,1.576923077,2.076923077,1.692307692
ik-aki,1.24,1.28,1.076923077,1.28
junjun,2.36,1.576923077,1.153846154,1.307692308
kopewo,0.653846154,1.115384615,1.368421053,1.5
kubo,1.48,2.48,2.230769231,2.166666667
matsuhashi,0.96,0.6,1.269230769,0.8
miwa,0.565217391,1.307692308,1.076923077,1.769230769
morry_bk,1.4,1.421052632,1.423076923,1.461538462
natane,2.4,2.625,1.9,2.125
rui,2.125,1.96,2.24,1.846153846
sakie_bali,0.75862069,1.375,0.846153846,1.590909091
shizumizu,1.24,2.04,1.24,1.884615385
sun_maru_23,2.8,2,2.923076923,2.115384615
tamafi,1.375,1.48,1.68,2.08
tatsuya,1.038461538,0.730769231,0.96,0.96
tgtgtg,4.657894737,4.916666667,3.205882353,3.611111111
tonohiro,1.513513514,1.628571429,0.783783784,0.833333333
tsumugi,2.757575758,2.481481481,1.432432432,3
