senti,bar
0.400000006,4
0.899999976,4
0.300000012,4
-0.5,4
0.200000003,4
0.899999976,4
-0.800000012,4
0.5,4
-0.100000001,2
0.899999976,6
0.300000012,6
0.200000003,6
-0.800000012,6
-0.200000003,4
-0.5,4
-0.300000012,4
0.200000003,4
0.300000012,4
0.200000003,2
-0.5,8
0.200000003,0
-0.5,6
-0.100000001,6
-0.200000003,6
-0.600000024,6
0.5,6
0.400000006,6
0.899999976,6
0.5,6
-0.100000001,4
0.899999976,4
0.899999976,6
-0.5,6
0.899999976,6
0.899999976,6
0.400000006,6
0.699999988,6
0.200000003,6
-0.800000012,6
0.200000003,6
-0.400000006,6
-0.300000012,6
0.800000012,8
0.300000012,8
0.699999988,8
0.100000001,10
-0.200000003,6
-0.200000003,6
-0.100000001,6
0.899999976,6
0.100000001,6
0.300000012,6
-0.400000006,6
-0.100000001,6
-0.400000006,8
0.300000012,8
-0.200000003,10
-0.300000012,8
-0.400000006,8
-0.5,8
-0.5,8
-0.100000001,8
0.300000012,8
-0.200000003,8
0.699999988,4
0.400000006,6
0.300000012,8
0.300000012,10
0.100000001,8
0.400000006,8
0.899999976,8
0.300000012,6
0.300000012,6
0.899999976,6
0.100000001,8
0.899999976,8
0.300000012,8
0.899999976,8
0.899999976,8
0.899999976,10
0.899999976,10
0.899999976,6
-0.400000006,8
0.899999976,6
0.800000012,8
0.100000001,8
-0.5,6
0.400000006,6
0.200000003,10
0.699999988,10
0.899999976,10
-0.100000001,8
0.100000001,6
-0.600000024,8
0.600000024,6
-0.200000003,6
0.100000001,6
-0.5,8
0.100000001,8
0.200000003,6
0.300000012,6
-0.800000012,4
0.300000012,10
-0.200000003,10
0.100000001,10
-0.200000003,8
-0.100000001,8
0.300000012,8
0.300000012,8
0.100000001,10
-0.100000001,10
-0.5,10
0.899999976,8
0.300000012,8
0.200000003,4
0.600000024,4
-0.699999988,2
0.100000001,2
0.200000003,2
-0.400000006,2
-0.100000001,6
0.100000001,0
0.300000012,8
-0.400000006,4
-0.699999988,4
0.300000012,4
-0.600000024,4
0.800000012,6
-0.600000024,4
0.600000024,4
0.899999976,4
-0.800000012,2
0.699999988,2
-0.800000012,2
-0.5,10
0.100000001,10
0.200000003,10
0.400000006,10
0.100000001,10
0.200000003,10
0.400000006,10
-0.5,10
-0.300000012,10
-0.100000001,10
0.899999976,10
-0.400000006,10
-0.100000001,6
-0.699999988,6
0.899999976,4
-0.600000024,4
-0.300000012,6
0.300000012,4
0.899999976,2
-0.5,2
0.899999976,8
0.200000003,10
0.200000003,8
0.600000024,6
-0.300000012,4
0.100000001,8
0.800000012,8
-0.200000003,8
0.899999976,8
0.300000012,8
-0.100000001,8
0.899999976,6
0.800000012,8
-0.300000012,8
0.899999976,2
0.800000012,4
0.200000003,4
0.699999988,8
-0.600000024,0
0.100000001,4
0.899999976,0
0.400000006,4
-0.300000012,4
-0.100000001,4
-0.699999988,2
0.899999976,6
0.200000003,6
-0.600000024,8
0.200000003,6
0.400000006,8
0.899999976,10
-0.200000003,6
0.100000001,4
0.899999976,6
-0.699999988,4
0.899999976,6
0.300000012,8
0.899999976,8
0.300000012,10
0.600000024,6
0.100000001,10
0.400000006,10
0.899999976,6
0.899999976,6
0.800000012,8
0.899999976,10
0.699999988,10
-0.400000006,10
-0.600000024,10
0.899999976,10
0.699999988,10
0.300000012,10
0.800000012,10
0.899999976,10
-0.400000006,10
0.899999976,10
0.899999976,10
0.100000001,8
0.699999988,8
0.600000024,6
0.100000001,6
-0.300000012,4
-0.5,8
0.300000012,8
-0.100000001,10
0.600000024,10
-0.400000006,8
0.600000024,8
0.899999976,10
0.100000001,10
0.899999976,8
0.899999976,8
0.899999976,8
-0.100000001,4
0.699999988,4
0.899999976,6
0.699999988,8
0.5,8
0.699999988,8
0.699999988,8
0.800000012,6
0.100000001,8
-0.200000003,8
-0.200000003,6
-0.300000012,6
0.100000001,4
-0.5,4
0.899999976,6
0.200000003,8
0.899999976,10
0.100000001,10
0.200000003,8
-0.200000003,6
0.899999976,8
-0.5,8
-0.100000001,8
-0.400000006,8
-0.600000024,8
0.400000006,8
0.100000001,8
-0.699999988,0
-0.300000012,6
0.200000003,4
-0.100000001,8
0.899999976,8
0.899999976,10
0.300000012,6
-0.5,6
0.600000024,4
0.899999976,6
-0.800000012,6
0.5,6
0.200000003,6
0.200000003,8
0.699999988,8
0.200000003,8
0.899999976,6
-0.699999988,0
-0.800000012,0
0.300000012,6
0.899999976,6
0.899999976,6
-0.300000012,8
0.899999976,8
-0.600000024,0
-0.300000012,6
-0.699999988,6
0.800000012,6
-0.5,4
0.300000012,4
0.100000001,4
0.600000024,10
0.5,6
-0.200000003,6
0.899999976,8
0.800000012,10
-0.100000001,2
0.100000001,4
0.200000003,4
0.899999976,8
0.899999976,8
0.800000012,10
0.800000012,10
0.800000012,10
0.5,10
0.899999976,10
0.899999976,8
0.899999976,8
0.699999988,10
0.600000024,8
0.899999976,8
0.600000024,6
-0.400000006,4
0.899999976,8
0.100000001,8
0.899999976,8
0.899999976,10
0.800000012,10
-0.300000012,10
0.899999976,10
-0.800000012,6
0.899999976,6
-0.100000001,0
-0.899999976,0
-0.100000001,0
0.100000001,0
0.800000012,0
-0.699999988,0
0.899999976,0
-0.100000001,0
0.400000006,0
0.800000012,0
-0.600000024,0
-0.100000001,0
-0.800000012,0
-0.800000012,0
-0.5,0
