name,condition1,condition2,condition3,condition4
believe3,207,125,145,150
f2san,279,181,218,245
gatimuti,128,138,102,81
gimken,412,417,397,390
glueck,398,443,432,426
hiraga,217,148,142,128
i_shida627,197,225,183,142
ik_aki,219,240,233,253
junjun,201,234,229,257
kopewo,207,157,199,180
kubo,277,274,220,183
matsuhashi,255,289,245,321
miwa,315,211,304,211
morry_bk,269,271,236,292
natane,328,299,300,316
rui,110,97,138,102
sakie_bali,337,290,307,286
shizumizu,199,147,236,141
sun_maru_23,219,190,274,215
tamafi,294,225,274,250
tatsuya,474,475,443,484
tgtgtg,217,137,243,189
tonohiro,319,261,339,358
tsumugi,172,152,191,150
