name,condition1,condition2,condition3,condition4
believe3,123,97,95,101
f2san,148,108,134,147
gatimuti,91,82,85,55
gimken,246,227,227,239
glueck,199,243,199,203
hiraga,136,97,90,91
i_shida627,136,139,111,142
ik_aki,124,138,137,147
junjun,123,152,155,167
kopewo,135,108,137,112
kubo,123,73,99,110
matsuhashi,166,166,133,185
miwa,150,112,128,104
morry_bk,158,156,147,151
natane,166,179,171,179
rui,70,62,71,53
sakie_bali,171,168,174,162
shizumizu,129,100,150,89
sun_maru_23,121,106,148,119
tamafi,131,110,138,119
tatsuya,238,230,197,230
tgtgtg,107,68,106,113
tonohiro,155,111,148,143
tsumugi,103,84,104,92
