FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\believe3\condition1.wav,1,1,8,8,0,1,0,10,2021/10/18/13:18:56,00:00:00.0,00:00:02.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.6,2,3.7,9.7
D:\prog\exp_data\voice\believe3\condition1.wav,2,1,8,8,0,1,0,10,2021/10/18/13:18:56,00:00:02.3,00:00:08.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6,5.7,7.8,9.7
D:\prog\exp_data\voice\believe3\condition1.wav,3,1,6,6,0,2,1,8,2021/10/18/13:18:56,00:00:08.3,00:00:14.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.2,6.5,5.1,9.7
D:\prog\exp_data\voice\believe3\condition1.wav,4,2,7,1,7,0,0,-6,2021/10/18/13:18:56,00:00:25.8,00:00:26.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,11,0,0,0,3.8,0.6,0,9.7
D:\prog\exp_data\voice\believe3\condition1.wav,5,1,3,3,3,1,1,0,2021/10/18/13:18:56,00:00:26.7,00:00:28.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,5.8,1.6,9.8,9.5
D:\prog\exp_data\voice\believe3\condition1.wav,6,4,4,3,0,1,4,-3,2021/10/18/13:18:56,00:00:32.0,00:00:33.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,3.7,0,0,0,6.2,1.1,3.7,1
D:\prog\exp_data\voice\believe3\condition1.wav,7,1,6,6,0,0,3,0,2021/10/18/13:18:56,00:00:36.6,00:00:37.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,3.5,0,0,0,5.3,1.1,6,1.6
D:\prog\exp_data\voice\believe3\condition1.wav,8,1,9,9,0,0,0,9,2021/10/18/13:18:56,00:00:38.4,00:00:39.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,5.1,0.9,10,0
D:\prog\exp_data\voice\believe3\condition1.wav,9,1,3,3,0,2,3,1,2021/10/18/13:18:56,00:00:42.5,00:00:43.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,3.2,0,0,0,6.4,0.9,8.6,9.3
D:\prog\exp_data\voice\believe3\condition1.wav,10,1,7,7,0,1,1,7,2021/10/18/13:18:56,00:00:48.7,00:00:51.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,5.3,0,0,0,6,2.4,0,9.5
