FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\f2san\condition1\c0.wav,1,1,7,7,0,1,0,9,2021/10/11/14:02:34,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,4.7,9.7
D:\prog\exp_data\voice\f2san\condition1\c1.wav,1,3,5,4,0,5,0,14,2021/10/11/14:02:34,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,5.4,9.7
D:\prog\exp_data\voice\f2san\condition1\c10.wav,1,2,8,0,8,0,0,-8,2021/10/11/14:02:34,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,2.4,9.5
D:\prog\exp_data\voice\f2san\condition1\c11.wav,1,1,8,8,0,1,0,10,2021/10/11/14:02:34,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,3.4,9.7
D:\prog\exp_data\voice\f2san\condition1\c12.wav,1,3,7,2,0,7,0,16,2021/10/11/14:02:34,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,2.9,8.6
D:\prog\exp_data\voice\f2san\condition1\c13.wav,1,4,6,3,0,0,6,-9,2021/10/11/14:02:34,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,3.5,8.6
D:\prog\exp_data\voice\f2san\condition1\c14.wav,1,1,9,9,0,0,0,9,2021/10/11/14:02:34,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0.3,8.6
D:\prog\exp_data\voice\f2san\condition1\c15.wav,1,1,8,8,0,0,0,8,2021/10/11/14:02:34,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,4.6,9.5
D:\prog\exp_data\voice\f2san\condition1\c16.wav,1,1,8,8,0,0,1,6,2021/10/11/14:02:34,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,4.7,8.6
D:\prog\exp_data\voice\f2san\condition1\c17.wav,1,1,8,8,0,0,0,8,2021/10/11/14:02:34,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,3.8,8.6
