FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,1,1,8,8,0,0,1,6,2021/10/18/13:24:24,00:00:00.0,00:00:01.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.6,1.2,6,9.5
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,2,4,4,0,2,3,4,-4,2021/10/18/13:24:24,00:00:09.3,00:00:09.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,8.1,0,0,0,6.7,0.4,10,0.2
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,3,1,6,6,0,1,2,4,2021/10/18/13:24:24,00:00:14.0,00:00:14.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,4.3,0,0,0,7,0.7,10,9.5
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,4,2,5,2,5,0,1,-5,2021/10/18/13:24:24,00:00:15.3,00:00:15.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,4.7,0.6,0,0.1
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,5,1,9,9,0,0,0,9,2021/10/18/13:24:24,00:00:27.1,00:00:27.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,11.2,0,0,0,6.5,0.5,10,3
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,6,3,4,2,0,4,2,6,2021/10/18/13:24:24,00:00:44.2,00:00:45.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,16.6,0,0,0,6.1,0.8,10,9.5
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,7,1,5,5,0,2,1,7,2021/10/18/13:24:24,00:00:51.3,00:00:52.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,6.3,0,0,0,6.3,0.8,7.1,9.3
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,8,1,3,3,1,3,2,4,2021/10/18/13:24:24,00:00:54.9,00:00:55.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.8,0,0,0,5.6,0.6,0,9.7
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,9,1,6,6,0,1,2,4,2021/10/18/13:24:24,00:00:58.1,00:00:58.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.6,0,0,0,6.3,0.6,5,0.4
D:\prog\exp_data\voice\gatimuti\full_condition4.wav,10,2,3,2,3,2,0,3,2021/10/18/13:24:24,00:01:06.7,00:01:07.6,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,8,0,0,0,6.1,0.9,5.2,9.5
