FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\gimken\full_condition2.wav,1,1,7,7,0,2,0,11,2021/10/18/13:25:23,00:00:11.9,00:00:27.3,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,15.4,4.2,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,2,1,8,8,0,0,0,8,2021/10/18/13:25:23,00:00:27.9,00:00:32.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,6.3,4.5,0.9,8.4
D:\prog\exp_data\voice\gimken\full_condition2.wav,3,1,5,5,0,2,2,5,2021/10/18/13:25:23,00:00:32.7,00:00:33.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6.1,1.2,8.8,5
D:\prog\exp_data\voice\gimken\full_condition2.wav,4,1,7,7,0,1,0,9,2021/10/18/13:25:23,00:00:35.4,00:00:42.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.5,0,0,0,6.5,7,3.8,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,5,1,6,6,0,0,2,2,2021/10/18/13:25:23,00:00:42.9,00:00:46.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,6.3,3.6,4.9,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,6,1,7,7,0,2,0,11,2021/10/18/13:25:23,00:00:47.2,00:00:48.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,6.4,1.1,9.3,8.5
D:\prog\exp_data\voice\gimken\full_condition2.wav,7,1,5,5,0,3,0,11,2021/10/18/13:25:23,00:00:48.9,00:00:54.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,6.4,5.7,6.9,8.4
D:\prog\exp_data\voice\gimken\full_condition2.wav,8,1,4,4,0,3,2,6,2021/10/18/13:25:23,00:00:54.9,00:00:59.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6.5,4.2,1.3,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,9,2,10,0,10,0,0,-10,2021/10/18/13:25:23,00:00:59.6,00:01:00.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,5.8,0.5,10,8.3
D:\prog\exp_data\voice\gimken\full_condition2.wav,10,4,5,0,0,4,5,-2,2021/10/18/13:25:23,00:01:00.6,00:01:01.0,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,5.1,0.4,4.3,8.6
D:\prog\exp_data\voice\gimken\full_condition2.wav,11,1,4,4,0,0,4,-4,2021/10/18/13:25:23,00:01:02.2,00:01:07.8,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,1.2,0,0,0,6,5.6,4,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,12,1,7,7,0,1,0,9,2021/10/18/13:25:23,00:01:08.5,00:01:10.9,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.7,0,0,0,6.5,2.4,5.7,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,13,1,6,6,0,2,0,10,2021/10/18/13:25:23,00:01:11.6,00:01:14.7,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.7,0,0,0,6.3,3.1,5.4,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,14,1,7,7,0,2,0,11,2021/10/18/13:25:23,00:01:15.2,00:01:15.9,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.5,0,0,0,5.6,0.7,4.8,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,15,1,5,5,0,2,1,7,2021/10/18/13:25:23,00:01:16.8,00:01:19.2,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.9,0,0,0,6.7,2.4,3.4,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,16,3,4,3,0,4,1,9,2021/10/18/13:25:23,00:01:19.5,00:01:22.4,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,6.5,2.9,10,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,17,1,6,6,0,2,0,10,2021/10/18/13:25:23,00:01:23.2,00:01:32.4,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.8,0,0,0,6.5,9.2,4.1,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,18,1,6,6,0,2,0,10,2021/10/18/13:25:23,00:01:33.4,00:01:35.4,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.6,2,6.9,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,19,1,8,8,0,1,0,10,2021/10/18/13:25:23,00:01:35.9,00:01:37.9,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,6.2,2,4.3,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,20,1,7,7,0,2,0,11,2021/10/18/13:25:23,00:01:39.0,00:01:52.4,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,6.2,13.4,4.7,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,21,1,4,4,0,4,0,12,2021/10/18/13:25:23,00:01:52.7,00:01:55.5,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,6.2,2.8,1.2,8.3
D:\prog\exp_data\voice\gimken\full_condition2.wav,22,1,5,5,0,1,3,1,2021/10/18/13:25:23,00:01:56.2,00:01:57.9,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,6.8,1.7,5.4,9.5
D:\prog\exp_data\voice\gimken\full_condition2.wav,23,3,5,2,0,5,2,8,2021/10/18/13:25:23,00:01:58.4,00:02:00.8,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,6.1,2.4,7.3,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,24,1,7,7,0,1,0,9,2021/10/18/13:25:23,00:02:01.1,00:02:07.1,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,6.6,6,2.2,9.7
D:\prog\exp_data\voice\gimken\full_condition2.wav,25,1,4,4,0,2,1,6,2021/10/18/13:25:23,00:02:08.1,00:02:09.2,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.5,1.1,7.6,4.8
D:\prog\exp_data\voice\gimken\full_condition2.wav,26,1,4,4,0,4,0,12,2021/10/18/13:25:23,00:02:10.1,00:02:18.1,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.9,0,0,0,6.8,8,6,9.7
