FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\glueck\full_condition1.wav,1,1,6,6,0,2,0,10,2021/10/18/13:26:21,00:00:00.0,00:00:01.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4,1.5,9.5,6.7
D:\prog\exp_data\voice\glueck\full_condition1.wav,2,1,8,8,0,1,0,10,2021/10/18/13:26:21,00:00:02.0,00:00:05.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,6.4,3.8,5.4,9.7
D:\prog\exp_data\voice\glueck\full_condition1.wav,3,1,8,8,0,1,0,10,2021/10/18/13:26:21,00:00:06.4,00:00:14.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,6.4,7.6,4.6,9.7
D:\prog\exp_data\voice\glueck\full_condition1.wav,4,1,4,4,2,1,0,4,2021/10/18/13:26:21,00:00:14.3,00:00:14.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.5,0.6,0,2.9
D:\prog\exp_data\voice\glueck\full_condition1.wav,5,1,4,4,0,3,1,8,2021/10/18/13:26:21,00:00:15.4,00:00:19.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,6.3,4,6.4,9.7
D:\prog\exp_data\voice\glueck\full_condition1.wav,6,1,8,8,0,0,1,6,2021/10/18/13:26:21,00:00:19.8,00:00:23.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.4,3.4,7.4,9.7
D:\prog\exp_data\voice\glueck\full_condition1.wav,7,1,9,9,0,0,0,9,2021/10/18/13:26:21,00:00:24.7,00:00:25.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.5,0,0,0,3,0.4,10,0.3
D:\prog\exp_data\voice\glueck\full_condition1.wav,8,1,7,7,0,0,1,5,2021/10/18/13:26:21,00:00:31.1,00:00:33.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,6,0,0,0,6,2.3,4.6,8
D:\prog\exp_data\voice\glueck\full_condition1.wav,9,1,8,8,0,0,0,8,2021/10/18/13:26:21,00:00:33.7,00:00:34.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,5.8,1.1,6.5,0
D:\prog\exp_data\voice\glueck\full_condition1.wav,10,1,8,8,0,0,0,8,2021/10/18/13:26:21,00:00:35.1,00:00:37.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,7.1,2.5,4.4,0
D:\prog\exp_data\voice\glueck\full_condition1.wav,11,1,5,5,0,1,2,3,2021/10/18/13:26:21,00:00:38.2,00:00:43.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,6.3,5.5,6.7,5.9
D:\prog\exp_data\voice\glueck\full_condition1.wav,12,1,8,8,0,0,0,8,2021/10/18/13:26:21,00:00:44.0,00:00:47.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,7,3.7,9.5,0
D:\prog\exp_data\voice\glueck\full_condition1.wav,13,1,8,8,0,0,0,8,2021/10/18/13:26:21,00:00:48.4,00:00:52.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,5.9,4.4,6.6,8.5
D:\prog\exp_data\voice\glueck\full_condition1.wav,14,1,9,9,0,0,0,9,2021/10/18/13:26:21,00:00:53.1,00:00:57.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,5.9,4.6,4.1,7
D:\prog\exp_data\voice\glueck\full_condition1.wav,15,1,4,4,0,1,4,-2,2021/10/18/13:26:21,00:00:58.2,00:01:01.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,6.4,3,6.7,7.5
D:\prog\exp_data\voice\glueck\full_condition1.wav,16,1,8,8,0,0,1,6,2021/10/18/13:26:21,00:01:01.5,00:01:02.7,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,0.3,0,0,0,4.2,1.2,7.3,7.5
