FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\hiraga\full_condition2.wav,1,1,6,6,0,0,2,2,2021/10/18/13:27:26,00:00:00.0,00:00:02.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9,2.3,7.5,0.8
D:\prog\exp_data\voice\hiraga\full_condition2.wav,2,1,6,6,0,2,0,10,2021/10/18/13:27:26,00:00:03.1,00:00:05.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,6.5,2,3.6,1.1
D:\prog\exp_data\voice\hiraga\full_condition2.wav,3,1,7,7,0,1,1,7,2021/10/18/13:27:26,00:00:05.5,00:00:08.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.2,3,8.3,8.5
D:\prog\exp_data\voice\hiraga\full_condition2.wav,4,1,8,8,0,1,0,10,2021/10/18/13:27:26,00:00:08.8,00:00:11.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.5,3,7.1,1.2
D:\prog\exp_data\voice\hiraga\full_condition2.wav,5,1,8,8,0,0,1,6,2021/10/18/13:27:26,00:00:12.7,00:00:17.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,6.2,5,6.6,9.5
D:\prog\exp_data\voice\hiraga\full_condition2.wav,6,1,5,5,0,3,0,11,2021/10/18/13:27:26,00:00:18.1,00:00:20.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.2,2.1,10,9.7
D:\prog\exp_data\voice\hiraga\full_condition2.wav,7,1,6,6,1,0,1,3,2021/10/18/13:27:26,00:00:26.9,00:00:29.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,6.7,0,0,0,4.1,2.2,0,9.5
D:\prog\exp_data\voice\hiraga\full_condition2.wav,8,3,4,3,0,4,2,7,2021/10/18/13:27:26,00:00:30.1,00:00:31.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4.1,1.4,2.4,9.5
D:\prog\exp_data\voice\hiraga\full_condition2.wav,9,1,7,7,1,0,1,4,2021/10/18/13:27:26,00:00:33.4,00:00:34.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.9,0,0,0,4.6,1.2,9.5,0.2
D:\prog\exp_data\voice\hiraga\full_condition2.wav,10,1,5,5,2,1,0,5,2021/10/18/13:27:26,00:00:35.3,00:00:36.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,4.5,1.3,4.7,9.7
