FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,1,1,8,8,0,1,0,10,2021/10/18/13:28:31,00:00:00.0,00:00:04.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.2,4.8,4.8,9.7
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,2,1,7,7,0,1,1,7,2021/10/18/13:28:31,00:00:05.3,00:00:05.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,6.3,0.3,8.5,8.5
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,3,1,6,6,0,2,0,10,2021/10/18/13:28:31,00:00:06.5,00:00:10.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,6.2,3.7,6.9,9.7
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,4,1,8,8,0,1,0,10,2021/10/18/13:28:31,00:00:10.5,00:00:13.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.1,3.1,8.4,0.6
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,5,1,4,4,0,2,3,2,2021/10/18/13:28:31,00:00:17.5,00:00:18.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,3.9,0,0,0,6.1,1.1,5.9,1.7
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,6,1,7,7,0,1,1,7,2021/10/18/13:28:31,00:00:19.2,00:00:20.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,5.5,1.6,4.4,7.8
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,7,1,6,6,0,0,3,0,2021/10/18/13:28:31,00:00:21.7,00:00:22.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,5.9,0.3,5.7,1.7
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,8,1,6,6,0,0,2,2,2021/10/18/13:28:31,00:00:22.6,00:00:24.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,5.9,1.5,7.2,6.1
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,9,1,8,8,0,0,0,8,2021/10/18/13:28:31,00:00:24.5,00:00:25.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,5.7,0.7,3.1,0.6
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,10,1,7,7,0,0,1,5,2021/10/18/13:28:31,00:00:26.0,00:00:28.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,5.5,2.5,4,9
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,11,1,7,7,0,1,0,9,2021/10/18/13:28:31,00:00:29.1,00:00:30.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,7.3,1.4,0.7,0
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,12,1,7,7,0,1,0,9,2021/10/18/13:28:31,00:00:31.2,00:00:34.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,6.5,3,2.3,0
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,13,1,9,9,0,0,0,9,2021/10/18/13:28:31,00:00:35.0,00:00:39.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,5.8,4.1,4.3,3.2
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,14,4,4,3,0,1,4,-3,2021/10/18/13:28:31,00:00:40.7,00:00:41.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.6,0,0,0,5.5,1.1,2.2,8.5
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,15,1,5,5,0,0,4,-3,2021/10/18/13:28:31,00:00:42.7,00:00:44.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.9,0,0,0,6.4,1.4,5.3,0
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,16,1,9,9,0,0,0,9,2021/10/18/13:28:31,00:00:44.5,00:00:46.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,6.5,1.5,2.5,8.4
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,17,1,4,4,0,2,3,2,2021/10/18/13:28:31,00:00:47.6,00:00:50.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.6,0,0,0,6.4,3.3,4.7,9
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,18,1,3,3,2,2,1,3,2021/10/18/13:28:31,00:00:52.4,00:00:53.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.5,0,0,0,6,0.6,0,9.7
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,19,1,6,6,0,2,0,10,2021/10/18/13:28:31,00:00:54.5,00:00:55.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.5,0,0,0,6.2,0.8,7.6,0
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,20,1,8,8,0,0,1,6,2021/10/18/13:28:31,00:00:56.4,00:00:56.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.1,0,0,0,6.4,0.5,9.4,2.6
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,21,1,8,8,0,0,0,8,2021/10/18/13:28:31,00:00:58.7,00:01:00.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.8,0,0,0,6.4,2.2,1.5,8.9
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,22,3,8,0,0,8,0,16,2021/10/18/13:28:31,00:01:01.8,00:01:02.7,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,0.9,0,0,0,4,0.9,3.6,0.4
D:\prog\exp_data\voice\i_shida627\full_condition4.wav,23,4,7,1,0,1,7,-11,2021/10/18/13:28:31,00:01:03.2,00:01:04.9,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,5.6,1.7,5.8,9.7
