FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,1,1,8,8,0,1,0,10,2021/10/18/13:33:24,00:00:00.0,00:00:04.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.6,4.1,6.7,9.7
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,2,1,6,6,0,0,2,2,2021/10/18/13:33:24,00:00:04.4,00:00:04.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,7.1,0.3,0,9.3
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,3,1,7,7,0,1,1,7,2021/10/18/13:33:24,00:00:05.0,00:00:11.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.4,6.8,4.1,9.7
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,4,1,7,7,0,1,1,7,2021/10/18/13:33:24,00:00:17.3,00:00:18.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,5.5,0,0,0,6.6,0.9,4.3,8.9
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,5,1,4,4,0,4,1,10,2021/10/18/13:33:24,00:00:18.6,00:00:21.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,7,2.8,6.2,0
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,6,1,8,8,0,0,1,6,2021/10/18/13:33:24,00:00:21.8,00:00:22.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,5.1,0.7,2.7,9.7
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,7,1,5,5,0,4,0,13,2021/10/18/13:33:24,00:00:23.1,00:00:24.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,5.1,1.1,3.8,0
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,8,3,6,2,0,6,1,12,2021/10/18/13:33:24,00:00:24.9,00:00:25.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.7,0,0,0,4.5,0.5,10,0
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,9,1,8,8,0,0,0,8,2021/10/18/13:33:24,00:00:26.2,00:00:26.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,5,0.4,3.4,0
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,10,1,6,6,0,0,3,0,2021/10/18/13:33:24,00:00:29.0,00:00:30.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,2.4,0,0,0,6.4,1.4,8.5,8.6
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,11,1,7,7,0,0,1,5,2021/10/18/13:33:24,00:00:31.2,00:00:32.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,5.3,1.2,8.9,9.7
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,12,1,5,5,0,4,0,13,2021/10/18/13:33:24,00:00:33.6,00:00:35.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.2,0,0,0,6.1,1.5,5.6,9.7
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,13,1,7,7,0,1,0,9,2021/10/18/13:33:24,00:00:36.9,00:00:37.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.8,0,0,0,6.1,1,0,8.1
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,14,1,8,8,0,0,0,8,2021/10/18/13:33:24,00:00:40.9,00:00:47.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,3,0,0,0,6.3,6.1,8.1,8.4
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,15,1,5,5,0,2,1,7,2021/10/18/13:33:24,00:00:47.5,00:00:48.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,6,1.2,5.8,9.7
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,16,1,7,7,0,0,1,5,2021/10/18/13:33:24,00:00:49.7,00:00:52.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6.3,2.5,9.4,8.2
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,17,3,5,3,0,5,1,11,2021/10/18/13:33:24,00:00:53.8,00:00:55.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.6,0,0,0,6.3,1.6,1.9,9.7
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,18,1,8,8,0,0,1,6,2021/10/18/13:33:24,00:00:57.3,00:01:00.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.9,0,0,0,6.6,2.7,3.9,0
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,19,1,8,8,0,0,0,8,2021/10/18/13:33:24,00:01:01.2,00:01:01.8,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,1.2,0,0,0,6.2,0.6,8.5,7
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,20,1,6,6,1,1,0,7,2021/10/18/13:33:24,00:01:03.8,00:01:04.7,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,2,0,0,0,5.9,0.9,1.9,0.5
D:\prog\exp_data\voice\ika-aki\full_condition4.wav,21,1,6,6,0,1,1,6,2021/10/18/13:33:24,00:01:06.9,00:01:10.0,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,2.2,0,0,0,7,3.1,6.3,9.7
