FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\junjun\condition2\c00_00.wav,1,1,8,8,0,0,1,6,2021/10/21/12:17:25,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0.5,9
D:\prog\exp_data\voice\junjun\condition2\c00_01.wav,1,4,6,1,0,1,6,-9,2021/10/21/12:17:25,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,4.8,9
D:\prog\exp_data\voice\junjun\condition2\c01_00.wav,1,1,5,5,0,0,3,-1,2021/10/21/12:17:25,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9.1,9
D:\prog\exp_data\voice\junjun\condition2\c01_01.wav,1,1,8,8,0,0,0,8,2021/10/21/12:17:25,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,6.2,2.4
D:\prog\exp_data\voice\junjun\condition2\c02.wav,1,4,4,3,0,1,4,-3,2021/10/21/12:17:25,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,4.9,9
D:\prog\exp_data\voice\junjun\condition2\c03.wav,1,1,8,8,0,0,0,8,2021/10/21/12:17:25,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,3,9
D:\prog\exp_data\voice\junjun\condition2\c04.wav,1,1,4,4,0,1,4,-2,2021/10/21/12:17:25,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5.6,9
D:\prog\exp_data\voice\junjun\condition2\c05.wav,1,1,8,8,0,0,0,8,2021/10/21/12:17:25,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,7.6,9
D:\prog\exp_data\voice\junjun\condition2\c06.wav,1,1,8,8,0,0,0,8,2021/10/21/12:17:25,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,3,9
D:\prog\exp_data\voice\junjun\condition2\c07.wav,1,1,8,8,0,0,0,8,2021/10/21/12:17:25,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,5.8,8.2
D:\prog\exp_data\voice\junjun\condition2\c08.wav,1,1,4,4,0,1,4,-2,2021/10/21/12:17:25,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,5.9,9
D:\prog\exp_data\voice\junjun\condition2\c09.wav,1,1,6,6,0,1,1,6,2021/10/21/12:17:25,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6.8,9
D:\prog\exp_data\voice\junjun\condition2\c10_00.wav,1,1,6,6,0,1,0,8,2021/10/21/12:17:25,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,4.5,9
D:\prog\exp_data\voice\junjun\condition2\c10_01.wav,1,1,4,4,0,1,4,-2,2021/10/21/12:17:25,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,8.7,9
D:\prog\exp_data\voice\junjun\condition2\c11.wav,1,1,8,8,0,0,0,8,2021/10/21/12:17:25,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,3.7,8.2
D:\prog\exp_data\voice\junjun\condition2\c12.wav,1,4,5,3,0,1,5,-5,2021/10/21/12:17:25,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,5.2,9
D:\prog\exp_data\voice\junjun\condition2\c13.wav,1,1,8,8,0,0,0,8,2021/10/21/12:17:25,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,5.3,9
D:\prog\exp_data\voice\junjun\condition2\c14.wav,1,1,7,7,0,0,1,5,2021/10/21/12:17:25,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,5.5,9
D:\prog\exp_data\voice\junjun\condition2\c15.wav,1,1,7,7,0,1,1,7,2021/10/21/12:17:25,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5.5,8.9
D:\prog\exp_data\voice\junjun\condition2\c16_00.wav,1,1,8,8,0,0,0,8,2021/10/21/12:17:25,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,7.7,9
D:\prog\exp_data\voice\junjun\condition2\c16_01.wav,1,1,4,4,0,1,3,0,2021/10/21/12:17:25,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,4.2,9
