FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\junjun\full_condition3.wav,1,2,3,1,3,1,3,-6,2021/10/18/13:34:14,00:00:11.6,00:00:11.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.8,0.3,0,2.7
D:\prog\exp_data\voice\junjun\full_condition3.wav,2,1,8,8,0,1,0,10,2021/10/18/13:34:14,00:00:12.7,00:00:13.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,6.7,0.9,5.4,1
D:\prog\exp_data\voice\junjun\full_condition3.wav,3,1,7,7,0,0,2,3,2021/10/18/13:34:14,00:00:14.1,00:00:16.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,6.5,2.3,7.8,0.8
D:\prog\exp_data\voice\junjun\full_condition3.wav,4,1,8,8,0,0,1,6,2021/10/18/13:34:14,00:00:17.6,00:00:18.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.2,0,0,0,6.9,0.9,2.4,2.4
D:\prog\exp_data\voice\junjun\full_condition3.wav,5,1,6,6,0,2,0,10,2021/10/18/13:34:14,00:00:20.0,00:00:20.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.5,0,0,0,6.2,0.9,5.8,9.7
D:\prog\exp_data\voice\junjun\full_condition3.wav,6,1,9,9,0,0,0,9,2021/10/18/13:34:14,00:00:21.8,00:00:23.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,6.4,2,7.8,9
D:\prog\exp_data\voice\junjun\full_condition3.wav,7,4,5,3,0,1,5,-5,2021/10/18/13:34:14,00:00:25.5,00:00:25.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.7,0,0,0,4.5,0.3,7.7,0.4
D:\prog\exp_data\voice\junjun\full_condition3.wav,8,1,7,7,0,1,0,9,2021/10/18/13:34:14,00:00:26.6,00:00:28.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,6.5,1.9,8.4,1.7
D:\prog\exp_data\voice\junjun\full_condition3.wav,9,1,5,5,0,1,2,3,2021/10/18/13:34:14,00:00:31.6,00:00:32.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,3.1,0,0,0,2.9,0.9,3.1,8.2
D:\prog\exp_data\voice\junjun\full_condition3.wav,10,1,7,7,0,1,1,7,2021/10/18/13:34:14,00:00:32.8,00:00:33.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,5.9,0.3,5.7,0
D:\prog\exp_data\voice\junjun\full_condition3.wav,11,3,6,1,2,6,0,11,2021/10/18/13:34:14,00:00:34.7,00:00:35.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.6,0,0,0,3.6,0.5,0,2.3
D:\prog\exp_data\voice\junjun\full_condition3.wav,12,1,4,4,0,4,1,10,2021/10/18/13:34:14,00:00:37.5,00:00:39.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.3,0,0,0,7.1,1.7,5.7,1.1
D:\prog\exp_data\voice\junjun\full_condition3.wav,13,1,8,8,0,1,0,10,2021/10/18/13:34:14,00:00:40.1,00:00:42.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.9,0,0,0,6.6,2.1,8.5,9
D:\prog\exp_data\voice\junjun\full_condition3.wav,14,1,6,6,0,0,2,2,2021/10/18/13:34:14,00:00:44.0,00:00:45.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.8,0,0,0,6.2,1.6,5.1,1.5
D:\prog\exp_data\voice\junjun\full_condition3.wav,15,1,9,9,0,0,0,9,2021/10/18/13:34:14,00:00:47.2,00:00:48.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.6,0,0,0,6.5,1.4,6.8,9
D:\prog\exp_data\voice\junjun\full_condition3.wav,16,1,6,6,0,2,1,8,2021/10/18/13:34:14,00:00:51.3,00:00:54.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.7,0,0,0,6.1,3.1,7.1,9
D:\prog\exp_data\voice\junjun\full_condition3.wav,17,1,6,6,0,0,2,2,2021/10/18/13:34:14,00:00:59.9,00:01:01.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,5.5,0,0,0,6.4,1.2,10,1.3
D:\prog\exp_data\voice\junjun\full_condition3.wav,18,1,7,7,0,1,0,9,2021/10/18/13:34:14,00:01:02.4,00:01:03.2,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,1.3,0,0,0,6.5,0.8,7.1,9.1
