FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\kubo\condition4\c00_00.wav,1,4,5,3,0,1,5,-5,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,3.7,9.3
D:\prog\exp_data\voice\kubo\condition4\c00_01.wav,1,1,9,9,0,0,0,9,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,2.5,9.7
D:\prog\exp_data\voice\kubo\condition4\c01.wav,1,1,8,8,0,0,0,8,2021/10/21/12:22:23,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0.9,9.5
D:\prog\exp_data\voice\kubo\condition4\c02_00.wav,1,1,8,8,0,0,0,8,2021/10/21/12:22:23,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,3.8,9.3
D:\prog\exp_data\voice\kubo\condition4\c02_01.wav,1,4,6,1,0,1,6,-9,2021/10/21/12:22:23,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,4,0.5
D:\prog\exp_data\voice\kubo\condition4\c03.wav,1,1,4,4,0,1,3,0,2021/10/21/12:22:23,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9.3
D:\prog\exp_data\voice\kubo\condition4\c04_00.wav,1,1,7,7,0,1,0,9,2021/10/21/12:22:23,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5.7,9.5
D:\prog\exp_data\voice\kubo\condition4\c04_01.wav,1,4,6,2,0,1,6,-8,2021/10/21/12:22:23,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,9.8,9.5
D:\prog\exp_data\voice\kubo\condition4\c05_00.wav,1,1,8,8,0,1,0,10,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1.4
D:\prog\exp_data\voice\kubo\condition4\c05_01.wav,1,1,7,7,0,1,0,9,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,4.7,9.7
D:\prog\exp_data\voice\kubo\condition4\c05_02.wav,1,2,6,2,6,0,0,-4,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,7.6,0.3
D:\prog\exp_data\voice\kubo\condition4\c06_00.wav,1,4,7,1,0,0,7,-13,2021/10/21/12:22:23,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,8.7,9.7
D:\prog\exp_data\voice\kubo\condition4\c06_01.wav,1,4,5,3,0,0,5,-7,2021/10/21/12:22:23,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,6.9,0
D:\prog\exp_data\voice\kubo\condition4\c07.wav,1,2,5,0,5,2,1,-3,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,6.4,9.5
D:\prog\exp_data\voice\kubo\condition4\c08.wav,1,4,5,3,0,1,5,-5,2021/10/21/12:22:23,00:00.0,00:10.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,2.3,9.5
D:\prog\exp_data\voice\kubo\condition4\c09.wav,1,1,7,7,0,1,0,9,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,3.7,9.5
D:\prog\exp_data\voice\kubo\condition4\c10.wav,1,1,9,9,0,0,0,9,2021/10/21/12:22:23,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,3.8,9.7
D:\prog\exp_data\voice\kubo\condition4\c11.wav,1,4,4,3,0,2,4,-1,2021/10/21/12:22:23,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,3.9,9.5
D:\prog\exp_data\voice\kubo\condition4\c12.wav,1,4,4,3,0,2,4,-1,2021/10/21/12:22:23,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,1.8,9.7
D:\prog\exp_data\voice\kubo\condition4\c13.wav,1,1,6,6,0,1,1,6,2021/10/21/12:22:23,00:00.0,00:36.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2.1,9.5
D:\prog\exp_data\voice\kubo\condition4\c13_01.wav,1,1,6,6,0,1,1,6,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,5,9.5
D:\prog\exp_data\voice\kubo\condition4\c13_02.wav,1,1,3,3,3,2,0,4,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,1.9,9.5
D:\prog\exp_data\voice\kubo\condition4\c14_00.wav,1,4,4,3,0,1,4,-3,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,2.1,9.7
D:\prog\exp_data\voice\kubo\condition4\c14_01.wav,1,2,5,0,5,3,0,1,2021/10/21/12:22:23,00:00.0,00:12.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2.6,9.5
