FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\kubo\full_condition3.wav,1,1,7,7,0,0,2,3,2021/10/18/13:35:43,00:00:00.0,00:00:01.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.8,1.4,1.7,0
D:\prog\exp_data\voice\kubo\full_condition3.wav,2,1,9,9,0,0,0,9,2021/10/18/13:35:43,00:00:01.8,00:00:03.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.4,2,8.9,9.7
D:\prog\exp_data\voice\kubo\full_condition3.wav,3,1,6,6,0,0,2,2,2021/10/18/13:35:43,00:00:04.7,00:00:05.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,6,1.1,2.6,0
D:\prog\exp_data\voice\kubo\full_condition3.wav,4,1,8,8,0,1,0,10,2021/10/18/13:35:43,00:00:06.3,00:00:09.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,6.2,3,8.3,3.2
D:\prog\exp_data\voice\kubo\full_condition3.wav,5,1,8,8,0,0,0,8,2021/10/18/13:35:43,00:00:10.0,00:00:12.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.7,0,0,0,6.2,2.6,5.3,9.7
D:\prog\exp_data\voice\kubo\full_condition3.wav,6,1,5,5,1,1,2,2,2021/10/18/13:35:43,00:00:12.9,00:00:15.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.3,2.5,7,0
D:\prog\exp_data\voice\kubo\full_condition3.wav,7,1,8,8,0,0,0,8,2021/10/18/13:35:43,00:00:15.7,00:00:18.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.5,2.7,7.3,1.4
D:\prog\exp_data\voice\kubo\full_condition3.wav,8,1,6,6,0,0,2,2,2021/10/18/13:35:43,00:00:19.3,00:00:23.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,6.3,3.8,3.7,9.7
D:\prog\exp_data\voice\kubo\full_condition3.wav,9,1,7,7,0,1,0,9,2021/10/18/13:35:43,00:00:23.5,00:00:26.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6,2.7,5.7,9.5
D:\prog\exp_data\voice\kubo\full_condition3.wav,10,1,4,4,0,3,1,8,2021/10/18/13:35:43,00:00:33.1,00:00:34.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,6.9,0,0,0,5.9,1.7,2.7,9.7
D:\prog\exp_data\voice\kubo\full_condition3.wav,11,1,6,6,0,1,0,8,2021/10/18/13:35:43,00:00:35.5,00:00:37.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,5.9,2.4,5.2,1
D:\prog\exp_data\voice\kubo\full_condition3.wav,12,1,8,8,0,0,0,8,2021/10/18/13:35:43,00:00:38.8,00:00:42.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.9,0,0,0,6,3.8,6.9,1.5
D:\prog\exp_data\voice\kubo\full_condition3.wav,13,1,4,4,1,2,1,5,2021/10/18/13:35:43,00:00:45.5,00:00:45.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.9,0,0,0,5.5,0.3,0,1.4
D:\prog\exp_data\voice\kubo\full_condition3.wav,14,1,6,6,0,0,3,0,2021/10/18/13:35:43,00:00:46.7,00:00:47.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.9,0,0,0,5.6,0.4,2.6,1.4
D:\prog\exp_data\voice\kubo\full_condition3.wav,15,1,9,9,0,0,0,9,2021/10/18/13:35:43,00:00:47.4,00:00:49.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6,2.2,4.8,1.4
D:\prog\exp_data\voice\kubo\full_condition3.wav,16,1,8,8,0,0,0,8,2021/10/18/13:35:43,00:00:50.4,00:00:53.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,6.3,3.3,1.3,9.7
