FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,1,1,7,7,0,0,1,5,2021/10/18/13:36:27,00:00:00.0,00:00:00.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0.3,4.9,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,2,1,9,9,0,0,0,9,2021/10/18/13:36:27,00:00:01.2,00:00:07.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,6.3,6.2,5.7,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,3,4,9,0,0,0,9,-18,2021/10/18/13:36:27,00:00:11.8,00:00:12.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,4.4,0,0,0,3.9,0.5,10,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,4,1,7,7,0,1,0,9,2021/10/18/13:36:27,00:00:13.7,00:00:14.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.4,0,0,0,4.4,0.3,0,8.2
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,5,1,9,9,0,0,0,9,2021/10/18/13:36:27,00:00:14.4,00:00:17.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.7,3.4,2.1,9.1
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,6,1,7,7,0,1,0,9,2021/10/18/13:36:27,00:00:19.1,00:00:25.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.3,0,0,0,6.2,6.4,6.5,9.1
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,7,1,8,8,0,0,0,8,2021/10/18/13:36:27,00:00:29.3,00:00:31.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,3.8,0,0,0,6.1,2,3.8,8.8
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,8,1,9,9,0,0,0,9,2021/10/18/13:36:27,00:00:32.1,00:00:32.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,4.9,0.8,10,9.1
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,9,1,8,8,0,1,0,10,2021/10/18/13:36:27,00:00:33.5,00:00:34.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,5.5,1.2,5.4,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,10,1,8,8,0,0,1,6,2021/10/18/13:36:27,00:00:35.8,00:00:38.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.1,0,0,0,4.3,2.3,0,9.7
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,11,1,8,8,0,0,1,6,2021/10/18/13:36:27,00:00:38.6,00:00:41.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,6.5,3.1,5.7,8.8
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,12,1,6,6,0,0,3,0,2021/10/18/13:36:27,00:00:42.3,00:00:43.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,6.4,1,8.9,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,13,1,7,7,0,1,0,9,2021/10/18/13:36:27,00:00:43.6,00:00:47.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6,3.4,7.8,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,14,1,9,9,0,0,0,9,2021/10/18/13:36:27,00:00:48.4,00:00:51.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.4,0,0,0,5.5,2.6,4.4,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,15,1,4,4,0,0,3,-2,2021/10/18/13:36:27,00:00:51.6,00:00:52.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,6.4,0.5,6.8,0.1
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,16,3,6,3,0,6,0,15,2021/10/18/13:36:27,00:00:53.0,00:00:53.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.9,0,0,0,3.2,0.4,0,8.2
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,17,1,7,7,0,0,2,3,2021/10/18/13:36:27,00:00:53.7,00:00:55.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,5.8,1.9,8.4,9.1
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,18,1,9,9,0,0,0,9,2021/10/18/13:36:27,00:00:56.9,00:00:59.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.3,0,0,0,5.8,2.5,9,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,19,1,7,7,0,1,0,9,2021/10/18/13:36:27,00:00:59.8,00:01:02.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,5.5,2.2,7.5,9.1
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,20,1,9,9,0,0,0,9,2021/10/18/13:36:27,00:01:03.3,00:01:08.5,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,1.3,0,0,0,6.4,5.2,4.6,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,21,1,9,9,0,0,0,9,2021/10/18/13:36:27,00:01:09.7,00:01:10.5,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.2,0,0,0,5.2,0.8,9.7,3
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,22,1,8,8,0,1,0,10,2021/10/18/13:36:27,00:01:10.8,00:01:11.8,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,6.1,1,4.4,9
D:\prog\exp_data\voice\matsuhashi\full_condition4.wav,23,1,9,9,0,0,0,9,2021/10/18/13:36:27,00:01:12.9,00:01:13.5,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.1,0,0,0,6.3,0.6,10,3
