FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\miwa\full_condition1.wav,1,1,4,4,0,3,1,8,2021/10/18/13:37:08,00:00:00.6,00:00:02.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,1.8,6.1,9.7
D:\prog\exp_data\voice\miwa\full_condition1.wav,2,1,6,6,2,0,1,2,2021/10/18/13:37:08,00:00:03.9,00:00:04.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.5,0,0,0,5.8,0.4,0,0
D:\prog\exp_data\voice\miwa\full_condition1.wav,3,1,5,5,0,0,4,-3,2021/10/18/13:37:08,00:00:08.0,00:00:08.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,3.7,0,0,0,3.6,0.5,0,0
D:\prog\exp_data\voice\miwa\full_condition1.wav,4,1,5,5,0,2,2,5,2021/10/18/13:37:08,00:00:10.1,00:00:10.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.6,0,0,0,3.4,0.3,0,8.3
D:\prog\exp_data\voice\miwa\full_condition1.wav,5,1,5,5,0,0,3,-1,2021/10/18/13:37:08,00:00:11.7,00:00:13.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.3,0,0,0,6.8,2,4.2,9.5
D:\prog\exp_data\voice\miwa\full_condition1.wav,6,1,8,8,0,0,0,8,2021/10/18/13:37:08,00:00:14.0,00:00:15.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,4.6,1.1,0,2.9
D:\prog\exp_data\voice\miwa\full_condition1.wav,7,1,6,6,1,0,1,3,2021/10/18/13:37:08,00:00:15.4,00:00:17.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.8,1.6,9.3,9.5
D:\prog\exp_data\voice\miwa\full_condition1.wav,8,1,5,5,0,0,4,-3,2021/10/18/13:37:08,00:00:17.9,00:00:19.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,6.9,1.3,5.6,9.7
D:\prog\exp_data\voice\miwa\full_condition1.wav,9,1,7,7,0,1,1,7,2021/10/18/13:37:08,00:00:20.0,00:00:21.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,6.4,1.9,4.6,3.4
D:\prog\exp_data\voice\miwa\full_condition1.wav,10,3,7,1,0,7,1,13,2021/10/18/13:37:08,00:00:22.5,00:00:23.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,5.2,0.6,1.5,9
D:\prog\exp_data\voice\miwa\full_condition1.wav,11,1,8,8,0,0,1,6,2021/10/18/13:37:08,00:00:23.7,00:00:29.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,6.4,5.9,5,9.7
D:\prog\exp_data\voice\miwa\full_condition1.wav,12,1,5,5,0,0,4,-3,2021/10/18/13:37:08,00:00:29.9,00:00:30.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,5.5,0.3,3.4,8.3
D:\prog\exp_data\voice\miwa\full_condition1.wav,13,1,7,7,0,0,1,5,2021/10/18/13:37:08,00:00:30.5,00:00:34.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6.3,3.9,4.9,9.7
D:\prog\exp_data\voice\miwa\full_condition1.wav,14,1,6,6,0,1,1,6,2021/10/18/13:37:08,00:00:35.2,00:00:37.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,6.1,2.4,5.9,2.7
D:\prog\exp_data\voice\miwa\full_condition1.wav,15,1,7,7,0,1,0,9,2021/10/18/13:37:08,00:00:37.9,00:00:39.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6.2,1.2,7.5,8.2
D:\prog\exp_data\voice\miwa\full_condition1.wav,16,1,6,6,0,1,0,8,2021/10/18/13:37:08,00:00:41.5,00:00:42.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.4,0,0,0,6.3,0.8,10,9.7
D:\prog\exp_data\voice\miwa\full_condition1.wav,17,1,6,6,0,2,0,10,2021/10/18/13:37:08,00:00:43.1,00:00:43.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,4.7,0.3,0,0
D:\prog\exp_data\voice\miwa\full_condition1.wav,18,1,9,9,0,0,0,9,2021/10/18/13:37:08,00:00:44.5,00:00:44.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.1,0,0,0,4.6,0.3,0,0
D:\prog\exp_data\voice\miwa\full_condition1.wav,19,1,6,6,0,2,0,10,2021/10/18/13:37:08,00:00:46.5,00:00:53.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.7,0,0,0,6.3,6.8,4.8,8.3
D:\prog\exp_data\voice\miwa\full_condition1.wav,20,1,6,6,0,0,2,2,2021/10/18/13:37:08,00:00:54.3,00:00:58.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6.2,4.6,5.8,9.5
D:\prog\exp_data\voice\miwa\full_condition1.wav,21,1,4,4,0,4,0,12,2021/10/18/13:37:08,00:01:00.1,00:01:02.1,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,1.2,0,0,0,6.7,2,6.6,8.3
D:\prog\exp_data\voice\miwa\full_condition1.wav,22,1,7,7,0,1,0,9,2021/10/18/13:37:08,00:01:02.8,00:01:08.5,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,0.7,0,0,0,6.9,5.7,6.2,9.5
D:\prog\exp_data\voice\miwa\full_condition1.wav,23,1,4,4,0,2,2,4,2021/10/18/13:37:08,00:01:08.8,00:01:10.1,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,5.7,1.3,10,8.3
D:\prog\exp_data\voice\miwa\full_condition1.wav,24,1,3,3,1,1,3,-2,2021/10/18/13:37:08,00:01:11.7,00:01:12.0,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.6,0,0,0,3.9,0.3,4.3,0
D:\prog\exp_data\voice\miwa\full_condition1.wav,25,1,8,8,0,0,0,8,2021/10/18/13:37:08,00:01:12.4,00:01:18.2,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.4,0,0,0,6.3,5.8,4.1,9.5
D:\prog\exp_data\voice\miwa\full_condition1.wav,26,1,8,8,0,0,1,6,2021/10/18/13:37:08,00:01:19.3,00:01:21.9,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.1,0,0,0,6.4,2.6,5.1,8.1
D:\prog\exp_data\voice\miwa\full_condition1.wav,27,1,8,8,0,0,1,6,2021/10/18/13:37:08,00:01:22.6,00:01:25.9,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.7,0,0,0,6.2,3.3,5.5,9.7
D:\prog\exp_data\voice\miwa\full_condition1.wav,28,1,8,8,0,1,0,10,2021/10/18/13:37:08,00:01:26.4,00:01:32.9,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.5,0,0,0,6.4,6.5,3.7,8.3
D:\prog\exp_data\voice\miwa\full_condition1.wav,29,1,8,8,0,0,0,8,2021/10/18/13:37:08,00:01:33.2,00:01:34.1,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,5.1,0.9,9.6,8.1
D:\prog\exp_data\voice\miwa\full_condition1.wav,30,1,7,7,0,0,2,3,2021/10/18/13:37:08,00:01:34.4,00:01:35.6,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,5.5,1.2,4.3,8.6
D:\prog\exp_data\voice\miwa\full_condition1.wav,31,3,5,0,1,5,2,5,2021/10/18/13:37:08,00:01:35.9,00:01:36.2,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,4.6,0.3,0,0
D:\prog\exp_data\voice\miwa\full_condition1.wav,32,1,7,7,0,2,0,11,2021/10/18/13:37:08,00:01:36.7,00:01:42.5,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,6,5.8,5.6,9.5
D:\prog\exp_data\voice\miwa\full_condition1.wav,33,1,7,7,0,0,1,5,2021/10/18/13:37:08,00:01:43.2,00:01:44.8,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,6.1,1.6,10,9.5
D:\prog\exp_data\voice\miwa\full_condition1.wav,34,1,8,8,0,0,1,6,2021/10/18/13:37:08,00:01:45.2,00:01:45.8,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.4,0,0,0,4,0.6,0,0.9
