FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,1,1,6,6,0,2,0,10,2021/10/18/13:38:15,00:00:00.0,00:00:03.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.1,3.7,4.1,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,2,1,6,6,0,3,0,12,2021/10/18/13:38:15,00:00:04.1,00:00:06.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.2,2.8,6.8,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,3,1,4,4,0,3,1,8,2021/10/18/13:38:15,00:00:14.4,00:00:19.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,7.5,0,0,0,6.1,5.1,6.6,9.3
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,4,1,6,6,0,1,0,8,2021/10/18/13:38:15,00:00:19.8,00:00:21.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.1,1.5,2.2,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,5,1,4,4,0,2,2,4,2021/10/18/13:38:15,00:00:21.6,00:00:22.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,5.8,0.8,10,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,6,1,4,4,2,3,0,8,2021/10/18/13:38:15,00:00:22.7,00:00:26.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.2,4,5.4,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,7,1,7,7,0,1,0,9,2021/10/18/13:38:15,00:00:27.0,00:00:30.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,5.8,3.8,3.3,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,8,3,4,2,0,4,3,4,2021/10/18/13:38:15,00:00:31.6,00:00:34.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,5.6,3,10,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,9,1,5,5,0,0,4,-3,2021/10/18/13:38:15,00:00:35.2,00:00:36.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,5.2,1,6.3,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,10,1,7,7,0,1,0,9,2021/10/18/13:38:15,00:00:36.8,00:00:38.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,6.8,2.1,6.3,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,11,1,7,7,0,0,2,3,2021/10/18/13:38:15,00:00:39.6,00:00:40.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,6.2,1.3,10,9.5
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,12,1,7,7,0,0,2,3,2021/10/18/13:38:15,00:00:41.2,00:00:43.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,4.9,2,9.1,9.5
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,13,2,5,1,5,1,1,-4,2021/10/18/13:38:15,00:00:43.7,00:00:44.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,4.8,0.9,8.5,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,14,1,6,6,0,1,1,6,2021/10/18/13:38:15,00:00:46.4,00:00:49.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.8,0,0,0,5.4,2.6,7.5,2.1
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,15,1,8,8,0,0,1,6,2021/10/18/13:38:15,00:00:49.4,00:00:51.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,6.6,1.8,1.9,9
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,16,1,4,4,0,2,3,2,2021/10/18/13:38:15,00:00:51.8,00:00:59.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,6,7.4,2.2,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,17,1,5,5,0,2,1,7,2021/10/18/13:38:15,00:01:00.3,00:01:05.3,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,1.1,0,0,0,6.6,5,5.5,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,18,1,8,8,0,0,1,6,2021/10/18/13:38:15,00:01:05.6,00:01:06.8,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,5,1.2,0,9.3
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,19,1,4,4,0,2,3,2,2021/10/18/13:38:15,00:01:07.6,00:01:08.5,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.8,0,0,0,5.3,0.9,2.8,0.3
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,20,1,8,8,0,0,0,8,2021/10/18/13:38:15,00:01:12.3,00:01:14.4,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,3.8,0,0,0,6,2.1,9.8,9.5
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,21,4,5,3,0,0,5,-7,2021/10/18/13:38:15,00:01:15.2,00:01:16.8,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.8,0,0,0,5.3,1.6,10,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,22,1,7,7,0,0,2,3,2021/10/18/13:38:15,00:01:17.2,00:01:18.8,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.4,0,0,0,6.3,1.6,4,9.7
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,23,1,4,4,0,3,1,8,2021/10/18/13:38:15,00:01:19.2,00:01:20.5,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.4,0,0,0,5.4,1.3,2.2,9.5
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,24,1,4,4,0,1,3,0,2021/10/18/13:38:15,00:01:20.8,00:01:21.9,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,4.2,1.1,10,9.3
D:\prog\exp_data\voice\morry_bk\full_condition3.wav,25,1,4,4,0,1,3,0,2021/10/18/13:38:15,00:01:22.2,00:01:23.2,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,5.7,1,3.4,8.3
