FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\natane\full_condition2.wav,1,1,6,6,0,0,2,2,2021/10/18/13:39:37,00:00:00.1,00:00:01.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.1,1.5,10,3.7
D:\prog\exp_data\voice\natane\full_condition2.wav,2,1,7,7,0,0,1,5,2021/10/18/13:39:37,00:00:01.9,00:00:04.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.3,2.8,4.9,0.1
D:\prog\exp_data\voice\natane\full_condition2.wav,3,1,6,6,2,0,0,4,2021/10/18/13:39:37,00:00:05.3,00:00:05.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,5.6,0.6,0,8.9
D:\prog\exp_data\voice\natane\full_condition2.wav,4,1,8,8,0,1,0,10,2021/10/18/13:39:37,00:00:06.2,00:00:09.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.5,3.3,4.9,9.7
D:\prog\exp_data\voice\natane\full_condition2.wav,5,1,6,6,0,3,0,12,2021/10/18/13:39:37,00:00:09.8,00:00:13.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.3,3.9,5.2,9.7
D:\prog\exp_data\voice\natane\full_condition2.wav,6,1,5,5,0,3,1,9,2021/10/18/13:39:37,00:00:14.0,00:00:16.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6,2.8,4.9,9.7
D:\prog\exp_data\voice\natane\full_condition2.wav,7,1,7,7,0,1,0,9,2021/10/18/13:39:37,00:00:17.9,00:00:18.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.1,0,0,0,4,0.3,6.8,7.5
D:\prog\exp_data\voice\natane\full_condition2.wav,8,1,6,6,0,0,3,0,2021/10/18/13:39:37,00:00:24.5,00:00:25.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,6.3,0,0,0,5.1,0.9,8.3,2.2
D:\prog\exp_data\voice\natane\full_condition2.wav,9,1,6,6,0,0,1,4,2021/10/18/13:39:37,00:00:26.3,00:00:27.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,4.7,1.4,4.5,0.1
D:\prog\exp_data\voice\natane\full_condition2.wav,10,1,8,8,0,0,0,8,2021/10/18/13:39:37,00:00:28.4,00:00:31.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.7,0,0,0,4.8,2.7,10,8.6
