FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\rui\full_condition4.wav,1,1,6,6,0,3,0,12,2021/10/18/13:40:29,00:00:00.0,00:00:01.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.1,1.2,10,3.3
D:\prog\exp_data\voice\rui\full_condition4.wav,2,1,8,8,0,0,0,8,2021/10/18/13:40:29,00:00:01.5,00:00:09.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.2,8.3,6.7,3.2
D:\prog\exp_data\voice\rui\full_condition4.wav,3,1,7,7,0,2,0,11,2021/10/18/13:40:29,00:00:10.3,00:00:13.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,6.3,3.5,1.3,9.7
D:\prog\exp_data\voice\rui\full_condition4.wav,4,1,7,7,0,0,1,5,2021/10/18/13:40:29,00:00:14.1,00:00:16.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,5.9,2.2,6.2,8.6
D:\prog\exp_data\voice\rui\full_condition4.wav,5,1,7,7,0,0,1,5,2021/10/18/13:40:29,00:00:25.2,00:00:27.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,8.9,0,0,0,5.7,2.4,4,8.2
D:\prog\exp_data\voice\rui\full_condition4.wav,6,4,4,2,0,3,4,0,2021/10/18/13:40:29,00:00:27.9,00:00:28.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,3.2,0.8,0,8.2
D:\prog\exp_data\voice\rui\full_condition4.wav,7,1,7,7,0,1,0,9,2021/10/18/13:40:29,00:00:29.6,00:00:30.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,6.3,0.8,10,0.8
D:\prog\exp_data\voice\rui\full_condition4.wav,8,1,6,6,0,3,0,12,2021/10/18/13:40:29,00:00:30.7,00:00:31.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6.5,1,7.2,0.8
D:\prog\exp_data\voice\rui\full_condition4.wav,9,1,8,8,0,0,1,6,2021/10/18/13:40:29,00:00:32.2,00:00:33.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,6.2,1.6,9,8.8
D:\prog\exp_data\voice\rui\full_condition4.wav,10,4,8,1,0,0,8,-15,2021/10/18/13:40:29,00:00:34.2,00:00:34.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,3.7,0.3,9.1,8.5
D:\prog\exp_data\voice\rui\full_condition4.wav,11,1,7,7,0,1,0,9,2021/10/18/13:40:29,00:00:35.0,00:00:36.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,5,1,10,8.2
D:\prog\exp_data\voice\rui\full_condition4.wav,12,1,5,5,0,3,1,9,2021/10/18/13:40:29,00:00:36.8,00:00:39.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,5.9,2.2,6.8,8.1
D:\prog\exp_data\voice\rui\full_condition4.wav,13,1,6,6,0,2,0,10,2021/10/18/13:40:29,00:00:41.3,00:00:42.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.3,0,0,0,4.6,1.2,0.8,7
D:\prog\exp_data\voice\rui\full_condition4.wav,14,3,6,0,2,6,0,10,2021/10/18/13:40:29,00:00:48.0,00:00:48.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,5.5,0,0,0,2.1,0.6,7.7,9
D:\prog\exp_data\voice\rui\full_condition4.wav,15,1,6,6,1,0,0,5,2021/10/18/13:40:29,00:00:49.0,00:00:50.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,5.3,1.1,1.5,8.1
D:\prog\exp_data\voice\rui\full_condition4.wav,16,4,4,3,0,1,4,-3,2021/10/18/13:40:29,00:00:50.6,00:00:52.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,5.5,1.7,0,8.4
D:\prog\exp_data\voice\rui\full_condition4.wav,17,1,6,6,1,0,2,1,2021/10/18/13:40:29,00:00:57.9,00:00:58.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,5.6,0,0,0,5.4,0.3,8.9,8.5
D:\prog\exp_data\voice\rui\full_condition4.wav,18,1,4,4,0,2,2,4,2021/10/18/13:40:29,00:00:59.8,00:01:00.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.6,0,0,0,5,0.4,4.8,0
D:\prog\exp_data\voice\rui\full_condition4.wav,19,1,7,7,0,1,0,9,2021/10/18/13:40:29,00:01:01.4,00:01:03.4,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,1.2,0,0,0,6.1,2,6.6,8.6
D:\prog\exp_data\voice\rui\full_condition4.wav,20,1,9,9,0,0,0,9,2021/10/18/13:40:29,00:01:11.4,00:01:12.3,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,8,0,0,0,5,0.9,3.4,2.8
D:\prog\exp_data\voice\rui\full_condition4.wav,21,1,7,7,0,1,1,7,2021/10/18/13:40:29,00:01:14.9,00:01:16.1,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,2.6,0,0,0,5.1,1.2,10,8.7
D:\prog\exp_data\voice\rui\full_condition4.wav,22,1,8,8,0,1,0,10,2021/10/18/13:40:29,00:01:22.1,00:01:22.5,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,6,0,0,0,5.4,0.4,10,8.4
D:\prog\exp_data\voice\rui\full_condition4.wav,23,1,8,8,0,1,0,10,2021/10/18/13:40:29,00:01:24.2,00:01:25.9,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.7,0,0,0,5.4,1.7,10,8.4
D:\prog\exp_data\voice\rui\full_condition4.wav,24,3,4,2,0,4,2,6,2021/10/18/13:40:29,00:01:30.1,00:01:30.4,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,4.2,0,0,0,5.8,0.3,8.1,8.6
D:\prog\exp_data\voice\rui\full_condition4.wav,25,3,8,0,0,8,0,16,2021/10/18/13:40:29,00:01:44.3,00:01:44.6,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,13.9,0,0,0,5.8,0.3,4.3,0.5
D:\prog\exp_data\voice\rui\full_condition4.wav,26,4,7,1,0,0,7,-13,2021/10/18/13:40:29,00:01:45.6,00:01:46.3,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.9,0.7,10,8.5
D:\prog\exp_data\voice\rui\full_condition4.wav,27,4,4,3,0,1,4,-3,2021/10/18/13:40:29,00:01:47.4,00:01:50.5,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.1,0,0,0,6.5,3.1,1.3,8.6
D:\prog\exp_data\voice\rui\full_condition4.wav,28,1,8,8,0,0,1,6,2021/10/18/13:40:29,00:01:57.4,00:01:58.4,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,6.9,0,0,0,6.4,1,7.3,8
D:\prog\exp_data\voice\rui\full_condition4.wav,29,1,7,7,0,1,0,9,2021/10/18/13:40:29,00:01:59.0,00:02:00.8,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.6,0,0,0,6.3,1.8,0,8.5
