FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,1,1,6,6,0,2,0,10,2021/10/18/13:41:20,00:00:00.0,00:00:06.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.5,6.5,6.2,9.7
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,2,1,5,5,0,2,1,7,2021/10/18/13:41:20,00:00:06.9,00:00:15.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,5.7,8.3,5.1,9.5
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,3,1,8,8,0,0,0,8,2021/10/18/13:41:20,00:00:24.2,00:00:25.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,9,0,0,0,5.8,1.5,7.2,9.7
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,4,1,6,6,0,2,0,10,2021/10/18/13:41:20,00:00:26.8,00:00:29.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.1,0,0,0,5.6,2.2,5.2,9.5
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,5,1,9,9,0,0,0,9,2021/10/18/13:41:20,00:00:30.1,00:00:31.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.1,0,0,0,6.2,1.2,5.7,0.8
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,6,1,8,8,0,0,0,8,2021/10/18/13:41:20,00:00:31.7,00:00:33.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,6,2.1,8.5,8.1
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,7,1,9,9,0,0,0,9,2021/10/18/13:41:20,00:00:35.1,00:00:35.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.3,0,0,0,5.5,0.3,0,0.4
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,8,1,8,8,0,0,0,8,2021/10/18/13:41:20,00:00:36.4,00:00:40.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6.3,4.3,6.3,8.6
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,9,1,8,8,0,0,0,8,2021/10/18/13:41:20,00:00:41.0,00:00:41.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,5.6,0.9,2.4,8.6
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,10,1,9,9,0,0,0,9,2021/10/18/13:41:20,00:00:42.6,00:00:45.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,6.5,3,3.2,8.5
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,11,1,9,9,0,0,0,9,2021/10/18/13:41:20,00:00:46.6,00:00:48.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6.2,1.9,7.6,9.3
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,12,1,8,8,0,0,0,8,2021/10/18/13:41:20,00:00:49.3,00:00:50.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,5.8,1.6,9.5,8.1
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,13,1,5,5,0,0,4,-3,2021/10/18/13:41:20,00:00:51.8,00:00:52.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.9,0,0,0,5.3,1,10,9.5
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,14,1,7,7,0,0,1,5,2021/10/18/13:41:20,00:00:54.3,00:00:55.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.5,0,0,0,5,0.9,10,8.2
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,15,1,5,5,0,3,1,9,2021/10/18/13:41:20,00:00:55.8,00:00:57.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,5.1,1.3,10,8.2
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,16,1,3,3,0,3,3,3,2021/10/18/13:41:20,00:01:00.0,00:01:00.7,1,OK,-,-,1,0,0,0,0,0,1,1,0,0,2.9,0,0,0,5.2,0.7,5.7,1.3
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,17,1,9,9,0,0,0,9,2021/10/18/13:41:20,00:01:01.7,00:01:03.6,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,1,0,0,0,5.8,1.9,7.2,9.5
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,18,1,7,7,0,1,0,9,2021/10/18/13:41:20,00:01:04.2,00:01:06.0,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,0.6,0,0,0,5.5,1.8,6.3,0.7
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,19,4,4,1,0,3,4,-1,2021/10/18/13:41:20,00:01:06.3,00:01:06.7,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,6.1,0.4,9.5,8.1
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,20,1,7,7,0,1,0,9,2021/10/18/13:41:20,00:01:07.5,00:01:09.0,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.8,0,0,0,6.1,1.5,5.8,8.4
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,21,1,7,7,0,1,0,9,2021/10/18/13:41:20,00:01:10.8,00:01:15.3,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.8,0,0,0,6.3,4.5,7.6,8.2
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,22,1,4,4,0,0,4,-4,2021/10/18/13:41:20,00:01:15.8,00:01:16.5,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.5,0,0,0,5.2,0.7,10,8.6
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,23,1,5,5,1,0,2,0,2021/10/18/13:41:20,00:01:17.6,00:01:20.1,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.1,0,0,0,5.9,2.5,5.7,8.8
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,24,1,9,9,0,0,0,9,2021/10/18/13:41:20,00:01:22.0,00:01:25.0,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.9,0,0,0,5.8,3,4.4,9.3
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,25,1,7,7,0,0,2,3,2021/10/18/13:41:20,00:01:26.1,00:01:29.1,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.1,0,0,0,5.7,3,6.1,8.2
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,26,1,9,9,0,0,0,9,2021/10/18/13:41:20,00:01:34.5,00:01:35.8,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,5.4,0,0,0,5.9,1.3,1.3,8.2
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,27,1,5,5,0,1,2,3,2021/10/18/13:41:20,00:01:36.5,00:01:38.1,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,5.8,1.6,7.1,0
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,28,1,6,6,0,1,1,6,2021/10/18/13:41:20,00:01:38.9,00:01:44.6,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.8,0,0,0,5.9,5.7,10,8.2
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,29,1,9,9,0,0,0,9,2021/10/18/13:41:20,00:01:46.2,00:01:48.5,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.6,0,0,0,6.3,2.3,6.9,8.1
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,30,1,6,6,0,2,1,8,2021/10/18/13:41:20,00:01:48.9,00:01:54.3,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.4,0,0,0,6.5,5.4,4.1,8.2
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,31,4,5,0,1,3,5,-5,2021/10/18/13:41:20,00:01:54.8,00:01:56.1,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,5.5,1.3,6.8,9.7
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,32,4,9,0,0,0,9,-18,2021/10/18/13:41:20,00:01:56.7,00:01:57.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.6,0,0,0,3.8,0.3,10,9.3
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,33,1,9,9,0,0,0,9,2021/10/18/13:41:20,00:01:57.5,00:02:00.5,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,5.4,3,5.5,8.2
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,34,1,7,7,0,1,0,9,2021/10/18/13:41:20,00:02:01.2,00:02:02.4,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,5.8,1.2,5.1,8.5
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,35,1,3,3,2,1,3,-3,2021/10/18/13:41:20,00:02:03.5,00:02:03.8,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.1,0,0,0,5,0.3,9.1,4.7
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,36,1,6,6,0,2,0,10,2021/10/18/13:41:20,00:02:04.1,00:02:08.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,6.2,3.9,3.8,8.6
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,37,1,10,10,0,0,0,10,2021/10/18/13:41:20,00:02:09.4,00:02:10.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.4,0,0,0,5.5,0.6,6.6,8.1
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,38,1,7,7,0,2,0,11,2021/10/18/13:41:20,00:02:10.4,00:02:14.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.4,0,0,0,6.2,3.6,1.9,9.7
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,39,1,6,6,0,0,2,2,2021/10/18/13:41:20,00:02:14.4,00:02:15.5,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.4,0,0,0,5.4,1.1,7,8.8
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,40,4,4,0,0,3,4,-2,2021/10/18/13:41:20,00:02:15.9,00:02:16.4,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.4,0,0,0,5.6,0.5,10,9.7
D:\prog\exp_data\voice\sakie_bali\full_condition4.wav,41,1,6,6,1,0,2,1,2021/10/18/13:41:20,00:02:17.3,00:02:18.4,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.9,0,0,0,6.5,1.1,8.9,9.1
