FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,1,1,9,9,0,0,0,9,2021/10/18/13:42:27,00:00:00.0,00:00:04.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4,4.4,5.8,9.5
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,2,1,6,6,1,0,0,5,2021/10/18/13:42:27,00:00:05.0,00:00:05.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,4.8,0.5,9.3,2.6
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,3,1,7,7,0,1,0,9,2021/10/18/13:42:27,00:00:06.3,00:00:10.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,6.6,4.5,4,0
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,4,1,7,7,0,2,0,11,2021/10/18/13:42:27,00:00:11.2,00:00:11.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,5.1,0.3,5.7,0
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,5,1,7,7,0,0,1,5,2021/10/18/13:42:27,00:00:12.0,00:00:15.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,6.2,3.6,3.9,8.1
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,6,1,4,4,0,0,4,-4,2021/10/18/13:42:27,00:00:22.8,00:00:23.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,7.2,0,0,0,5.4,1,0.9,0
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,7,1,7,7,0,0,1,5,2021/10/18/13:42:27,00:00:27.3,00:00:28.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,3.5,0,0,0,5.9,0.8,4.5,2.6
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,8,1,9,9,0,0,0,9,2021/10/18/13:42:27,00:00:30.0,00:00:36.7,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,1.9,0,0,0,6.2,6.7,7.5,8.4
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,9,1,5,5,0,0,4,-3,2021/10/18/13:42:27,00:00:37.4,00:00:38.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,5,0.8,2.4,7
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,10,1,5,5,0,0,3,-1,2021/10/18/13:42:27,00:00:38.5,00:00:39.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6.4,0.7,0,7.8
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,11,1,8,8,0,0,1,6,2021/10/18/13:42:27,00:00:39.6,00:00:40.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,6,1.1,5.4,8
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,12,1,8,8,0,0,0,8,2021/10/18/13:42:27,00:00:47.1,00:00:48.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,6.4,0,0,0,4.9,1.5,3,7.2
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,13,2,4,1,4,3,0,3,2021/10/18/13:42:27,00:00:49.3,00:00:49.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,2.9,0.3,10,8.1
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,14,1,3,3,0,3,3,3,2021/10/18/13:42:27,00:00:49.9,00:00:50.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,2.9,0.3,10,8.1
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,15,1,9,9,0,0,0,9,2021/10/18/13:42:27,00:00:54.8,00:00:57.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,4.6,0,0,0,6.4,2.5,5.5,0
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,16,1,9,9,0,0,0,9,2021/10/18/13:42:27,00:00:58.0,00:01:00.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,7.3,2,2.1,6.7
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,17,1,7,7,0,1,1,7,2021/10/18/13:42:27,00:01:00.7,00:01:04.1,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,0.7,0,0,0,6.4,3.4,3.5,4.5
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,18,1,6,6,0,0,2,2,2021/10/18/13:42:27,00:01:06.4,00:01:10.2,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,2.3,0,0,0,5.4,3.8,0.9,3.4
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,19,1,8,8,0,0,1,6,2021/10/18/13:42:27,00:01:11.8,00:01:14.2,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.6,0,0,0,5.5,2.4,3.8,0
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,20,1,6,6,0,1,2,4,2021/10/18/13:42:27,00:01:16.3,00:01:18.1,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,2.1,0,0,0,5.4,1.8,4.9,6.5
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,21,1,4,4,0,3,2,6,2021/10/18/13:42:27,00:01:24.3,00:01:24.6,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,6.2,0,0,0,5.5,0.3,0,8.4
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,22,1,7,7,1,0,1,4,2021/10/18/13:42:27,00:01:25.4,00:01:26.1,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.8,0,0,0,5.5,0.7,8.1,8.5
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,23,1,7,7,0,0,2,3,2021/10/18/13:42:27,00:01:26.6,00:01:27.4,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.5,0,0,0,6.4,0.8,5.8,0
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,24,1,7,7,0,0,1,5,2021/10/18/13:42:27,00:01:27.9,00:01:29.0,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.5,0,0,0,5.4,1.1,5.2,0.6
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,25,1,8,8,0,0,1,6,2021/10/18/13:42:27,00:01:29.8,00:01:30.3,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.8,0,0,0,5.2,0.5,0,7.5
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,26,4,5,4,0,0,5,-6,2021/10/18/13:42:27,00:01:30.6,00:01:31.1,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,5.2,0.5,0,0
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,27,1,6,6,0,1,2,4,2021/10/18/13:42:27,00:01:32.5,00:01:36.0,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.4,0,0,0,5.7,3.5,1,8
D:\prog\exp_data\voice\shizumizu\full_condition1.wav,28,1,5,5,0,0,3,-1,2021/10/18/13:42:27,00:01:37.4,00:01:38.9,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.4,0,0,0,5.7,1.5,0,8.2
