FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,1,3,4,3,0,4,2,7,2021/10/18/13:42:58,00:00:00.0,00:00:01.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1.1,6,9.7
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,2,1,5,5,0,3,1,9,2021/10/18/13:42:58,00:00:01.9,00:00:07.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,6.5,5.2,6.7,9.7
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,3,1,6,6,0,3,0,12,2021/10/18/13:42:58,00:00:18.8,00:00:19.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,11.7,0,0,0,2.8,0.5,10,9.7
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,4,1,4,4,0,2,2,4,2021/10/18/13:42:58,00:00:19.9,00:00:21.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,3.6,1.1,9.3,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,5,3,8,0,0,8,0,16,2021/10/18/13:42:58,00:00:22.8,00:00:23.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.8,0,0,0,3.4,1,0,8.8
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,6,3,4,1,3,4,0,6,2021/10/18/13:42:58,00:00:24.4,00:00:24.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,4,0.3,10,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,7,1,7,7,0,1,0,9,2021/10/18/13:42:58,00:00:25.0,00:00:25.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,4.7,0.4,10,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,8,1,5,5,0,0,3,-1,2021/10/18/13:42:58,00:00:27.9,00:00:29.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,2.5,0,0,0,4.1,1.3,6.5,9.7
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,9,1,6,6,0,0,2,2,2021/10/18/13:42:58,00:00:29.7,00:00:31.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,4.4,1.7,6.3,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,10,1,8,8,0,0,0,8,2021/10/18/13:42:58,00:00:32.8,00:00:33.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.4,0,0,0,5.7,0.3,0,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,11,2,7,1,7,0,1,-8,2021/10/18/13:42:58,00:00:34.5,00:00:34.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.4,0,0,0,4.2,0.3,10,0.6
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,12,1,8,8,0,0,1,6,2021/10/18/13:42:58,00:00:35.3,00:00:36.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,4.1,0.7,5.8,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,13,1,4,4,0,0,4,-4,2021/10/18/13:42:58,00:00:38.5,00:00:39.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.5,0,0,0,3.4,0.5,7.5,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,14,3,3,2,0,3,3,2,2021/10/18/13:42:58,00:00:39.3,00:00:40.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,3.1,1.1,10,9.7
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,15,1,3,3,1,1,2,0,2021/10/18/13:42:58,00:00:41.7,00:00:44.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.3,0,0,0,6,2.4,10,9.7
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,16,1,8,8,0,0,0,8,2021/10/18/13:42:58,00:00:47.2,00:00:50.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,3.1,0,0,0,4,2.8,7.1,8.1
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,17,1,8,8,0,0,0,8,2021/10/18/13:42:58,00:00:52.8,00:00:53.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.8,0,0,0,4,0.6,1.6,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,18,1,8,8,0,0,0,8,2021/10/18/13:42:58,00:00:55.2,00:00:55.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.8,0,0,0,4.5,0.6,10,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,19,4,4,3,0,2,4,-1,2021/10/18/13:42:58,00:00:56.6,00:00:57.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,3.7,0.5,6.7,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,20,1,7,7,0,0,1,5,2021/10/18/13:42:58,00:01:00.8,00:01:01.5,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,3.7,0,0,0,3.3,0.7,8.9,8.2
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,21,1,3,3,3,2,0,4,2021/10/18/13:42:58,00:01:04.7,00:01:06.2,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,3.2,0,0,0,4.6,1.5,10,9.7
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,22,1,8,8,0,0,0,8,2021/10/18/13:42:58,00:01:07.6,00:01:08.0,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.4,0,0,0,4.5,0.4,10,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,23,1,5,5,0,2,2,5,2021/10/18/13:42:58,00:01:12.2,00:01:13.7,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,4.2,0,0,0,4.2,1.5,0,9.7
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,24,1,4,4,0,1,4,-2,2021/10/18/13:42:58,00:01:14.8,00:01:15.2,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.1,0,0,0,3.3,0.4,8,3.2
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,25,4,6,2,0,1,6,-8,2021/10/18/13:42:58,00:01:23.6,00:01:24.3,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,8.4,0,0,0,3.6,0.7,7.2,9.5
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,26,4,5,2,0,1,5,-6,2021/10/18/13:42:58,00:01:30.7,00:01:31.2,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,6.4,0,0,0,5.1,0.5,10,5.1
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,27,1,8,8,0,0,0,8,2021/10/18/13:42:58,00:01:41.1,00:01:41.6,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,9.9,0,0,0,4,0.5,10,2
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,28,1,3,3,3,1,1,0,2021/10/18/13:42:58,00:01:42.6,00:01:43.5,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.5,0.9,6.5,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,29,3,4,1,2,4,0,7,2021/10/18/13:42:58,00:01:43.8,00:01:44.2,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,3.7,0.4,9.6,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,30,4,6,2,0,1,6,-8,2021/10/18/13:42:58,00:01:45.0,00:01:45.3,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.8,0,0,0,3.5,0.3,10,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,31,1,6,6,0,0,3,0,2021/10/18/13:42:58,00:01:45.7,00:01:46.2,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.4,0,0,0,4.5,0.5,4.9,8
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,32,1,3,3,1,1,3,-2,2021/10/18/13:42:58,00:01:48.4,00:01:49.5,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,2.2,0,0,0,4.3,1.1,8.2,8.2
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,33,4,4,3,0,2,4,-1,2021/10/18/13:42:58,00:01:50.1,00:01:51.4,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.6,0,0,0,4.4,1.3,5.7,8.8
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,34,4,5,3,0,0,5,-7,2021/10/18/13:42:58,00:01:53.4,00:01:54.4,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5.5,1,9.6,0.1
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,35,1,6,6,0,0,2,2,2021/10/18/13:42:58,00:01:55.6,00:01:56.3,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.2,0,0,0,4.6,0.7,10,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,36,3,3,1,1,3,3,0,2021/10/18/13:42:58,00:02:07.8,00:02:08.3,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,11.5,0,0,0,3.7,0.5,7.8,6.7
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,37,1,6,6,0,1,2,4,2021/10/18/13:42:58,00:02:14.5,00:02:15.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,6.2,0,0,0,4.3,0.5,10,8.8
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,38,1,7,7,0,0,2,3,2021/10/18/13:42:58,00:02:15.5,00:02:16.1,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,3.6,0.6,8.5,0.3
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,39,1,6,6,1,1,0,7,2021/10/18/13:42:58,00:02:29.8,00:02:31.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,13.7,0,0,0,4.4,1.2,8.4,8.8
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,40,1,5,5,0,0,3,-1,2021/10/18/13:42:58,00:02:32.1,00:02:32.7,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,1.1,0,0,0,4.3,0.6,5.2,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,41,1,8,8,0,1,0,10,2021/10/18/13:42:58,00:02:33.3,00:02:33.7,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.6,0,0,0,5.3,0.4,10,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,42,1,6,6,0,0,3,0,2021/10/18/13:42:58,00:02:34.1,00:02:34.7,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.4,0,0,0,3.5,0.6,0,8.8
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,43,1,6,6,0,0,2,2,2021/10/18/13:42:58,00:02:35.4,00:02:35.9,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.7,0,0,0,3.7,0.5,0,0
D:\prog\exp_data\voice\sun_maru_23\full_condition2.wav,44,1,5,5,2,2,0,7,2021/10/18/13:42:58,00:02:37.1,00:02:38.3,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,1.2,0,0,0,4.2,1.2,2.4,0
