FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\tamafi\full_condition2.wav,1,1,7,7,0,1,0,9,2021/10/18/13:43:36,00:00:00.0,00:00:05.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,5,4.7,9.7
D:\prog\exp_data\voice\tamafi\full_condition2.wav,2,1,9,9,0,0,0,9,2021/10/18/13:43:36,00:00:05.4,00:00:05.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.1,0.5,0,0.7
D:\prog\exp_data\voice\tamafi\full_condition2.wav,3,1,7,7,0,2,0,11,2021/10/18/13:43:36,00:00:06.2,00:00:09.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.4,3.6,5.2,9.7
D:\prog\exp_data\voice\tamafi\full_condition2.wav,4,1,5,5,0,2,1,7,2021/10/18/13:43:36,00:00:10.2,00:00:12.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.3,2.2,7.4,9.7
D:\prog\exp_data\voice\tamafi\full_condition2.wav,5,1,8,8,0,0,0,8,2021/10/18/13:43:36,00:00:16.5,00:00:16.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,4.1,0,0,0,4.1,0.4,10,0
D:\prog\exp_data\voice\tamafi\full_condition2.wav,6,1,6,6,0,0,2,2,2021/10/18/13:43:36,00:00:19.3,00:00:19.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,2.4,0,0,0,2.8,0.5,4.3,0
D:\prog\exp_data\voice\tamafi\full_condition2.wav,7,1,5,5,0,1,2,3,2021/10/18/13:43:36,00:00:22.4,00:00:23.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,2.6,0,0,0,4.9,0.6,0,8.2
D:\prog\exp_data\voice\tamafi\full_condition2.wav,8,4,5,3,0,1,5,-5,2021/10/18/13:43:36,00:00:28.6,00:00:30.8,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,5.6,0,0,0,5.6,2.2,3.6,9.5
D:\prog\exp_data\voice\tamafi\full_condition2.wav,9,1,7,7,0,1,0,9,2021/10/18/13:43:36,00:00:31.8,00:00:35.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5.7,3.2,5,9.3
D:\prog\exp_data\voice\tamafi\full_condition2.wav,10,1,8,8,0,0,1,6,2021/10/18/13:43:36,00:00:35.3,00:00:37.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6.4,2.6,0.4,9.5
D:\prog\exp_data\voice\tamafi\full_condition2.wav,11,1,4,4,1,3,1,7,2021/10/18/13:43:36,00:00:38.6,00:00:39.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,6,0.7,6,0.5
D:\prog\exp_data\voice\tamafi\full_condition2.wav,12,3,6,1,0,6,2,9,2021/10/18/13:43:36,00:00:41.6,00:00:42.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2.3,0,0,0,6,0.4,8,9
D:\prog\exp_data\voice\tamafi\full_condition2.wav,13,1,8,8,0,1,0,10,2021/10/18/13:43:36,00:00:43.9,00:00:48.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.9,0,0,0,6.4,4.8,2.4,8.3
D:\prog\exp_data\voice\tamafi\full_condition2.wav,14,4,4,2,0,2,4,-2,2021/10/18/13:43:36,00:00:49.7,00:00:50.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1.1,2,9.1
D:\prog\exp_data\voice\tamafi\full_condition2.wav,15,1,5,5,0,2,1,7,2021/10/18/13:43:36,00:00:51.8,00:00:53.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5.8,1.8,5.2,0
D:\prog\exp_data\voice\tamafi\full_condition2.wav,16,1,5,5,1,2,0,8,2021/10/18/13:43:36,00:00:54.4,00:00:56.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,5.9,1.7,4,8.2
