FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,1,1,8,8,0,0,0,8,2021/10/18/13:44:33,00:00:00.5,00:00:03.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4,3.2,5.4,0
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,2,1,8,8,0,0,0,8,2021/10/18/13:44:33,00:00:04.0,00:00:06.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.4,2.9,2.6,1
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,3,1,8,8,0,0,1,6,2021/10/18/13:44:33,00:00:07.2,00:00:10.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.3,0,0,0,6.4,2.8,5.7,0.8
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,4,1,8,8,0,0,0,8,2021/10/18/13:44:33,00:00:10.8,00:00:15.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,6.5,4.4,7.6,9.7
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,5,1,5,5,0,2,1,7,2021/10/18/13:44:33,00:00:16.1,00:00:18.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,6.2,1.9,4,9.7
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,6,1,3,3,2,1,2,-1,2021/10/18/13:44:33,00:00:18.7,00:00:19.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.7,0,0,0,3.7,0.8,2,1.4
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,7,1,5,5,0,0,4,-3,2021/10/18/13:44:33,00:00:27.9,00:00:32.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,8.4,0,0,0,4.9,4.1,2,1
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,8,1,4,4,0,2,2,4,2021/10/18/13:44:33,00:00:32.5,00:00:35.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,4.9,3,6.5,0
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,9,4,4,3,0,1,4,-3,2021/10/18/13:44:33,00:00:36.6,00:00:38.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.1,0,0,0,4.8,2.2,10,2.2
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,10,1,7,7,0,0,2,3,2021/10/18/13:44:33,00:00:39.1,00:00:43.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,5.1,4.1,7.5,1.3
D:\prog\exp_data\voice\tatsuya\full_condition3.wav,11,4,5,4,0,0,5,-6,2021/10/18/13:44:33,00:00:43.8,00:00:44.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,5,0.4,9.8,1.2
