FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,1,1,5,5,0,3,0,11,2021/10/18/13:45:55,00:00:00.0,00:00:00.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.7,0.7,6.4,1
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,2,1,7,7,0,0,1,5,2021/10/18/13:45:55,00:00:01.3,00:00:01.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,6.5,0.4,8.5,1.1
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,3,1,6,6,0,2,0,10,2021/10/18/13:45:55,00:00:02.1,00:00:06.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.4,4,3.3,9.7
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,4,1,7,7,0,2,0,11,2021/10/18/13:45:55,00:00:06.7,00:00:08.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,6.5,2,5.8,9.5
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,5,1,4,4,0,4,0,12,2021/10/18/13:45:55,00:00:09.3,00:00:09.6,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.6,0,0,0,5.3,0.3,10,9.7
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,6,3,6,1,2,6,0,11,2021/10/18/13:45:55,00:00:16.8,00:00:17.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,7.2,0,0,0,4.4,0.9,8.5,5.5
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,7,1,8,8,0,0,1,6,2021/10/18/13:45:55,00:00:18.6,00:00:18.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,4.6,0.3,0,5.9
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,8,4,5,0,0,2,5,-6,2021/10/18/13:45:55,00:00:20.2,00:00:21.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.3,0,0,0,5.6,1.5,8.5,8.8
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,9,1,4,4,0,1,4,-2,2021/10/18/13:45:55,00:00:22.2,00:00:22.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,5.3,0.7,8.5,1.1
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,10,4,5,3,0,1,5,-5,2021/10/18/13:45:55,00:00:26.9,00:00:27.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,4,0,0,0,5.9,1,3.8,2.2
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,11,4,4,3,0,1,4,-3,2021/10/18/13:45:55,00:00:46.2,00:00:48.2,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,18.3,0,0,0,5.7,2,6.8,0
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,12,1,7,7,0,1,0,9,2021/10/18/13:45:55,00:01:07.6,00:01:09.6,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,19.4,0,0,0,5.4,2,8.2,8.5
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,13,1,9,9,0,0,0,9,2021/10/18/13:45:55,00:01:11.2,00:01:14.5,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.6,0,0,0,6.6,3.3,3.9,1
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,14,2,4,1,4,1,2,-5,2021/10/18/13:45:55,00:01:33.2,00:01:33.6,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,18.7,0,0,0,3.6,0.4,8.5,9.3
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,15,1,8,8,0,1,0,10,2021/10/18/13:45:55,00:01:34.1,00:01:36.3,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,6.3,2.2,7.7,0.4
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,16,3,5,0,0,5,3,4,2021/10/18/13:45:55,00:02:17.3,00:02:17.9,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,41,0,0,0,5.4,0.6,4.9,0
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,17,1,4,4,0,3,1,8,2021/10/18/13:45:55,00:02:18.8,00:02:22.7,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.9,0,0,0,6.3,3.9,7,9.1
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,18,1,8,8,0,1,0,10,2021/10/18/13:45:55,00:02:25.7,00:02:28.4,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5.7,2.7,6.8,8.8
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,19,1,5,5,1,2,1,6,2021/10/18/13:45:55,00:02:29.6,00:02:31.0,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,1.2,0,0,0,5.2,1.4,10,5.9
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,20,1,4,4,0,2,2,4,2021/10/18/13:45:55,00:02:32.3,00:02:33.7,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,1.3,0,0,0,6.2,1.4,4.8,1.6
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,21,1,4,4,0,1,3,0,2021/10/18/13:45:55,00:02:36.7,00:02:37.2,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5.7,0.5,5.9,0
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,22,1,5,5,0,2,1,7,2021/10/18/13:45:55,00:02:39.0,00:02:40.5,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,1.8,0,0,0,6.3,1.5,5.5,7.5
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,23,1,5,5,0,2,1,7,2021/10/18/13:45:55,00:02:47.7,00:02:48.4,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,7.2,0,0,0,6.8,0.7,10,5.3
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,24,1,5,5,1,0,2,0,2021/10/18/13:45:55,00:02:50.1,00:02:52.5,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,1.7,0,0,0,6.5,2.4,9.3,0
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,25,1,3,3,0,3,2,5,2021/10/18/13:45:55,00:02:58.8,00:02:59.6,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,6.3,0,0,0,5.2,0.8,10,8.6
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,26,1,8,8,0,1,0,10,2021/10/18/13:45:55,00:03:01.9,00:03:02.5,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,2.3,0,0,0,5.8,0.6,6.8,3
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,27,1,4,4,0,4,1,10,2021/10/18/13:45:55,00:03:03.1,00:03:05.9,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,0.6,0,0,0,6.3,2.8,8.2,9.3
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,28,1,8,8,0,0,0,8,2021/10/18/13:45:55,00:03:07.5,00:03:08.7,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,1.6,0,0,0,6,1.2,8,1.1
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,29,1,8,8,0,0,0,8,2021/10/18/13:45:55,00:03:11.0,00:03:14.4,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,2.3,0,0,0,6.3,3.4,3.6,0.5
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,30,4,6,3,0,0,6,-9,2021/10/18/13:45:55,00:03:24.5,00:03:24.8,1,OK,-,-,0,0,0,1,0,0,0,0,0,0,10.1,0,0,0,4.6,0.3,0,0
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,31,1,7,7,0,0,2,3,2021/10/18/13:45:55,00:03:25.2,00:03:25.5,1,OK,-,-,0,0,0,1,0,0,0,0,0,0,0.4,0,0,0,4.2,0.3,10,8.2
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,32,1,5,5,0,4,0,13,2021/10/18/13:45:55,00:03:26.0,00:03:27.3,1,OK,-,-,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,5.3,1.3,7,9.3
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,33,1,5,5,0,0,4,-3,2021/10/18/13:45:55,00:03:28.4,00:03:30.4,1,OK,-,-,0,0,0,1,0,0,0,0,0,0,1.1,0,0,0,6.3,2,9,3
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,34,1,7,7,0,2,0,11,2021/10/18/13:45:55,00:03:52.3,00:03:56.5,1,OK,-,-,0,0,0,1,0,0,0,0,0,0,21.9,0,0,0,6.7,4.2,4.5,0.8
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,35,1,5,5,0,1,2,3,2021/10/18/13:45:55,00:04:02.1,00:04:04.5,1,OK,-,-,0,0,0,1,0,0,0,0,0,0,5.6,0,0,0,6.1,2.4,7.5,8.5
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,36,1,5,5,0,3,1,9,2021/10/18/13:45:55,00:04:05.5,00:04:05.9,1,OK,-,-,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.9,0.4,0,8.5
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,37,1,9,9,0,0,0,9,2021/10/18/13:45:55,00:04:15.3,00:04:18.0,1,OK,-,-,0,0,0,0,1,0,0,0,0,0,9.4,0,0,0,6.4,2.7,7.7,0.3
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,38,1,9,9,0,0,0,9,2021/10/18/13:45:55,00:04:21.9,00:04:23.9,1,OK,-,-,0,0,0,0,1,0,0,0,1,0,3.9,0,0,0,5.9,2,7.7,5.7
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,39,1,8,8,0,0,1,6,2021/10/18/13:45:55,00:04:26.2,00:04:29.1,1,OK,-,-,0,0,0,0,1,0,0,0,1,0,2.3,0,0,0,6.1,2.9,1.4,9.3
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,40,1,5,5,0,2,2,5,2021/10/18/13:45:55,00:04:31.9,00:04:34.4,1,OK,-,-,0,0,0,0,1,0,0,0,1,0,2.8,0,0,0,6.3,2.5,4.9,2
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,41,1,7,7,0,2,0,11,2021/10/18/13:45:55,00:04:51.5,00:04:52.4,1,OK,-,-,0,0,0,0,1,0,0,0,0,1,17.1,0,0,0,5.8,0.9,5.7,0
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,42,1,7,7,0,2,0,11,2021/10/18/13:45:55,00:04:56.5,00:04:59.0,1,OK,-,-,0,0,0,0,1,0,0,0,0,1,4.1,0,0,0,5.9,2.5,2.8,4.3
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,43,1,8,8,0,0,0,8,2021/10/18/13:45:55,00:05:03.9,00:05:06.1,1,OK,-,-,0,0,0,0,1,0,0,0,0,1,4.9,0,0,0,5.7,2.2,1.6,9.5
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,44,1,6,6,2,0,1,2,2021/10/18/13:45:55,00:05:09.0,00:05:09.6,1,OK,-,-,0,0,0,0,1,0,0,0,0,1,2.9,0,0,0,4.1,0.6,1.5,8.2
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,45,1,7,7,0,0,1,5,2021/10/18/13:45:55,00:05:10.3,00:05:10.9,1,OK,-,-,0,0,0,0,1,0,0,0,0,1,0.7,0,0,0,4.7,0.6,9.5,8.2
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,46,1,6,6,0,0,2,2,2021/10/18/13:45:55,00:05:14.9,00:05:16.7,1,OK,-,-,0,0,0,0,1,0,0,0,0,1,4,0,0,0,6,1.8,6.9,0
D:\prog\exp_data\voice\tgtgtg\full_condition2.wav,47,1,6,6,1,1,0,7,2021/10/18/13:45:55,00:05:17.7,00:05:18.7,1,OK,-,-,0,0,0,0,1,0,0,0,0,1,1,0,0,0,6.6,1.02,10,8.5
