FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,1,1,5,5,0,2,1,7,2021/10/18/13:47:50,00:00:00.0,00:00:04.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,4.5,1.4,3.2
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,2,1,8,8,0,0,1,6,2021/10/18/13:47:50,00:00:05.7,00:00:11.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.2,0,0,0,6.6,5.3,4.9,9.7
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,3,1,8,8,0,1,0,10,2021/10/18/13:47:50,00:00:11.4,00:00:14.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.6,2.9,5.1,9.7
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,4,1,6,6,0,2,0,10,2021/10/18/13:47:50,00:00:15.4,00:00:19.0,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.1,0,0,0,6.5,3.6,7,9.7
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,5,1,8,8,0,0,0,8,2021/10/18/13:47:50,00:00:19.4,00:00:22.5,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.4,0,0,0,6.1,3.1,1.3,9.5
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,6,1,3,3,0,2,3,1,2021/10/18/13:47:50,00:00:30.3,00:00:33.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,7.8,0,0,0,5.6,3,6.7,9.1
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,7,1,8,8,0,0,0,8,2021/10/18/13:47:50,00:00:36.3,00:00:39.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,3,0,0,0,5.5,2.7,7.5,9.1
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,8,1,6,6,0,1,2,4,2021/10/18/13:47:50,00:00:39.4,00:00:40.1,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,5.7,0.7,10,0
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,9,1,6,6,0,0,2,2,2021/10/18/13:47:50,00:00:40.9,00:00:41.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,5.6,0.6,0,0.2
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,10,1,9,9,0,0,1,7,2021/10/18/13:47:50,00:00:42.3,00:00:42.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,6,0.6,0,0.5
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,11,1,6,6,0,0,2,2,2021/10/18/13:47:50,00:00:44.1,00:00:44.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.2,0,0,0,5.5,0.8,9.7,8.8
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,12,1,5,5,0,1,2,3,2021/10/18/13:47:50,00:00:46.1,00:00:47.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,1.2,0,0,0,6.8,1.2,5.3,0.5
D:\prog\exp_data\voice\tonohiro\full_condition4.wav,13,1,6,6,0,2,0,10,2021/10/18/13:47:50,00:00:47.7,00:00:50.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,6.5,2.3,7.1,6.7
