FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\tsumugi\condition4\c00_00.wav,1,1,8,8,0,0,0,8,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,3.5,8.5
D:\prog\exp_data\voice\tsumugi\condition4\c00_01.wav,1,1,8,8,0,0,0,8,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,4.3,9.7
D:\prog\exp_data\voice\tsumugi\condition4\c00_02.wav,1,4,4,3,0,2,4,-1,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,1.7,9.7
D:\prog\exp_data\voice\tsumugi\condition4\c00_03.wav,1,4,6,2,0,1,6,-8,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.7,8.3
D:\prog\exp_data\voice\tsumugi\condition4\c01_00.wav,1,1,4,4,3,1,0,3,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,2,8.3
D:\prog\exp_data\voice\tsumugi\condition4\c01_01.wav,1,4,6,1,0,1,6,-9,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,2.6,0
D:\prog\exp_data\voice\tsumugi\condition4\c01_02.wav,1,1,8,8,0,0,0,8,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,3.1,3.5
D:\prog\exp_data\voice\tsumugi\condition4\c01_03.wav,1,4,7,1,0,1,7,-11,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,4,0.7
D:\prog\exp_data\voice\tsumugi\condition4\c01_04.wav,1,1,8,8,0,0,0,8,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6.4,9
D:\prog\exp_data\voice\tsumugi\condition4\c01_05.wav,1,4,6,0,1,0,6,-13,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,1.1,8.2
D:\prog\exp_data\voice\tsumugi\condition4\c01_06.wav,1,1,8,8,0,0,0,8,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,3.9,1.4
D:\prog\exp_data\voice\tsumugi\condition4\c01_07.wav,1,1,6,6,1,0,1,3,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,6.2,3.2
D:\prog\exp_data\voice\tsumugi\condition4\c01_08.wav,1,4,4,3,0,2,4,-1,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5.6,9
D:\prog\exp_data\voice\tsumugi\condition4\c01_09.wav,1,2,5,2,5,1,0,-1,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,5.1,5.3
D:\prog\exp_data\voice\tsumugi\condition4\c01_10.wav,1,4,6,2,0,1,6,-8,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0.1,5.1
D:\prog\exp_data\voice\tsumugi\condition4\c01_11.wav,1,1,7,7,0,0,1,5,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,3.3,8.2
D:\prog\exp_data\voice\tsumugi\condition4\c01_12.wav,1,4,5,3,0,0,5,-7,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.9
D:\prog\exp_data\voice\tsumugi\condition4\c01_13.wav,1,4,6,3,0,0,6,-9,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,3.2,5.3
D:\prog\exp_data\voice\tsumugi\condition4\c01_14.wav,1,3,4,1,0,4,4,1,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,5.9,9.7
D:\prog\exp_data\voice\tsumugi\condition4\c01_15.wav,1,4,5,2,0,2,5,-4,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,6.8,5.5
D:\prog\exp_data\voice\tsumugi\condition4\c02.wav,1,1,8,8,0,0,0,8,2021/10/21/12:53:02,00:00.0,00:13.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,5.7
D:\prog\exp_data\voice\tsumugi\condition4\c03.wav,1,4,5,2,0,1,5,-6,2021/10/21/12:53:02,00:00.0,00:11.0,1,OK,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,1.7,0
