FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,F0-30s,F30-60s,F60-90s,L60-30s,L0-30s,Interval1,Interval2,Overlap1,Overlap2,Volume1,TalkLength,Speed1,Pitch1
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,1,1,6,6,0,0,2,2,2021/10/18/13:48:18,00:00:00.0,00:00:00.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9,0.9,8.7,3.5
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,2,1,4,4,2,2,0,6,2021/10/18/13:48:18,00:00:01.6,00:00:01.9,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.7,0,0,0,4.6,0.3,10,0.9
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,3,1,7,7,0,2,0,11,2021/10/18/13:48:18,00:00:02.6,00:00:06.4,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.7,0,0,0,6.6,3.8,3.9,1.2
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,4,1,8,8,0,1,0,10,2021/10/18/13:48:18,00:00:07.5,00:00:09.7,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.1,0,0,0,6.4,2.2,8.4,9.7
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,5,1,7,7,1,1,0,8,2021/10/18/13:48:18,00:00:10.9,00:00:12.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,1.2,0,0,0,5.4,1.2,4.6,0
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,6,3,4,2,0,4,3,4,2021/10/18/13:48:18,00:00:14.7,00:00:15.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,2.6,0,0,0,5.3,0.5,10,2.8
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,7,1,6,6,2,0,1,2,2021/10/18/13:48:18,00:00:16.1,00:00:17.1,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.9,0,0,0,5.1,1,9.3,0
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,8,4,5,3,0,1,5,-5,2021/10/18/13:48:18,00:00:17.9,00:00:19.2,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,0.8,0,0,0,5.2,1.3,5.1,0
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,9,4,5,3,0,0,5,-7,2021/10/18/13:48:18,00:00:29.9,00:00:30.3,1,OK,-,-,1,0,0,0,0,1,0,0,0,0,10.7,0,0,0,5.5,0.4,2.6,3.1
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,10,1,4,4,0,1,4,-2,2021/10/18/13:48:18,00:00:31.0,00:00:32.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.7,0,0,0,5.2,1.6,5.5,7.2
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,11,1,5,5,0,2,2,5,2021/10/18/13:48:18,00:00:41.6,00:00:42.5,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,9,0,0,0,6,0.9,3.5,9
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,12,4,6,1,0,1,6,-9,2021/10/18/13:48:18,00:00:44.5,00:00:44.8,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,2,0,0,0,3.9,0.3,4.9,9.7
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,13,1,9,9,0,0,0,9,2021/10/18/13:48:18,00:00:45.4,00:00:46.9,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.6,0,0,0,5.1,1.5,3.5,5.5
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,14,1,8,8,0,0,0,8,2021/10/18/13:48:18,00:00:49.9,00:00:51.3,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,3,0,0,0,5.5,1.4,8.6,4.1
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,15,1,7,7,0,0,1,5,2021/10/18/13:48:18,00:00:54.4,00:00:54.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,3.1,0,0,0,6.6,0.3,0,0
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,16,1,9,9,0,0,0,9,2021/10/18/13:48:18,00:00:55.1,00:00:55.6,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.4,0,0,0,4.6,0.5,5.3,0
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,17,3,5,4,0,5,0,14,2021/10/18/13:48:18,00:00:55.9,00:00:57.4,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.3,0,0,0,6.1,1.5,3.4,1.4
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,18,1,3,3,0,2,3,1,2021/10/18/13:48:18,00:00:58.2,00:00:59.7,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0.8,0,0,0,5.4,1.5,7.2,9
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,19,4,6,3,0,0,6,-9,2021/10/18/13:48:18,00:01:00.0,00:01:00.5,1,OK,-,-,1,0,0,0,0,0,1,1,0,0,0.3,0,0,0,5.3,0.5,5.8,2.6
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,20,1,6,6,0,0,2,2,2021/10/18/13:48:18,00:01:02.5,00:01:04.8,1,OK,-,-,1,0,0,0,0,0,0,1,0,0,2,0,0,0,5.7,2.3,1.7,0
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,21,1,7,7,0,1,0,9,2021/10/18/13:48:18,00:01:06.9,00:01:08.3,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,2.1,0,0,0,6,1.4,10,0.2
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,22,1,4,4,4,1,0,2,2021/10/18/13:48:18,00:01:08.7,00:01:09.0,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.4,0,0,0,4,0.3,10,8.8
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,23,1,7,7,0,1,0,9,2021/10/18/13:48:18,00:01:09.7,00:01:10.0,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.7,0,0,0,5.2,0.3,4.3,9.7
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,24,1,8,8,0,1,0,10,2021/10/18/13:48:18,00:01:11.7,00:01:13.2,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,1.7,0,0,0,5.8,1.5,5.4,8.9
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,25,1,7,7,0,0,1,5,2021/10/18/13:48:18,00:01:13.5,00:01:15.1,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,6.1,1.6,1.4,8.1
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,26,1,7,7,0,0,2,3,2021/10/18/13:48:18,00:01:17.1,00:01:18.0,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,2,0,0,0,6.7,0.9,8.1,0
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,27,1,9,9,0,0,0,9,2021/10/18/13:48:18,00:01:20.6,00:01:23.3,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,2.6,0,0,0,6,2.7,5,8.3
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,28,2,4,0,4,2,2,-4,2021/10/18/13:48:18,00:01:23.6,00:01:24.1,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,3.9,0.5,10,9.7
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,29,1,7,7,0,0,1,5,2021/10/18/13:48:18,00:01:26.7,00:01:27.8,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,2.6,0,0,0,6.5,1.1,8.2,8.9
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,30,1,7,7,0,0,1,5,2021/10/18/13:48:18,00:01:28.1,00:01:29.1,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.3,0,0,0,6.1,1,7.4,8.9
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,31,1,6,6,0,2,1,8,2021/10/18/13:48:18,00:01:29.6,00:01:30.5,1,OK,-,-,0,1,0,0,0,0,0,1,0,0,0.5,0,0,0,6.5,0.9,2.7,2.2
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,32,1,7,7,0,0,1,5,2021/10/18/13:48:18,00:01:32.1,00:01:35.2,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.6,0,0,0,6.2,3.1,1.9,9.7
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,33,1,7,7,0,0,2,3,2021/10/18/13:48:18,00:01:36.5,00:01:38.3,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.3,0,0,0,6.3,1.8,2.6,8.9
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,34,1,6,6,0,2,0,10,2021/10/18/13:48:18,00:01:39.1,00:01:42.1,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.8,0,0,0,6.3,3,3.1,9.5
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,35,1,5,5,0,1,2,3,2021/10/18/13:48:18,00:01:43.1,00:01:43.9,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.6,0.8,8.3,6.7
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,36,1,6,6,0,2,0,10,2021/10/18/13:48:18,00:01:47.7,00:01:49.5,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,3.8,0,0,0,6.5,1.8,5.7,9.7
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,37,1,6,6,0,1,1,6,2021/10/18/13:48:18,00:01:51.8,00:01:52.8,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,2.3,0,0,0,5.5,1,9.5,9.7
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,38,1,5,5,0,0,4,-3,2021/10/18/13:48:18,00:01:58.3,00:01:58.7,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,5.5,0,0,0,6.5,0.4,9.4,8.4
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,39,1,8,8,0,0,0,8,2021/10/18/13:48:18,00:02:00.1,00:02:00.6,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,1.4,0,0,0,4.6,0.5,0,8.8
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,40,1,7,7,0,1,0,9,2021/10/18/13:48:18,00:02:01.3,00:02:04.2,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,6.5,2.9,5.8,8.9
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,41,1,5,5,2,3,0,9,2021/10/18/13:48:18,00:02:07.7,00:02:08.3,1,OK,-,-,0,1,0,0,0,0,0,0,0,0,3.5,0,0,0,6,0.6,0,1.4
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,42,1,5,5,0,2,2,5,2021/10/18/13:48:18,00:02:12.3,00:02:14.5,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,4,0,0,0,6.5,2.2,5.4,0
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,43,1,7,7,0,1,1,7,2021/10/18/13:48:18,00:02:16.8,00:02:17.4,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,2.3,0,0,0,4.9,0.6,2.3,8
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,44,1,8,8,1,0,0,7,2021/10/18/13:48:18,00:02:24.6,00:02:25.1,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,7.2,0,0,0,6.5,0.5,0,0.2
D:\prog\exp_data\voice\tsumugi\full_condition2.wav,45,1,3,3,0,3,3,3,2021/10/18/13:48:18,00:02:27.0,00:02:28.6,1,OK,-,-,0,0,1,0,0,0,0,0,0,0,1.9,0,0,0,6.4,1.6,7.2,9.5
