F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,activation
29.38197,0.2329568,21.383236,31.864683,33.15153,11.768295,322.69977,215.14825,309.2308,418.23276,0.29450253,0.9830536,0.11627239,0.13432316,0.4574515,0.3411791,6.5018516,5.0707893,3.3022738,2.8238518,0.15535685,1.6961716,6.076146,2.3626547,30.739906,0.3053086,-3.7193484,-4.2691903,16.713198,0.77809715,0.041762836,1.6813576,1.2554469,0.9471064,6.7141204,0.81289124,6.7207017,1.6206838,22.503542,0.57274497,638.0018,0.32752344,1300.1263,0.19341053,-146.20815,-0.55635095,1782.1958,0.15359858,878.68005,0.4519566,-146.82013,-0.51545155,2802.484,0.099394366,753.29974,0.4631158,-147.23257,-0.5092245,-24.559294,-0.40940112,32.367027,0.3452935,0.00555821,7.6573133,-0.030887393,-0.5308079,0.409286,0.7967517,23.705187,0.4555203,30.041595,0.39491934,12.344436,1.2381941,14.736997,1.2468743,-8.920905,14.562013,0.002429616,-0.012134954,0.029075392,1.3344454,1.2562815,0.25666666,0.27189866,0.5557143,0.75806814,-29.910027,1
31.241407,0.19000997,30.081236,32.93404,34.17875,4.097513,718.2886,692.85114,150.79318,242.04515,0.5444114,0.8007267,0.13891074,0.42818424,0.92819834,0.78928757,9.454824,6.0630116,5.826947,3.6582863,0.3576195,1.2078023,15.768016,1.0958428,28.414385,0.39859626,-2.623215,-6.3185625,9.322581,1.7663847,0.05001604,1.8042251,1.2949418,0.9097517,7.490825,0.6817631,-0.23214354,-85.0833,24.530083,0.79723316,693.02637,0.2736256,1182.223,0.20717977,-96.80093,-0.91007155,1815.0718,0.17708701,883.48755,0.52754694,-104.14317,-0.7563883,2881.143,0.093160294,733.98804,0.50631624,-105.667595,-0.7294506,-23.787558,-0.4457362,33.111614,0.38020614,0.023063868,1.5034376,-0.03726773,-0.42253482,0.5660354,0.7870826,27.169998,0.49891087,30.182505,0.36755773,3.9387345,4.364416,3.0920007,5.1325603,-8.913258,16.050352,-0.008420979,-0.014270616,0.06563029,2.7877057,1.8664753,0.30576923,0.26630193,0.24727271,0.34638634,-24.42225,-1
36.11929,0.26166883,31.323935,32.701553,38.537766,7.213831,117.95079,92.97262,411.14133,780.75305,0.43247622,0.80941033,0.14945924,0.26489484,0.75486887,0.6054096,7.22695,5.8232603,6.687325,5.3840604,0.2419879,1.479143,4.509213,3.4168277,28.518238,0.5559014,-7.4417377,-2.1814723,15.658124,1.2289376,0.038838275,1.4431769,1.2090573,0.77550536,6.6327615,0.8469794,-0.028755566,-347.16916,14.851288,1.1005992,617.7193,0.392514,1163.7483,0.25703692,-135.23387,-0.6218545,1753.1367,0.18342657,889.0967,0.4852954,-130.23065,-0.6145022,2806.8884,0.113385655,794.2626,0.43389216,-127.02328,-0.63496494,-19.666824,-0.8347696,28.566328,0.642523,0.007461227,5.879131,-0.028116465,-0.6427532,0.46036273,0.88919353,16.369827,0.9837109,27.225271,0.7365201,1.8284092,9.469524,12.731123,1.8998598,-6.6855755,11.5175295,0.004815853,-0.010682511,0.06475526,2.3352795,1.8471873,0.2309091,0.21746284,0.33578947,0.6885707,-28.001898,1
31.792307,0.23680274,30.359873,32.01287,33.38564,3.0257664,639.8924,793.33154,161.0839,130.66188,0.32982853,1.0856782,0.084426075,0.13049184,0.6134404,0.52901435,9.053633,5.8714814,8.311615,6.3729224,0.22021313,1.6701835,11.976313,1.1688647,19.692453,0.6348305,-0.56817293,-32.711353,6.4077377,2.6739087,0.063798025,1.6223112,1.4200406,0.7987304,5.905728,0.9241286,0.79134697,21.571962,20.844715,0.8967129,674.00214,0.30455244,1213.9861,0.24098045,-146.18967,-0.55942434,1797.5673,0.18966162,875.91064,0.5175927,-147.10579,-0.5179308,2852.655,0.108220026,790.9033,0.5863384,-146.73297,-0.5151982,-20.874022,-0.6244899,29.546247,0.4538587,0.021179646,1.5553935,-0.031673897,-0.61050636,0.58898854,0.74882555,27.416403,0.5165296,20.784313,0.7630913,13.011774,1.7557391,-4.3861523,-3.6582093,-8.142124,15.552496,-0.006441446,-0.01101192,0.04412608,2.3352795,1.6764461,0.18399999,0.16701496,0.435,0.61848605,-27.80629,-1
29.661083,0.29179814,20.109398,32.04433,34.33431,14.224911,528.9378,470.98264,111.70344,78.01813,0.3278658,0.99521106,0.13108025,0.14646186,0.5993,0.46821976,7.8845468,5.047388,6.6611037,4.0512166,0.21332802,1.8843108,3.962547,3.7200472,29.551785,0.3880833,-8.714005,-1.447418,15.248573,0.84479326,0.053121738,1.6069604,1.3770279,0.8596223,4.913068,1.2156254,-2.901014,-8.655161,20.784578,1.3852957,667.8699,0.28265443,1180.5969,0.19870903,-152.81688,-0.512853,1785.6665,0.1678824,810.24786,0.43773162,-153.68016,-0.47430772,2874.6619,0.08715294,776.0614,0.5103967,-154.17725,-0.46438587,-22.703697,-0.50122803,31.849075,0.42212343,0.020394597,1.4765283,-0.036160614,-0.47583303,0.6647263,0.79630965,23.686455,0.5711233,29.45043,0.49752516,2.2590394,7.643816,7.4930167,1.7133069,-8.053462,13.690175,-0.002146632,-0.011398544,0.038465776,1.8198363,1.9195613,0.13619047,0.13650312,0.42277777,0.5329145,-27.424797,1
33.0235,0.21012521,31.422235,33.034355,37.027786,5.605551,170.86522,108.563965,142.87564,241.06613,0.54797167,0.9760433,0.14999588,0.24156356,1.0196035,0.8696076,7.9857078,5.6225038,5.7331457,3.8009462,0.27893457,1.5489789,8.231878,1.969657,25.360817,0.49510232,-3.2931287,-4.756582,7.083835,2.593447,0.034086697,1.7589102,1.0667866,0.96227294,8.1025505,0.7332889,-1.395699,-7.4413567,23.068707,0.7282255,698.15173,0.33375332,1129.5292,0.30581495,-134.0104,-0.6443087,1840.1886,0.17520557,750.4336,0.46673766,-136.81555,-0.5793222,2893.8237,0.09283073,725.552,0.38241747,-137.85574,-0.56450176,-21.91167,-0.542178,30.114332,0.4699762,0.032868773,1.1079432,-0.03846447,-0.42971176,0.62568253,0.8038381,24.340763,0.6108713,25.42581,0.57423323,6.6546364,2.4633493,-3.8568215,-5.1842175,-6.8440976,12.038397,-0.002253002,-0.017976962,0.06573577,1.6936105,1.545595,0.23799999,0.25835246,0.4311111,0.8707907,-24.108812,-1
29.930992,0.31003606,19.8305,32.88796,36.281075,16.450575,476.59616,575.95026,118.69667,98.47788,0.53729147,0.8766235,0.15053578,0.3401927,0.9419005,0.7913647,9.961599,8.240205,7.624112,7.3269124,0.4101414,1.378148,9.421927,1.8175464,29.397327,0.47552192,-2.1335812,-7.3174195,10.922459,1.6162468,0.0589902,1.4711524,1.4363102,0.8749292,5.540195,1.1520181,0.6941222,24.309452,23.935257,0.81707066,659.9028,0.2978851,1193.6556,0.20896797,-121.71551,-0.7272364,1788.6521,0.17640416,898.4872,0.4286908,-122.64159,-0.65993047,2857.4119,0.100275554,716.4728,0.39855194,-123.4972,-0.6473399,-22.793995,-0.59779346,31.744038,0.48663428,0.031198548,1.2537241,-0.034553923,-0.5291378,0.7398046,0.7763491,23.181835,0.6224555,30.933815,0.48717093,3.2604148,5.405604,3.8921301,4.4869266,-7.5602975,12.961542,0.002932861,-0.010782794,0.111443326,2.5020852,2.2632022,0.19777778,0.14525414,0.26130435,0.37053788,-24.06514,1
31.226181,0.21222714,29.722189,32.739037,34.134693,4.412504,480.88574,562.41376,134.07573,82.97572,0.34103984,0.96181214,0.1226699,0.13835011,0.58787954,0.46520963,5.819918,4.1211963,4.256809,3.028834,0.18493211,1.6169052,6.966618,2.3452852,32.08008,0.25931618,-4.452687,-3.3943384,16.097412,0.9648698,0.037104037,1.871077,1.1502414,1.0861204,7.7993765,0.7200215,-1.227605,-7.7335777,21.971287,0.6146056,630.7474,0.3604086,1195.8749,0.20640162,-143.41821,-0.5692234,1786.085,0.17087942,907.8748,0.44329667,-146.15938,-0.50694865,2836.2112,0.1047924,749.6669,0.376476,-146.25893,-0.50486755,-27.252941,-0.4529088,35.561623,0.41102976,0.014099611,2.7626016,-0.035902295,-0.5252526,0.47070223,0.7375509,26.390226,0.46620643,33.699104,0.3155818,9.765374,1.652814,10.853618,1.9103522,-8.147456,13.027304,-0.003082502,-0.009560201,0.030074717,1.455869,1.1915674,0.28076923,0.2622231,0.6363636,1.012901,-27.18008,1
30.454142,0.20157672,28.962074,31.993816,33.65148,4.6894073,282.87097,271.14197,68.39809,73.56411,0.46992046,0.9618688,0.14172275,0.19519259,0.79824734,0.6565246,13.410872,10.386536,7.548075,6.6948066,0.39545104,1.6722747,8.672459,2.0811262,33.6654,0.28336272,-4.6623726,-3.151877,14.648683,1.0673908,0.04380942,1.8977792,1.2314895,0.9521371,7.1712637,0.7315217,1.0910378,14.896818,27.125084,0.4505897,704.9477,0.25941744,1147.1099,0.22790132,-131.64688,-0.64724654,1923.0773,0.15603562,848.4969,0.4334124,-135.56555,-0.5661854,2902.4905,0.093452245,833.36194,0.45282432,-135.2887,-0.56855243,-28.657158,-0.39698097,35.866478,0.36497414,0.019853707,1.8490058,-0.044050474,-0.33948532,0.8330354,0.91494614,27.3583,0.4729429,36.55325,0.32725123,7.411002,1.4991119,8.107868,2.0987828,-7.5110903,12.0699215,0.003454707,-0.011913623,0.080835514,2.0850708,1.5088015,0.26166666,0.27297232,0.48857144,0.8034822,-23.308502,1
29.114689,0.28504875,20.880472,30.92102,34.01763,13.137159,692.60693,1028.2949,146.15985,143.42015,0.5892329,0.9102361,0.14006156,0.4313662,0.9747782,0.8347166,14.761446,11.517993,8.089035,5.012696,0.5101828,1.1682357,19.037962,0.9988649,18.522692,0.860442,2.6718178,7.1712427,-0.9554324,-18.221893,0.06588662,1.5924097,1.7231311,0.69385624,3.1313477,1.9637642,1.0060916,19.77096,22.29849,0.956364,622.2219,0.30982533,1250.9077,0.22509816,-83.515816,-1.053083,1666.6947,0.20762743,917.6397,0.45264152,-87.56582,-0.92208976,2768.6758,0.11014674,816.69556,0.5495531,-90.64117,-0.856566,-17.978724,-0.66296244,27.567934,0.47271484,0.03697797,0.95026684,-0.029394431,-0.69190633,0.74056363,0.8400419,28.29183,0.56324303,17.909494,0.93734056,5.698449,3.5296364,-5.3051558,-3.1706486,-5.8952875,12.593821,0.000534537,-0.012993218,0.087217696,3.586322,2.766136,0.22515151,0.15517578,0.1196875,0.10393761,-24.781363,-1
30.726614,0.18575501,29.516682,32.448208,34.511387,4.994705,472.8158,527.0678,92.75652,72.81814,0.46996057,0.9541669,0.09724265,0.25307953,0.86133885,0.7640962,11.248341,8.900182,7.2605743,5.7689185,0.33238953,1.4937615,15.776162,0.978819,23.124773,0.5805741,0.060646243,251.68785,9.548563,1.7909206,0.05403189,1.7747849,1.2898251,0.9345793,7.044925,0.74296963,1.6833208,5.347297,27.353687,0.38718903,619.62085,0.2989722,1222.4081,0.20310724,-117.961685,-0.7502137,1708.6007,0.18783082,872.7746,0.44122913,-121.24271,-0.6707927,2802.9727,0.09439545,739.2426,0.49391305,-123.59297,-0.6365647,-23.08589,-0.4668008,31.760675,0.37020364,0.028094906,1.4298521,-0.035511773,-0.4927609,0.6117676,0.9211825,27.51068,0.48913532,26.748821,0.55242896,5.9339385,2.951646,2.3069112,8.014938,-9.383711,16.985119,-0.016971901,-0.013411417,0.072485246,2.6688907,1.8456376,0.24818182,0.28757033,0.28619048,0.47498846,-25.678364,-1
31.260605,0.20872739,29.231655,31.524923,34.83194,5.6002846,472.51138,634.16925,211.02808,213.68352,0.3782828,0.8673071,0.12995926,0.18059385,0.63409734,0.5041381,6.1506324,3.1814513,6.017638,3.8590825,0.19276431,1.3785864,5.19861,2.9877174,29.920603,0.4161077,-8.546767,-1.6601001,15.683011,1.0315214,0.04811613,1.440699,1.2359159,0.77043384,5.858124,1.0259801,-0.41230118,-25.503431,20.709297,0.7703136,657.71063,0.33414194,1215.1691,0.22505054,-140.09375,-0.5993232,1723.2946,0.17250276,930.17365,0.4497066,-140.63234,-0.5598937,2880.118,0.093108065,699.30853,0.5121377,-141.96712,-0.5410727,-20.357374,-0.5598981,30.582481,0.41419467,0.02444995,1.5371591,-0.028648144,-0.5908053,0.44035935,0.638016,22.468622,0.54614353,26.73844,0.6027687,-0.46476164,-36.868885,7.6519046,2.1287878,-7.7383957,12.5553055,0.00675839,-0.011315772,0.052745406,2.2518766,1.5088015,0.22777778,0.22756086,0.466875,1.2785378,-29.289179,1
28.878166,0.26678166,19.29994,31.81956,33.799286,14.499346,315.4134,312.70844,145.47462,170.52846,0.43640926,1.0910045,0.07929985,0.22787349,0.77908695,0.6997871,7.072529,3.884955,5.8020473,3.7842917,0.32669085,1.5036833,12.194961,1.2101046,28.626484,0.3931791,-0.9328549,-15.376269,13.259545,1.0042098,0.051184792,1.6690433,1.3054005,0.9328213,5.825005,1.2094154,-8.106399,-3.2832043,18.07176,1.5717705,683.52594,0.2717123,1169.0704,0.20617878,-126.39185,-0.6906871,1850.1376,0.1698737,811.9696,0.48569652,-130.97041,-0.607976,2916.318,0.10891242,731.3701,0.48944622,-131.94719,-0.5942791,-25.136759,-0.42925504,34.243744,0.36214656,0.021269979,1.4938388,-0.03687465,-0.47541162,0.72702974,0.740787,26.019407,0.48433602,32.104076,0.4599587,7.666017,2.1917152,7.8420634,2.0310585,-10.536991,17.561886,-0.004019407,-0.012329787,0.03736003,1.7705928,1.6228749,0.25142857,0.24940473,0.40055555,0.93824583,-23.856886,1
33.42328,0.21377948,30.421799,33.23342,37.171757,6.749958,444.05875,302.91135,85.93879,167.76668,0.7407642,0.68217343,0.25188142,0.6560685,1.1274657,0.8755843,8.805194,6.252492,8.697454,6.9562964,0.41844553,1.0527903,19.846712,1.100042,15.087813,1.0197859,7.3932753,2.2233713,-8.687551,-1.9399962,0.04277989,2.2941248,1.060997,1.0807905,7.884214,0.82718796,0.37230995,36.645252,23.22016,0.64338636,689.45654,0.2906242,1185.3915,0.23215917,-87.47253,-0.9868356,1744.3485,0.17176792,967.1863,0.45959005,-90.489044,-0.8524248,2892.1738,0.09111641,670.6357,0.49330825,-93.702805,-0.7940734,-21.039753,-0.5994941,30.998657,0.469528,0.028702721,1.4624419,-0.032568544,-0.45743123,0.5653499,0.80798006,31.43106,0.49607864,16.275555,0.88494325,9.655372,1.7993444,-12.0862665,-1.4150819,-0.31178695,5.5637794,0.00727206,-0.01283348,0.14710884,3.1847134,2.3809524,0.265,0.32279128,0.1647619,0.17565168,-22.41862,-1
29.412071,0.20657574,21.917086,31.9234,33.863117,11.946032,467.50528,484.18723,103.681915,77.062515,0.31215942,1.0698378,0.081044436,0.12902768,0.5520032,0.47095877,7.5400453,5.929681,6.3440366,5.149803,0.20247433,1.5031011,17.716978,0.8273212,21.693523,0.5243039,3.5840685,4.5681553,4.129292,3.7767878,0.06511693,1.594748,1.5344721,0.7905692,5.9205604,0.9021379,0.24720676,65.68111,24.514034,0.62644094,667.7447,0.26622885,1226.2705,0.19795275,-127.51721,-0.6867859,1753.6326,0.17427732,904.70667,0.42515352,-131.51126,-0.6138116,2845.1714,0.09982046,778.3648,0.45801052,-133.4385,-0.58584183,-21.75695,-0.4817818,31.428911,0.3763316,0.01618393,2.089925,-0.031999607,-0.5176118,0.45020065,0.7701608,31.575737,0.3958698,20.281729,0.64839405,10.809382,1.8436197,-4.903403,-3.2554991,-11.54774,18.23308,-0.020084484,-0.015118449,0.03198245,2.5477707,1.6468437,0.23722221,0.15017788,0.34888887,0.70614666,-29.862614,-1
30.656267,0.19334242,29.67651,31.980722,33.317642,3.6411324,144.75049,141.94577,155.43022,185.0004,0.26818702,0.873572,0.122014776,0.13914783,0.4152617,0.29324692,5.700306,6.031307,5.083459,6.003371,0.13131078,1.7066909,5.0850744,2.719537,31.749384,0.30665818,-5.1586657,-2.8719451,16.745098,0.8098949,0.047986396,1.7335781,1.0898988,0.77704567,7.101783,0.7042403,-1.3903736,-12.194454,19.609915,0.8548416,664.3352,0.27692714,1165.5088,0.20518364,-145.20131,-0.55752176,1850.7738,0.13217816,735.5852,0.593455,-146.75322,-0.5141572,2894.4749,0.0871299,740.229,0.4768599,-146.94756,-0.5105824,-24.404764,-0.4203223,31.85415,0.37392816,0.014747469,2.5979047,-0.03573293,-0.48674917,0.3350343,0.83478224,21.745722,0.53412205,34.76187,0.36663315,8.208947,2.0241888,11.914512,1.4046831,-8.143551,12.593528,0.001828336,-0.009669047,0.031546693,2.001668,1.2562815,0.25399998,0.22213508,0.52066666,0.6826758,-31.862516,1
32.871178,0.16600698,31.45839,33.454315,34.84453,3.386139,314.6579,348.78268,318.68222,310.50015,0.30357167,0.9995559,0.121740565,0.14141081,0.47918496,0.3574444,5.730823,6.0225105,4.4520187,3.8813293,0.13701084,1.8966111,5.0090723,3.1692786,29.756908,0.3561982,-9.832762,-1.2123953,18.970339,0.6473763,0.019224906,1.4504135,0.819698,1.0296627,9.495123,0.46806934,-2.5809414,-4.416284,24.572584,0.637304,673.35864,0.28988144,1297.797,0.18024562,-157.44846,-0.4749291,1781.4296,0.1465624,1008.2292,0.33105373,-156.47444,-0.45123374,2906.9358,0.11021569,955.3306,0.43843567,-158.52031,-0.4240184,-27.733133,-0.39962742,40.0923,0.3083488,0.012938362,3.6057,-0.028472936,-0.5163348,0.40829057,0.90181327,27.91332,0.4125845,32.640427,0.3933274,0.036901116,422.34705,20.310688,0.8056457,-7.575757,12.531482,0.00368432,-0.011768247,0.03401976,1.2510426,0.83752096,0.32099998,0.50672376,0.94555557,1.1715338,-27.522036,1
