F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,activation
27.266388,0.36312628,17.444992,28.213741,31.187212,13.74222,656.08203,832.1424,264.38043,420.94827,0.34262878,1.408489,0.042961724,0.08372172,0.7004194,0.6574577,9.576509,5.7337103,7.6459885,5.3695126,0.22292103,1.5303828,20.651627,1.0238457,13.236943,1.1585182,15.048523,1.0345898,2.9506779,4.0739207,0.08249863,1.585844,1.7351944,0.9026432,2.6752465,2.2823985,3.9921093,5.386852,30.192938,0.7665928,617.269,0.39701355,1258.229,0.256229,-116.90691,-0.7735325,1684.8025,0.19674215,996.5126,0.35875028,-118.5183,-0.71636045,2800.666,0.11438696,852.30414,0.47842062,-121.49848,-0.6704478,-20.805338,-0.7413806,32.31363,0.4922747,0.044483554,0.99317527,-0.024909612,-0.8581162,0.44490576,0.8518572,35.221672,0.5894124,16.992643,1.1781142,19.578817,0.9929293,0.81248355,19.125914,-10.92374,21.333176,-0.005200748,-0.001757527,0.014840212,1.6378527,1.2797076,0.37214285,0.27037483,0.3878571,0.4432055,-29.308445,-1
27.235933,0.23350628,24.712315,27.868217,30.609196,5.896881,305.0311,331.41663,215.44296,365.56158,0.36975744,1.2150257,0.047673423,0.17945023,0.5969182,0.5492448,7.546372,6.1362348,6.7287173,5.1516733,0.18795216,1.3083092,23.51273,0.7487529,7.9546804,1.8532448,10.691537,1.3067595,3.9892447,2.9540362,0.06279555,1.6500461,1.7132622,0.9536028,4.021876,1.3086073,4.3560953,2.8836374,27.474373,0.5276381,521.09454,0.35906848,1334.3765,0.18400596,-114.10878,-0.8066287,1522.4147,0.15828876,1018.00305,0.33806258,-118.27598,-0.72266334,2639.8875,0.10407321,965.7719,0.49830642,-121.26728,-0.67425233,-18.026323,-0.524294,28.900974,0.41046613,0.042195078,0.7331595,-0.023099529,-0.67142296,0.36798173,0.6871534,36.70913,0.32778963,9.006503,1.6807122,15.6420355,1.0658828,3.282183,3.9629087,-8.688734,19.046267,0.005467659,-0.009070053,0.024131961,2.0928116,1.7399267,0.26473683,0.25856626,0.28684208,0.42712075,-31.31474,1
26.564379,0.30651417,19.746248,27.191471,30.167782,10.421534,252.43823,176.41673,150.54616,95.04562,0.33757108,1.1577002,0.053176537,0.12857133,0.6451899,0.59201336,5.6718645,3.008423,5.726716,4.4218793,0.20621425,1.5940423,21.149504,0.70496416,5.414722,2.672323,9.384942,1.2277001,-0.56777996,-20.500639,0.0652804,1.6578379,1.370957,0.93152326,2.0588684,3.0119758,1.5605483,6.6891074,21.369467,0.63198596,592.901,0.35996586,1357.3646,0.23023103,-139.63472,-0.6130819,1629.9838,0.16390876,1067.5306,0.42206427,-139.51474,-0.5872566,2685.1118,0.11062958,914.5389,0.45145866,-141.40454,-0.56162256,-15.616275,-0.7160973,25.452559,0.5074566,0.04166306,0.7995452,-0.027189698,-0.5822802,0.50765795,0.75127983,31.605904,0.51924133,4.560871,2.9688163,15.632367,0.87242806,-0.7564688,-19.250666,-9.046039,17.704798,0.018706854,-0.01428217,0.042486507,1.8018018,2.1148038,0.15142857,0.1986211,0.33210525,0.56921524,-29.350601,1
27.095001,0.2636819,21.179756,28.456776,30.125748,8.9459915,254.53703,153.56781,67.63905,108.206345,0.50291497,1.2688751,0.043523278,0.19603758,0.94096404,0.8974408,9.622337,7.4699206,8.5760355,5.680547,0.28478888,1.3074954,25.489029,0.768742,13.436326,1.1859025,15.707662,1.104759,2.5654023,5.4324102,0.055440802,2.235652,1.5078672,1.0495113,4.736829,1.2281015,3.6030483,3.446339,33.268234,0.52235854,555.3042,0.31343344,1293.2954,0.20019992,-98.046196,-0.9245801,1609.4921,0.1828346,967.5451,0.40423864,-103.72583,-0.8093252,2762.9487,0.09804007,904.6383,0.5472268,-108.12707,-0.74120843,-21.375385,-0.58704525,32.930847,0.4526205,0.051509134,0.68366414,-0.027299983,-0.7337947,0.4772211,0.8116259,38.727497,0.36338,17.558706,1.0536536,20.408634,0.967194,-0.12783283,-130.53711,-10.284947,21.593796,-0.003055041,0.000236991,0.029079234,1.6680567,1.0887773,0.52076924,0.44461673,0.44454542,0.5047657,-27.002014,-1
30.985132,0.17265913,28.63478,30.846453,34.477604,5.842823,259.70026,123.53582,110.34703,109.28097,0.52722853,1.0995915,0.046511583,0.2586226,1.0576172,1.0111057,9.715327,8.618524,6.0291886,4.933893,0.24361943,1.3099941,25.633492,0.6013617,13.571356,0.8826411,14.863796,1.0356003,-0.18114252,-69.86865,0.035003807,2.0595307,1.1464341,1.1323491,7.459242,0.70549494,6.606591,1.2412452,26.774662,0.4731688,506.25565,0.2962397,1290.557,0.19581139,-92.398994,-1.0041441,1585.0682,0.15180779,1012.0336,0.45510778,-100.22574,-0.8365186,2648.8125,0.09713685,1038.3529,0.6140508,-101.85269,-0.8108336,-20.482237,-0.49135917,29.008013,0.4416362,0.06561211,0.62428415,-0.027428854,-0.52191395,0.4023377,0.82834995,33.769608,0.40274808,13.291058,1.076461,21.330795,0.7784305,-1.5384209,-9.979571,-12.705808,22.70758,0.006960044,-0.012063085,0.014206735,1.7288444,1.0978957,0.52666664,0.42192677,0.36416668,0.33064222,-27.042772,1
33.14842,0.3340783,25.730923,31.372007,34.78386,9.052937,686.88434,1207.9293,293.90277,579.6202,0.8147735,1.2495512,0.07282215,0.2925426,1.4516503,1.378828,19.143494,14.205102,16.558344,12.399968,0.44647,1.4570258,22.578865,0.64695644,-0.16286466,-95.87576,7.9708734,1.8319973,3.325828,3.6766083,0.041529022,1.3967378,1.5427885,0.8472255,3.8223782,1.6220567,2.2711642,4.157826,17.098223,0.7548467,539.4208,0.37505907,1224.8085,0.2772597,-111.57189,-0.84541625,1547.947,0.16419859,972.9613,0.39910057,-109.05409,-0.82361966,2627.8384,0.10166654,1050.7115,0.61442053,-108.32026,-0.8113143,-8.797087,-1.2588123,19.167881,0.5366457,0.061210934,0.59293187,-0.01888695,-0.9224006,0.8397093,0.85730845,26.70093,0.62841386,-2.4617112,-6.4816995,11.727885,1.4874188,0.9278413,15.505767,-7.1580977,19.0716,0.01588198,-0.008410669,0.044379406,2.2324865,2.0108275,0.24384615,0.26933074,0.28666666,0.5091387,-23.00749,1
31.944845,0.22607982,28.618479,32.02026,35.78693,7.1684513,851.2964,1009.57635,134.64818,121.66326,0.784018,1.0835528,0.04638437,0.2820669,1.7138932,1.6675088,10.154099,8.577386,7.5807657,5.5543766,0.34330696,1.1658455,23.58582,0.81684476,8.272078,2.2040439,12.827476,1.4506545,1.2636634,11.764495,0.036943775,2.3063908,1.2606976,1.0867336,7.0161343,0.81765723,3.2095125,4.40625,23.647194,0.8726313,592.95184,0.35058635,1322.8025,0.22300364,-81.346725,-1.0987207,1617.2823,0.15362675,1055.3142,0.45434162,-85.92537,-0.97563696,2740.938,0.111784734,1034.8356,0.58718085,-90.52012,-0.88982385,-15.671603,-0.8437639,28.042665,0.58209217,0.058269564,0.85683995,-0.019853825,-1.0774462,0.5072542,0.79708785,32.25511,0.525785,6.0877886,3.3728876,13.576396,1.6069053,-2.0157025,-7.9279094,-10.958588,21.672068,-0.010305194,-0.000766724,0.02869009,1.6378527,1.6468437,0.39055556,0.4366345,0.22,0.23194826,-25.160563,-1
27.15208,0.30067554,18.84687,27.391148,29.339054,10.492184,352.49207,331.1409,74.65292,78.34406,0.20595837,1.2417712,0.052334093,0.093247235,0.30528295,0.25294885,5.334858,4.9766693,3.3398044,3.6353028,0.08499212,1.7827615,17.221289,0.8730381,11.117258,1.42851,6.1126094,2.184082,1.0546812,8.7043,0.084355764,2.08091,1.6024247,0.7903195,2.684767,2.1315904,3.9212985,4.1181874,27.448109,0.6244169,586.7988,0.39694527,1245.815,0.27045652,-154.79593,-0.51774746,1611.2891,0.21217746,972.3241,0.33090147,-154.3812,-0.50339943,2745.9475,0.11346875,841.4944,0.40879142,-156.49529,-0.47268638,-16.338427,-0.86764616,28.55976,0.47403273,0.03333837,0.8886196,-0.018829148,-1.0934297,0.25348216,0.73085666,31.537853,0.5290945,12.453246,1.9485829,10.253997,1.8672422,-1.3430107,-10.261971,-9.124761,18.128645,0.011984708,-0.007254968,0.026723878,1.5396459,1.006192,0.24769229,0.21537638,0.7246154,0.95802367,-37.446766,-1
28.40889,0.32629767,20.463402,29.195635,31.082855,10.619453,342.795,317.16464,174.90413,224.56653,0.46723798,1.0987854,0.05902583,0.29360875,0.7927034,0.73367757,11.099101,8.271125,7.588581,7.1612124,0.26462218,1.1833129,23.568558,0.82854545,8.029156,2.0348744,15.850752,0.8984756,3.282617,4.2536097,0.055085298,1.5657697,1.9003619,0.8216675,2.7975068,2.0161014,1.9502116,11.114305,19.978123,1.0936304,581.4839,0.3644853,1275.4777,0.24399416,-93.20841,-0.95696354,1598.9105,0.18959461,984.283,0.3761252,-96.006645,-0.872142,2689.171,0.10176977,832.0152,0.51431865,-97.62917,-0.8368795,-15.554668,-0.83620095,24.315123,0.5388971,0.044445213,0.7998173,-0.027787624,-0.58764666,0.39261973,0.8304718,31.304977,0.5952277,7.9483347,2.2380617,19.101582,0.7733632,2.0469327,7.719319,-8.095883,17.004684,0.004830054,-0.010840907,0.052794904,2.456779,2.1957915,0.27291664,0.24831901,0.18333334,0.19393992,-29.79211,1
27.60435,0.2590621,23.22286,28.910944,30.482407,7.2595463,332.69318,511.97037,91.4667,77.21384,0.58184606,1.1092863,0.06730878,0.30592024,1.0966159,1.0293071,10.301294,7.8733377,8.85254,6.8102083,0.33047518,1.40209,25.360909,0.6880702,10.589241,1.3545814,16.04098,1.1021576,-1.5885816,-7.8319707,0.052605845,1.777101,1.5057063,0.9679035,4.5731754,1.2294097,4.144178,1.7969625,26.101954,0.53588206,508.55426,0.32094523,1266.7234,0.19767615,-93.39734,-0.98885894,1558.5554,0.16605541,915.25476,0.4118431,-99.775375,-0.8477868,2652.9468,0.0938684,875.47925,0.6089723,-101.41002,-0.8150516,-18.058445,-0.54891294,26.939236,0.425503,0.055070512,0.65231913,-0.02932448,-0.53864956,0.5192797,0.92409325,34.420315,0.4079641,12.006923,1.2643524,21.83401,0.89217776,-2.7905555,-4.911976,-9.145101,16.355886,0.016673941,-0.011444014,0.07064582,2.078522,1.7027863,0.33272728,0.32515982,0.255,0.29513556,-26.151693,1
