F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,reward
33.181087,0.31421027,23.817719,33.876408,40.383198,16.56548,750.71564,715.0825,381.6682,579.1385,0.46099254,1.0314982,0.17039497,0.20639859,0.71546483,0.5450699,10.204684,7.1493554,10.035053,9.061203,0.3405383,1.7564274,12.812569,1.1011891,6.2927284,1.5431539,12.018939,1.0303682,-12.676648,-1.0083407,0.054530073,1.5051316,1.4421747,0.5835512,4.6715174,1.2879891,7.1627197,1.3679694,20.12287,0.71979433,707.18994,0.35579082,1168.631,0.30253273,-136.58652,-0.6053806,1737.1973,0.19676615,1034.1049,0.45447516,-132.61984,-0.6048934,2849.0862,0.11339939,739.0247,0.6189321,-133.05107,-0.58933276,-12.397909,-1.0195297,19.987108,0.73858,0.029284943,1.6035515,-0.0178214,-0.8351018,0.72837514,1.0458908,21.043777,0.8186775,12.151877,0.8919664,12.591981,1.2886008,-11.21261,-1.4578794,-1.4860994,5.345081,-0.002774992,-0.006638304,0.081650876,2.078522,2.3183928,0.16166666,0.17076461,0.2537931,0.2983219,-27.228212,1
33.45444,0.23245122,31.648043,34.394413,37.03704,5.388998,696.2782,1126.8182,272.53235,731.8351,0.9491297,0.7892861,0.27067316,0.76369053,1.5484736,1.2778004,19.861704,11.450003,17.265676,11.021848,0.7368652,0.99423325,19.797344,0.79380554,3.177778,3.9109936,9.603663,1.4311081,-1.682723,-8.162454,0.053117283,1.9925282,1.6128777,0.7115073,5.390839,1.0744232,2.720322,5.052774,15.94707,1.0311252,651.22296,0.36751452,1285.2665,0.2529371,-84.70215,-1.0278847,1679.2976,0.16052127,947.3017,0.40550455,-82.88956,-0.9711795,2709.1736,0.12080053,892.8296,0.41423348,-85.16556,-0.9245453,-12.958805,-0.7777452,22.509811,0.5530394,0.052819077,0.7087101,-0.022479761,-0.67892295,0.9849626,0.75006306,26.573511,0.50326985,3.8247666,3.4177275,10.003005,1.4570519,0.63648224,23.367495,-1.5377262,6.9547954,0.013174497,-0.007468449,0.25757283,4.4585986,2.3765998,0.27192307,0.28883082,0.13958333,0.20775545,-23.448195,1
30.184235,0.29814816,18.342167,32.99729,35.912735,17.570568,459.23944,621.4306,74.6373,111.68525,0.40806746,1.1303222,0.11505365,0.15327583,0.6281968,0.5131431,12.84434,7.35657,8.5446615,4.9743257,0.24135323,1.4871261,19.201334,0.6474126,4.5396285,1.9949561,9.856679,1.2894026,3.760273,3.1263213,0.050162222,2.2518506,1.428566,0.73769325,5.539079,1.053084,2.595753,7.421715,17.43501,1.1042184,618.51276,0.37037826,1233.0564,0.19082247,-126.839195,-0.6939035,1667.2914,0.17730212,950.6786,0.40757295,-125.34971,-0.6664845,2697.8633,0.12817368,964.27783,0.42317188,-127.46192,-0.6369014,-14.498343,-0.53950083,25.371103,0.4593626,0.026813054,1.7662799,-0.021265186,-0.6988804,0.5053344,0.836963,28.143541,0.43021068,7.2131124,1.7129058,9.704511,1.7232476,-0.7446447,-17.102856,-9.783842,18.259365,-0.032342497,-0.004355773,0.0464765,2.1684737,2.0117352,0.19708334,0.21663101,0.28304347,0.40132856,-29.76457,-1
31.675882,0.3300719,16.542206,35.146862,38.576275,22.03407,295.77255,275.14902,170.0844,146.73935,0.32560438,1.0166024,0.10546383,0.17501865,0.51328886,0.40782502,7.625382,5.5993667,6.236703,4.043636,0.21044862,1.4451481,16.358364,0.9479408,12.208858,0.72814596,17.968597,0.7358534,-4.517545,-2.5311158,0.05361424,1.6856973,1.3930876,0.6626546,6.2346745,0.9627682,7.137551,2.50549,22.984686,0.76377386,691.2875,0.32565713,1226.187,0.24600694,-115.55427,-0.75959885,1781.2921,0.17615467,896.79114,0.47908297,-112.43513,-0.7324892,2871.8376,0.10334379,784.93274,0.48475593,-114.31383,-0.7037494,-18.947933,-0.601862,28.497618,0.51986843,0.025336469,2.1600971,-0.021041166,-0.7110056,0.37083432,0.95838976,26.338099,0.56411195,15.55304,0.6443141,16.226107,1.0440999,-7.51972,-1.7848718,-8.677657,15.400872,-0.040740654,-0.005398278,0.03961549,2.3352795,1.8440906,0.2722727,0.33100304,0.2490909,0.35143745,-30.79926,-1
32.69499,0.277885,24.39211,34.01741,38.63473,14.24262,624.7873,818.73517,78.3227,91.16764,0.49278033,0.8601204,0.14018638,0.32916167,0.85076785,0.7105815,10.205445,7.0806894,8.288299,5.949933,0.38250268,1.2915044,17.398735,0.94491434,7.99355,1.4487944,10.111016,1.1688545,-8.112386,-1.773354,0.048023522,1.5213609,1.589328,0.7335411,6.2218146,0.910817,6.242854,2.0924668,25.116566,0.5471706,745.0083,0.30283263,1205.4816,0.26174176,-114.11578,-0.78799003,1778.2513,0.16176027,981.5797,0.3948478,-114.925186,-0.7298286,2939.4883,0.112516925,805.51135,0.6232776,-117.07947,-0.6915794,-17.053282,-0.6565665,27.936127,0.45949712,0.04270124,0.9805212,-0.02302037,-0.6061422,0.67641675,0.7626711,27.798416,0.57443243,13.440309,0.9660589,9.369167,1.6086539,-7.7124896,-2.0912597,-2.4732878,9.1621275,-0.002290797,-0.004632589,0.0790355,3.4195163,1.4249791,0.34705883,0.27921665,0.378,0.7369233,-27.415752,1
29.904076,0.34276432,16.136246,35.253136,39.32465,23.188404,343.87787,515.8107,95.38337,82.34468,0.33042514,0.91504157,0.17045769,0.20923424,0.40269333,0.23223564,10.669615,7.871946,3.5727274,3.9505994,0.15851957,1.8858455,10.519945,1.0229259,3.5449762,2.6448545,8.009018,1.2756473,-6.1231995,-1.8104227,0.04525591,1.3134233,1.5426556,0.60975367,3.5783062,1.813552,6.1587653,2.8094816,18.573019,1.1093655,738.7832,0.31202734,1198.489,0.24861524,-154.23912,-0.48795438,1767.878,0.17439608,891.3423,0.41251063,-150.24487,-0.5026879,2870.7117,0.11583556,819.1454,0.50139755,-151.75392,-0.4827008,-11.745935,-0.8816611,20.89876,0.6264765,0.02706523,1.4781436,-0.015382748,-1.0988148,0.3968254,1.107948,19.570719,0.654471,8.710987,1.2221528,6.812174,2.324596,-8.002624,-1.7014414,-1.5189629,7.2018905,0.001528542,-0.003318846,0.055350423,1.1828935,2.5617568,0.099999994,0.08589861,0.2682143,0.32720736,-31.940132,1
31.752659,0.26400688,21.839523,34.884663,37.86891,16.029388,708.22705,1242.3892,167.25249,268.76688,0.5546035,0.9289135,0.122325286,0.31559518,1.0165824,0.89425707,12.662517,8.902466,11.6498995,9.076447,0.40770814,1.2386795,20.992556,0.6920547,7.3630333,1.3689574,11.076989,1.2852826,-4.84159,-2.7504375,0.045637865,1.5553042,1.2952431,0.7127348,5.9984527,1.0797302,3.7723303,5.4822516,19.80458,1.0499516,597.2672,0.3662389,1271.0167,0.19326453,-106.51255,-0.8521078,1641.7921,0.16806051,940.0857,0.41508654,-105.52824,-0.7934885,2734.8726,0.12600847,859.0219,0.48327333,-107.305534,-0.76328504,-16.430744,-0.5684081,25.847004,0.50742286,0.05391373,0.6802821,-0.02649155,-0.52556735,0.6697387,0.7409578,29.26332,0.47580498,10.373626,1.0637705,11.979249,1.4954431,-7.335532,-1.9894608,-6.857009,14.574772,-0.01024739,-0.005941561,0.06261315,2.8207462,2.1043003,0.25173914,0.25386837,0.22,0.45784172,-26.893454,-1
31.701376,0.30723438,19.667189,34.334873,39.244606,19.577417,293.0541,234.70638,116.8998,71.16368,0.3357499,1.106552,0.12655276,0.14487346,0.5005015,0.37394875,10.866058,7.8178654,7.536806,5.8179436,0.23042883,1.8650588,14.24121,0.8307146,5.389751,1.652526,11.782963,0.95206314,-6.016011,-1.7255332,0.062579356,1.7096881,1.7061011,0.7137532,4.8057384,1.2625401,9.464789,2.1919847,23.180939,0.64888203,633.4152,0.33591864,1283.9315,0.20579359,-148.60165,-0.54429805,1680.4438,0.1721367,1004.2449,0.42503354,-145.94853,-0.5371907,2752.5632,0.12926908,905.3063,0.4099737,-147.51852,-0.5162069,-16.606958,-0.6600687,25.105402,0.4778054,0.045717187,1.024375,-0.022335328,-0.7567812,0.64453006,0.9000858,26.432299,0.47034588,10.568428,1.1404411,9.252699,1.8509232,-3.797007,-3.543525,-5.531754,12.982629,-0.015869906,-0.004102423,0.043715194,2.0015397,1.4683154,0.20157893,0.21856621,0.4822222,0.7067575,-29.492775,-1
27.34421,0.3408842,15.515967,32.28312,34.712788,19.19682,602.3469,748.7294,104.428474,109.37136,0.29572585,1.0074732,0.12139738,0.14964004,0.42983854,0.30844116,11.140549,7.7108684,10.638342,5.414658,0.21127981,1.5892739,17.829845,0.7127786,7.784286,0.9787718,16.147194,0.6163388,-0.45204437,-22.826233,0.073793426,1.9499091,1.6659861,0.6419588,4.026462,1.4185199,-0.82949686,-34.24145,14.042146,1.9928277,592.5507,0.3863191,1280.1943,0.19046484,-124.76668,-0.7035998,1625.1437,0.18533339,1015.1799,0.33776382,-124.6653,-0.6652153,2694.5422,0.12641603,821.4497,0.44444045,-126.49265,-0.63986,-18.425663,-0.4794905,26.704767,0.40090945,0.006756424,7.1506414,-0.021019883,-0.8010512,0.43265697,0.95093644,28.403044,0.41854483,10.9880495,0.8657163,15.525832,0.8610344,-2.1209488,-6.2153764,-10.879345,19.025747,-0.040496323,-0.004177845,0.03995707,2.2518766,1.9262983,0.21782607,0.2515337,0.29272726,0.7993815,-31.50837,-1
32.913677,0.31530884,21.37503,36.4234,38.30818,16.933151,228.90152,93.06951,194.2461,148.82216,0.440406,0.9066312,0.16077235,0.26222065,0.7112154,0.55044305,8.916973,6.927607,8.646812,6.091972,0.2734711,1.5829164,14.306112,1.0570301,5.1131105,1.8749597,6.70308,2.0046172,-6.17348,-2.0859032,0.054647055,1.5575966,1.5704385,0.6846277,4.4276147,1.5936571,6.2169046,2.9778905,21.131018,0.89535123,695.41675,0.32531998,1234.3794,0.25086227,-136.02339,-0.61947745,1701.1112,0.1747399,998.0023,0.37151492,-131.08954,-0.6296242,2846.2107,0.11728195,846.4248,0.5128843,-133.15962,-0.5973459,-13.574353,-0.7849895,23.713173,0.5816588,0.040340975,1.0290854,-0.017716493,-0.8914244,0.5696893,0.95308083,25.743116,0.57696754,8.3451,1.231637,5.7381244,2.911573,-7.957509,-1.9103626,-1.35072,6.0233293,-0.001638508,-0.003449824,0.08006817,3.00273,2.285192,0.1628,0.20316535,0.2492,0.31865868,-28.478416,1
