F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,reward
25.525145,0.32077026,20.604298,23.669334,27.075832,6.4715347,131.856,106.97442,74.72032,73.55611,0.547223,1.0022476,0.06091754,0.3482121,1.144915,1.0839975,10.838268,6.2575603,8.06021,7.0140305,0.39182612,1.2450794,25.065762,0.72981715,4.079571,3.2850611,13.630542,1.2306358,0.2919671,41.534332,0.04970759,1.920201,1.6681001,0.7268908,2.2166343,1.9171861,-1.816379,-4.4776554,19.452772,0.77986777,501.93814,0.4525871,1177.4435,0.2520813,-93.3068,-1.0422682,1483.7064,0.22615162,950.6061,0.279152,-99.365585,-0.9001021,2484.6968,0.12367629,786.0348,0.27147332,-101.55833,-0.86247724,-15.763812,-0.70417446,22.828022,0.5316373,0.05496699,0.5004375,-0.02886238,-0.6144755,0.6866876,0.70808697,36.43997,0.45890304,2.1409953,6.643033,19.300804,0.93959296,-3.0005026,-4.6169353,-7.1930017,16.537315,-0.001469071,-0.002240901,0.03738291,2.456779,1.6483517,0.3211111,0.19084284,0.2770588,0.51775265,-25.997784,-1
22.859795,0.21145675,20.2319,22.593351,25.091719,4.8598194,431.59662,915.71783,98.387535,225.49373,0.4972744,1.0419897,0.06068457,0.2895354,0.9130556,0.85237104,12.784109,7.2202845,11.214075,7.847168,0.4364191,1.1247348,32.78379,0.65770054,14.467217,1.0822302,13.997235,1.3209615,4.4618735,3.4459515,0.05169496,1.8654506,1.7914712,0.76141757,2.4576294,1.6444161,2.4689696,5.156731,32.342625,0.50074804,565.4644,0.42462134,1325.9666,0.16060874,-62.547585,-1.3356764,1594.9707,0.21166588,1037.685,0.2875736,-73.583244,-1.0247676,2668.0981,0.13219264,937.02966,0.3524263,-79.761505,-0.89838636,-24.07402,-0.48412403,35.461517,0.3939874,0.021226386,2.828192,-0.027905231,-0.7230265,0.58178914,0.85928136,42.510437,0.35842025,16.084003,1.0636954,16.987883,1.1216351,5.176794,3.3234737,-10.19455,21.224672,-0.011555303,-0.002231226,0.024336537,3.2332563,1.1600928,0.6293333,1.1572349,0.24538462,0.34450892,-26.144102,1
22.786993,0.16218638,20.200869,22.123972,24.297813,4.096945,146.3808,99.848465,60.757683,78.342865,0.2972444,1.5993682,0.057737436,0.08041858,0.46313548,0.40539804,8.938862,9.972763,5.423756,5.775143,0.19798988,1.9929457,19.030697,0.82686377,10.963585,0.965212,11.883267,0.99224627,2.528578,4.119264,0.034121685,1.2114121,1.6566968,0.6977482,2.1338375,1.915112,2.9279106,3.4901702,23.463177,0.5333533,483.09012,0.3051505,1236.3817,0.17103358,-136.65341,-0.6583701,1518.0433,0.18398881,989.9213,0.37851188,-142.23625,-0.5736545,2515.8938,0.10859329,793.15625,0.41246888,-143.07994,-0.5620255,-19.97355,-0.40964887,26.017237,0.3301596,0.038293965,0.9118824,-0.033264946,-0.52019256,0.5551502,0.93978286,37.467815,0.345309,11.593777,1.2095077,21.03382,0.65892273,-0.7263281,-19.881798,-8.92638,16.84709,-0.009432065,-0.006688066,0.017147427,1.3648772,1.3723696,0.23266666,0.16368534,0.59416664,0.79749036,-29.059877,1
26.869844,0.35772365,21.731096,24.2024,26.194983,4.4638863,170.34395,181.87802,119.35701,104.81388,0.51049227,1.0802898,0.073777065,0.23790391,0.95158875,0.8778117,9.878658,8.164179,8.71753,6.309921,0.31379193,1.477383,19.424889,1.073541,6.3989654,2.038127,11.724725,1.070255,-0.81912196,-14.118183,0.034409367,1.2766845,1.4052364,0.8000524,1.7478979,2.9302294,0.29796457,22.439444,19.673906,0.7202221,555.0164,0.4592713,1171.1953,0.259673,-110.85586,-0.85915136,1562.0564,0.21961284,957.02246,0.27897087,-113.343864,-0.78414387,2550.1233,0.13760813,787.93463,0.35600534,-114.88368,-0.7587533,-14.519685,-0.8804547,21.493473,0.5692004,0.044743903,0.68317807,-0.028232656,-0.7201998,0.605874,0.8689299,32.526188,0.6462496,3.5976968,3.9555664,17.233963,0.76033086,-3.162552,-4.312931,-5.105464,12.181697,-6.96E-05,-0.004414251,0.048176784,2.0850708,1.927913,0.23434782,0.26725376,0.2995,0.5793831,-26.655905,1
24.1284,0.14178447,21.673958,24.321486,25.971413,4.297455,269.3698,212.95503,68.70111,64.2425,0.22658941,1.5241663,0.040449034,0.048817396,0.38854265,0.34809363,8.904324,6.8850174,5.6662583,4.7417502,0.11233258,1.9832206,17.464636,0.8624992,8.852936,0.9417102,10.165145,1.5587789,0.97283804,11.854681,0.033523,2.1612787,1.64722,0.92291266,3.2697377,1.3514528,-1.889952,-4.37462,26.597694,0.4800045,513.21234,0.38177535,1251.003,0.20574906,-149.18747,-0.58050704,1519.7903,0.2063495,917.3632,0.4520476,-153.23326,-0.5133298,2568.498,0.13822909,793.986,0.44495127,-154.41977,-0.49700034,-19.895206,-0.46186036,26.740513,0.34652218,0.06358633,0.45645314,-0.038956795,-0.50166225,0.39746168,0.6897315,39.45855,0.3005957,8.148069,1.3896171,21.69816,1.1418889,-10.394841,-1.5024685,-10.750524,21.189459,-0.016185299,-0.004834805,0.011812,1.1676397,0.83752096,0.304,0.16280048,0.96555555,1.7381032,-32.157806,-1
23.370844,0.36633772,19.121021,20.806444,23.513098,4.3920765,233.22066,179.67482,110.093506,90.65131,0.15150258,1.4237511,0.045883037,0.057882223,0.160568,0.11468496,6.383022,5.233278,5.0502925,4.6841035,0.072846495,2.2281852,15.740541,0.8719975,9.307852,1.1270902,10.995592,1.024083,7.935062,0.99033636,0.030378481,0.8657649,1.819769,0.61865884,1.5621233,2.2193859,2.0919864,7.5719914,20.61797,0.7849466,627.9003,0.34249583,1265.5765,0.25514397,-156.17445,-0.5034241,1683.297,0.20146404,1004.6882,0.44434515,-157.09904,-0.47630778,2640.9666,0.14271745,962.5269,0.43728542,-157.77267,-0.46646503,-17.452179,-0.64588183,22.219866,0.47013208,0.010553647,3.8413723,-0.025910523,-0.58820295,0.2505397,0.96333504,33.074085,0.505754,9.996542,1.4226915,16.928625,1.002704,6.084291,1.7603256,-9.3202305,17.74083,-0.016767984,-0.002388047,0.015037985,1.1828935,1.1882999,0.19846153,0.17810307,0.62153846,0.90116024,-38.78641,-1
22.49632,0.17064048,19.576635,22.352654,24.97825,5.401615,289.331,358.85968,63.803375,60.453938,0.38080448,1.3441772,0.05775307,0.09640541,0.7381485,0.6803954,13.384928,11.023253,12.551346,10.754644,0.31745774,1.8468156,21.515055,0.7178509,7.5828657,1.5378212,10.043321,1.4201683,3.663651,3.2426336,0.03751247,1.1078389,1.9904966,0.6567828,1.3348837,2.9122295,0.77530676,12.18635,22.076324,0.4736018,510.7763,0.37318963,1283.8265,0.18004428,-123.28049,-0.76071775,1508.888,0.18956982,1018.5163,0.3439626,-127.240875,-0.68156356,2506.7932,0.10375538,790.50146,0.36322066,-128.67395,-0.66058785,-18.020855,-0.46488118,24.629967,0.34190944,0.041472577,0.9656621,-0.028846312,-0.6749213,0.7421192,0.98837316,35.896984,0.37840086,7.209989,1.9019814,16.9169,0.9817499,-0.5781608,-26.25527,-8.849919,18.305761,-0.012106263,-0.001385116,0.024531528,2.3352795,1.3411568,0.2925,0.27423757,0.49071428,0.80649555,-27.528824,1
23.298096,0.27009922,21.21025,22.771465,23.586454,2.3762035,190.13174,104.68666,51.630325,43.653797,0.21859147,1.4737021,0.044544563,0.062295258,0.36989087,0.3253463,7.05792,4.1598625,5.346056,3.008102,0.11003275,1.9745024,16.194466,1.0255657,10.8118,0.8057261,9.922453,1.0677047,4.474856,2.2024848,0.02340159,1.0416198,1.6017758,0.8529674,2.8016615,1.2915975,2.6436732,1.7409624,27.516823,0.40729213,521.5251,0.44750237,1205.2238,0.2026972,-152.55312,-0.5500613,1502.9198,0.22687821,945.9071,0.25806037,-155.89925,-0.49491563,2534.3699,0.13884042,779.1234,0.38661447,-157.6897,-0.46943524,-19.531466,-0.56321156,26.715855,0.40151787,0.045362595,0.8217124,-0.0327609,-0.6461211,0.396904,0.69759643,38.43183,0.48054588,10.691458,1.1484215,15.240604,0.971123,-1.6898633,-9.373548,-9.51216,18.35836,-0.016077124,-0.001993791,0.015549877,1.1547344,0.9273571,0.25916666,0.26890078,0.79749995,1.0028886,-32.525234,-1
21.324343,0.25428712,19.068842,20.632744,22.612686,3.5438442,109.80849,66.50895,104.45317,90.54257,0.32957035,1.436347,0.06401457,0.10742808,0.5605704,0.49655586,12.3661375,9.545566,11.11162,7.657855,0.22953437,1.840415,17.287394,0.9659894,9.733489,1.1981485,12.4960785,1.2021273,3.549599,2.677211,0.048022553,1.9035901,1.9819947,0.730843,0.8603036,4.64835,0.6064099,10.560653,20.552858,0.47482044,513.82416,0.38676107,1231.379,0.21312521,-137.39651,-0.656589,1559.6127,0.20994644,951.66797,0.45404896,-141.5638,-0.58650666,2541.7705,0.116317205,824.302,0.43742785,-141.762,-0.58271956,-17.787294,-0.49677333,22.69928,0.4050213,0.032594655,1.0713902,-0.028781472,-0.57459706,0.6378298,0.81807697,36.009388,0.40278447,8.867706,1.7010255,22.975895,0.7860058,2.4608274,5.2504253,-6.7808733,14.047378,-0.004249914,-0.004703362,0.020638863,1.6378527,1.0064044,0.32454544,0.22572565,0.79333335,0.86660254,-29.231916,1
24.210554,0.2656876,21.81549,22.979298,25.00674,3.1912498,121.435425,111.14247,84.71429,78.52621,0.46256578,1.1170377,0.05530475,0.1382978,0.96239924,0.9070945,11.722636,7.273754,8.298039,4.1081033,0.30898082,1.419931,23.196217,0.80741805,9.241968,1.1113546,15.268677,1.0287224,2.4182858,5.0200734,0.051437445,2.1158173,1.5978268,0.77705544,2.8266432,1.3702106,2.160694,4.729247,22.982882,0.45038196,502.79816,0.39647135,1208.392,0.18637446,-105.02168,-0.92783433,1529.5468,0.20592013,898.4851,0.31223938,-110.512276,-0.8116426,2546.1765,0.10958551,841.10345,0.48305476,-112.122215,-0.7831764,-17.48376,-0.53656864,24.025265,0.42471945,0.044701762,0.75238293,-0.03422374,-0.49127737,0.6058978,0.7588189,37.603317,0.43262237,6.9590383,1.7114216,22.581821,0.7828352,-2.7285223,-5.1728916,-9.200057,17.513575,-0.014114203,-0.003960557,0.017716696,2.2518766,1.08969,0.44846153,0.33589938,0.579,0.7992303,-27.38847,1
