F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,reward
36.734627,0.14477618,34.301834,35.894333,37.40441,3.1025772,266.59723,225.49004,83.21698,111.37963,0.47832346,1.4848641,0.037986714,0.10151426,0.8900969,0.8521102,17.869255,11.909907,10.388101,9.026319,0.32035977,1.7246771,13.127197,1.3796322,5.929697,2.152541,4.414945,2.839898,-3.8648922,-3.946322,0.042648733,2.2677386,1.353502,0.90116763,7.5187397,0.9241841,9.907341,1.065684,24.0294,0.56309354,659.5893,0.3501522,1282.6497,0.32886237,-144.61139,-0.5731926,1702.2501,0.16381623,1036.6038,0.40879008,-140.54456,-0.5797585,2806.775,0.12226696,1058.7982,0.46579584,-143.5079,-0.5393137,-18.127108,-0.81124055,30.751663,0.50556207,0.072032504,0.45408043,-0.018239079,-0.74287015,0.8503117,0.7090092,30.215534,0.5588452,4.4271393,3.6460712,10.687687,1.5671902,-9.602748,-2.3188915,-4.4887557,13.2246,0.025114466,-0.002313812,0.0428714,1.5468608,1.0054845,0.3381818,0.21708055,0.701,0.7967991,-22.330723,-1
36.758656,0.20281751,34.473648,36.264717,37.49444,3.02079,559.3433,1161.0355,166.40112,81.48201,0.45557195,1.5999523,0.03500672,0.054096956,0.9943926,0.9593859,23.854279,12.825274,13.980528,8.258243,0.37602073,1.9112636,11.923389,1.5340475,4.912886,1.86663,2.0084126,5.2729354,-3.216037,-3.8717518,0.05015536,2.116923,1.4626086,0.87107444,7.279307,0.89201814,10.184265,1.0945481,28.435492,0.67193973,697.4863,0.42325702,1297.2074,0.24205968,-159.95639,-0.47644603,1664.7064,0.21855268,1028.2157,0.31015605,-150.84373,-0.51917225,2826.5073,0.15192088,934.6701,0.4201337,-153.92781,-0.47855702,-15.72957,-0.9742946,30.188383,0.6264597,0.081119634,0.3973848,-0.019645734,-0.72621226,1.2048229,0.7141686,30.950642,0.7336733,7.118581,1.5699099,0.6889371,22.513943,-14.689402,-1.0474706,-4.224042,14.641709,0.016058348,-0.000595466,0.050595976,1.6166282,1.0819166,0.25214285,0.14016208,0.608,1.1524768,-21.92857,1
34.586475,0.20524727,33.647404,34.658257,35.645164,1.9977608,791.4536,639.16003,130.55452,118.42723,0.44821477,1.7840419,0.03554825,0.05899744,0.81581235,0.7802641,18.860395,13.171371,14.692448,11.110166,0.2943686,2.1003113,9.078286,2.0629582,6.6292906,1.3768777,-0.64081746,-18.498892,-0.6850329,-14.037558,0.0485272,2.4627469,1.3474123,0.898283,6.3781657,1.0329126,7.2218256,1.3123467,23.559277,0.49599203,700.3497,0.31586412,1310.2537,0.24802628,-155.39171,-0.51774687,1644.569,0.15099354,1058.3088,0.4221296,-152.84483,-0.5157761,2716.0217,0.10276963,856.1913,0.5547111,-155.42326,-0.47527733,-10.9522705,-1.045171,26.170788,0.5315678,0.08878822,0.30454612,-0.00949372,-1.8163384,1.0404849,0.7580745,31.247974,0.6282473,1.9768096,6.77795,-2.1447034,-9.111646,-2.0266306,-6.866946,-4.441267,13.8355255,0.015702663,-0.000564051,0.027889585,1.308699,1.0046368,0.25230768,0.2546235,0.7775,1.2434033,-23.751352,-1
36.74747,0.23403552,32.816288,34.354523,35.865917,3.0496292,535.08057,961.9135,104.26464,119.72353,0.37252802,1.5753126,0.034933966,0.049001593,0.74419343,0.70925945,16.294672,12.885313,11.522932,9.769399,0.2780606,2.0375412,10.759022,1.6998779,4.8302417,2.1962593,3.9605336,3.6393182,0.696443,18.16767,0.04878382,1.8936616,1.3433256,0.78085864,7.1325674,0.7986833,9.133601,1.400117,24.117264,0.7651497,652.60913,0.35285723,1254.1989,0.22570652,-153.21086,-0.52284485,1728.1984,0.17052704,947.1893,0.35425392,-147.34152,-0.5415347,2777.3503,0.12571876,948.9922,0.37122938,-148.93158,-0.51647156,-15.064651,-1.0730582,27.814804,0.6358669,0.06657061,0.50857526,-0.017719189,-0.91836226,0.822613,0.90575975,29.558294,0.7382155,6.8339467,2.2104626,11.527582,1.7627302,1.4579366,12.317741,-2.9505157,13.111158,0.018510267,0.000220138,0.031441707,1.4626637,1.0844307,0.275,0.23190977,0.6746154,0.8463733,-25.094772,1
34.233986,0.23785679,32.25778,35.09088,37.36927,5.111492,978.4055,1230.4598,337.28003,583.8856,0.643909,1.3314319,0.0368194,0.18638839,1.2750041,1.2381847,19.323898,14.363108,13.528636,7.6299877,0.49940312,1.4931471,19.047838,0.9498968,3.2313585,3.1031065,2.4682684,5.4374804,-3.1030796,-5.3482704,0.05243497,1.8978018,1.5600162,0.8568903,6.064036,1.1939387,9.8592205,1.8305321,27.061483,0.6957823,613.0321,0.3628512,1297.8984,0.20556137,-132.35226,-0.67985785,1600.204,0.18578148,1046.6866,0.28164786,-124.15408,-0.70417076,2710.8506,0.13689415,1022.22614,0.37016875,-128.24954,-0.6400875,-17.004745,-0.71849334,29.231907,0.42817596,0.08192041,0.36103848,-0.021799596,-0.73270255,1.0511053,0.79187715,33.721054,0.44666222,4.240434,3.0126789,4.0826755,4.361193,-9.847667,-2.290893,-4.988396,15.236856,0.022823563,-0.00263018,0.08616967,1.8198363,1.6544118,0.2488889,0.22067796,0.33444443,0.66270673,-20.631851,-1
38.105488,0.27226236,31.676065,34.47306,49.783073,18.107008,756.03204,1202.8888,380.1244,1016.06476,0.8184322,1.2800955,0.042055625,0.24519266,1.8449248,1.8028692,18.118069,11.886482,11.663683,9.153323,0.520481,1.4552845,11.15366,1.9471374,2.5240748,5.5429068,3.0476723,4.508035,-3.0703118,-4.2584925,0.04456664,1.5806326,1.2728428,0.76041746,5.1649036,1.3093872,6.731676,1.9415745,20.988266,1.0063919,690.5075,0.4019219,1145.9362,0.35008398,-126.41588,-0.7239388,1760.3262,0.19299436,944.84863,0.43381605,-118.95254,-0.75788325,2787.4944,0.12614807,965.34314,0.53695565,-120.92321,-0.7195934,-9.70719,-1.7976701,22.37806,0.8083228,0.0808602,0.38215303,-0.017327378,-1.1474702,1.0152165,0.8022856,20.817507,1.2472975,2.64003,7.140083,7.1333985,2.5067735,-5.5326743,-2.8821225,-2.461121,12.723935,0.023968536,0.000225327,0.1208004,2.0928116,1.738335,0.24736841,0.20690304,0.36499998,0.42311344,-20.968903,1
36.380157,0.1883003,34.087605,35.292526,37.949276,3.8616714,527.54584,1021.6768,153.50856,145.54427,1.0372537,0.8815973,0.23354742,0.7553668,1.6890149,1.4554675,17.859192,10.8870535,12.094754,9.032189,0.73829556,1.0724161,26.640654,0.8236842,6.5002813,2.2304363,7.5609655,2.2163737,-6.4917107,-2.8093815,0.031975202,1.8250785,1.1799675,0.9443921,8.181283,0.81309366,9.169566,1.9532933,23.800951,0.9254108,673.9724,0.36669567,1282.8986,0.25556344,-63.162178,-1.1999964,1708.9968,0.18644695,991.6807,0.37209114,-63.018036,-1.0361485,2825.14,0.10961896,918.4926,0.4423711,-69.023224,-0.9086768,-18.454706,-0.809159,31.117105,0.5375835,0.072579905,0.37606785,-0.017456884,-0.88930804,0.87722343,0.92313206,31.591305,0.64981294,7.4166403,2.0402017,9.921074,1.6764297,-7.205966,-2.7349615,-3.88394,14.313591,0.04043931,-0.00221412,0.21051928,3.4576888,2.1023767,0.3721739,0.30395874,0.093,0.08678134,-18.102554,1
31.874825,0.2611442,22.581839,35.58538,37.179398,14.597559,320.9004,188.39624,189.4024,160.5348,0.4089981,1.7011337,0.036935672,0.09394586,0.5200397,0.483104,23.745237,16.548094,15.367177,10.077204,0.38731408,2.1009,11.320693,1.4517533,7.480916,1.5106351,2.137048,5.360864,-3.8874457,-3.071305,0.07307697,1.5880435,1.6952039,0.6296959,3.9414787,1.6778897,4.1814365,5.3466425,19.263378,1.3632709,649.31323,0.39947736,1319.6393,0.32554534,-152.7056,-0.5388076,1630.8496,0.17661424,1027.1671,0.4033675,-146.48207,-0.55496055,2727.6523,0.122665465,888.62103,0.40732405,-148.76855,-0.5225952,-14.66047,-0.67839277,28.527145,0.40707976,0.07893597,0.4776776,-0.011613334,-1.4813411,1.2235285,0.88825005,29.43339,0.5085719,4.5665717,3.1148262,5.453804,3.0983257,-6.16329,-2.9460404,-4.010598,11.751721,0.024287809,-0.003147749,0.029995754,1.455869,1.2797076,0.22071427,0.34656405,0.498,0.6797176,-23.217999,-1
33.97228,0.21515147,33.01577,34.642956,36.214085,3.1983147,584.27686,737.21014,145.21648,160.85474,0.5340215,1.2824275,0.03555534,0.13775206,1.0850136,1.0494583,18.196793,10.697829,7.506459,5.712711,0.38167134,1.4547956,18.186169,1.0985316,6.611423,1.476495,3.2342002,3.5061378,-2.6881852,-4.107009,0.052927464,1.739148,1.3201779,0.87085783,7.077655,0.85775024,8.4030485,1.3654397,30.165749,0.54210687,727.15826,0.27085066,1249.9343,0.25210992,-127.4765,-0.70462954,1757.6019,0.14172119,975.9754,0.3293006,-128.10161,-0.6541529,2903.982,0.10797783,954.2933,0.38973486,-131.36842,-0.6067504,-19.012197,-0.67019594,32.435696,0.4758169,0.07832281,0.37971243,-0.023945024,-0.60665524,0.81878746,0.6960125,33.968967,0.56724364,8.872954,1.4428759,6.854206,2.221653,-5.813941,-2.4800887,-5.7773814,15.694718,0.021318302,-0.00359059,0.04968656,1.8348625,1.4261745,0.28705883,0.26150614,0.4778571,0.5743963,-22.6635,-1
34.55692,0.2065172,32.9157,34.72487,35.92912,3.01342,713.10156,1345.7671,261.9101,334.18802,0.81870186,1.1056716,0.07228892,0.41885266,1.5984824,1.5261935,19.616554,10.421478,13.932132,9.547023,0.6104296,1.345856,17.57825,1.257981,3.955385,3.2020369,3.5768204,4.319828,-5.7201486,-2.5251844,0.028245453,1.5818517,1.2982941,0.8905346,7.0759892,0.9098283,8.85533,2.1360133,25.90959,0.7680605,666.3559,0.35173208,1315.9503,0.22651258,-118.141335,-0.77606326,1680.0217,0.16831377,982.5564,0.36209324,-115.10753,-0.7411734,2823.7976,0.1198307,946.69464,0.48915702,-118.96457,-0.67979896,-15.407527,-0.79694074,28.90389,0.5193352,0.08253195,0.3444557,-0.019621678,-0.7344665,1.0694566,0.7983534,32.31354,0.63638663,6.6347213,1.888554,7.2800627,2.589923,-8.510298,-1.9171991,-1.3686764,10.791998,0.03273607,0.000403325,0.18345825,2.911738,2.010969,0.22954546,0.20166302,0.25333333,0.45382327,-20.069365,-1
