F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,activation
25.551826,0.3528864,20.67775,24.17921,26.41995,5.742201,643.8805,950.32855,152.82854,202.63904,0.6616986,1.0599397,0.094776146,0.4045137,1.1345983,1.0398221,12.631658,8.605136,11.103066,7.3131194,0.43349433,1.260578,22.834839,1.0146493,-0.76858366,-26.30378,19.329563,1.0958537,1.8560085,8.260989,0.04270301,1.8805975,1.7085735,0.81903386,2.2367887,2.165915,4.8269672,2.0308836,22.787174,0.6600295,532.65924,0.34689644,1259.7311,0.24218403,-88.70788,-1.0688444,1582.4755,0.1778236,972.9434,0.35091984,-92.91354,-0.94804907,2592.2576,0.08414397,908.65857,0.35672468,-93.078735,-0.9331371,-13.223946,-0.9612532,21.091274,0.6035059,0.041541275,0.70382893,-0.02790271,-0.7290787,0.6761355,0.8536602,36.905617,0.43529445,-3.2256703,-6.8423223,24.90539,0.81524533,-1.689298,-9.69371,-1.8414794,9.217479,0.000934154,-0.002272942,0.08245521,3.3361135,2.17938,0.26346153,0.2073077,0.1875,0.26500392,-25.242535,1
26.932056,0.3696454,21.595121,23.758259,26.887337,5.2922153,466.55173,1041.8798,87.39506,82.34159,0.7523928,1.0378021,0.046532486,0.51693875,1.4085276,1.3619951,16.047985,10.268291,9.720704,6.0658054,0.4942785,1.1768168,26.869646,0.7455904,-5.3591223,-3.802688,25.358805,0.8973358,-1.9887736,-7.3577166,0.030785274,2.3154204,1.4881259,0.88425314,2.831182,1.6164211,4.041018,2.125548,19.446922,0.96660334,519.49207,0.3430034,1222.1812,0.26287946,-87.82592,-1.0862722,1569.633,0.17445478,911.73114,0.39965057,-89.30877,-1.0018799,2630.575,0.07521653,893.0534,0.37132326,-89.63472,-0.9909935,-11.083161,-1.3426288,19.507284,0.7629401,0.038734462,0.7725126,-0.022306735,-0.8683225,0.751753,0.7645692,38.429905,0.41479036,-9.6961565,-2.2614698,34.44283,0.6613746,-4.081893,-4.021978,-8.155734,16.872585,2.23E-06,-0.006304901,0.10769949,2.6688907,1.927913,0.30043477,0.31265312,0.25055555,0.59038097,-23.970057,-1
26.475348,0.3927909,20.506046,23.47378,26.56424,6.058193,591.7604,858.31665,230.23183,360.38837,0.49614015,1.1340107,0.11682756,0.2385763,0.83555335,0.7187258,14.685756,12.002319,11.061048,9.942961,0.31045017,1.44753,18.004898,1.2695024,-1.7119411,-10.940355,17.860273,1.1557359,-1.1519208,-14.732947,0.052254546,1.5068815,1.8114667,0.82300603,0.81493276,5.8984632,3.2611103,3.7990859,19.596876,0.8952987,515.74347,0.38699892,1199.2114,0.275416,-106.65522,-0.9061394,1546.5681,0.18176812,926.9878,0.3388589,-107.419846,-0.83894384,2561.1663,0.089982376,829.53076,0.32397053,-108.276665,-0.8212433,-11.494014,-1.1154437,20.315556,0.61643857,0.03990049,0.89434826,-0.01908477,-1.2319882,0.5236712,0.9006992,34.519848,0.5069439,-6.3999453,-3.0292616,23.276384,0.93412083,-1.8264631,-11.347048,-0.23399289,5.5291348,0.010985845,-0.003528587,0.102251336,2.456779,2.3787742,0.19884615,0.18882892,0.19148147,0.33480456,-28.322636,-1
28.878948,0.43521693,21.804806,25.356771,29.278528,7.4737225,942.2262,1337.3022,404.07278,708.0774,0.48957092,1.2369301,0.03958787,0.18457198,0.9460573,0.90646946,12.702912,8.460001,9.541079,8.3515835,0.34281424,1.5449991,21.183641,0.9849608,-5.1094494,-4.362062,21.474104,0.8533335,3.665111,3.6368377,0.040837824,1.5832103,1.9130706,0.7017907,1.5760028,3.1784198,2.4481678,5.0415835,18.94857,1.2067367,564.8138,0.34403244,1139.1888,0.3418601,-118.384865,-0.7822902,1625.5676,0.16432881,1003.1521,0.30516976,-114.74394,-0.77531093,2629.4211,0.07875964,950.0625,0.3120128,-115.2164,-0.7640883,-12.021395,-1.3739482,20.27764,0.7344261,0.03283448,0.971671,-0.024904203,-1.0069152,0.6324075,0.9744733,35.905052,0.4990023,-7.187461,-3.594489,29.35093,0.68268,0.86908406,18.846191,-6.988134,16.797375,-0.012422576,8.30E-05,0.08416264,2.5477707,2.1043003,0.2152174,0.15681252,0.25809523,0.30638626,-27.257523,-1
26.56972,0.39434618,19.810282,23.738651,27.762047,7.951765,530.2906,763.63104,160.76524,128.2219,0.50906575,1.1032468,0.06613931,0.3002962,0.89117074,0.8250314,9.987928,6.5596604,9.67182,8.285674,0.34176567,1.2721367,24.862904,0.7453624,-7.11796,-2.8749306,21.995436,1.000738,1.233054,11.6527605,0.056083318,1.6224207,1.8990145,0.76984894,0.17213522,27.552265,2.9617646,3.270773,17.462202,0.9864401,547.82385,0.38825768,1177.871,0.25290373,-106.19522,-0.8754282,1595.394,0.1751851,963.74335,0.41864112,-105.63522,-0.833992,2590.4036,0.0873383,936.212,0.35794613,-105.38334,-0.8308138,-8.930991,-1.5356148,18.107908,0.6863873,0.032020982,1.0172801,-0.018524539,-1.2156054,0.5407604,0.8752637,34.670815,0.46055385,-10.593325,-2.0827847,28.78839,0.8258116,1.6840124,10.031597,-6.318757,14.675316,0.004237597,-0.006276493,0.12997515,3.2527106,3.5205367,0.13785714,0.12652001,0.14444445,0.19231693,-27.738293,1
27.455416,0.47408378,19.958965,22.739481,25.840328,5.881363,624.0526,737.5986,221.08655,217.56522,0.39292058,1.1220603,0.04157016,0.20462234,0.7462078,0.7046376,9.966123,6.4260902,8.1057825,4.482984,0.21510811,1.2677445,20.964626,1.0886452,-4.399566,-4.823046,18.544794,1.0938247,6.568137,2.0803068,0.04666638,1.9837663,1.709849,0.72227633,1.7542533,2.5637527,7.013376,1.7220687,23.783522,0.72834337,536.5281,0.33920816,1158.0863,0.35865188,-111.677956,-0.85816216,1574.35,0.16706249,983.6785,0.34581858,-106.07585,-0.8803172,2586.0105,0.087212235,955.41187,0.33863628,-109.61244,-0.81631273,-9.693338,-1.6780355,22.268572,0.6727878,0.028176093,1.0816942,-0.016670931,-1.3526391,0.3795297,0.7179711,36.99968,0.52593875,-10.019741,-2.3744433,25.219011,0.9123805,6.8821287,2.4700449,-6.5008945,17.043806,-0.011098706,-0.00066496,0.04963323,2.6688907,1.8425461,0.26181817,0.23328947,0.31333333,0.5980989,-31.296167,-1
26.521156,0.43139413,20.389538,23.26305,25.522102,5.1325645,559.01733,902.895,365.77808,1093.8815,0.5052574,1.080201,0.053870194,0.287446,0.946898,0.8930278,12.362631,8.751143,10.611374,7.814007,0.29852787,1.2882102,22.628977,0.9480774,-4.116528,-4.9286356,18.970924,1.1238216,0.86701685,17.863413,0.039989907,1.5808958,1.6798973,0.8109739,1.0916598,4.2118936,4.4918675,3.320469,16.93896,1.0336957,505.03854,0.38095924,1193.5216,0.3590846,-102.04123,-0.9441545,1526.6627,0.17609988,1012.2229,0.3881139,-98.44203,-0.9398703,2552.1577,0.076330476,945.99225,0.40172184,-99.5309,-0.9158595,-7.480675,-1.7760038,17.080414,0.7304968,0.03683376,0.8936625,-0.017872892,-1.2843544,0.4995451,0.8023659,35.839535,0.49924192,-13.404867,-1.4565051,26.305634,0.8502283,-0.035846956,-513.11285,-7.427772,15.9979515,0.00332881,-0.004942718,0.06989254,3.0025022,2.514669,0.20233333,0.21007432,0.21249999,0.3324561,-29.561079,1
26.946777,0.40716857,20.276928,23.65597,26.828407,6.5514793,368.657,345.0933,235.43297,379.4376,0.48302564,1.2091161,0.04107075,0.19334435,0.97763395,0.9365632,11.143087,7.465489,9.857202,6.3279104,0.32132426,1.4754598,20.760534,0.9603677,-2.7270331,-7.6609898,18.787973,1.0385233,0.16270532,86.880135,0.05150466,1.6232853,2.1320214,0.77142483,1.1474884,4.158629,3.877418,2.6676662,19.15959,0.9996963,554.5186,0.3581747,1245.5321,0.28037098,-112.81086,-0.86512303,1588.8529,0.16967542,984.39264,0.3634838,-110.06842,-0.84890807,2618.1052,0.08537949,923.25586,0.3697844,-110.70462,-0.8294543,-10.602425,-1.437541,20.80953,0.658403,0.038421854,0.9811183,-0.020552443,-1.2537421,0.58704084,0.85357547,35.30524,0.4802119,-9.207654,-2.6132174,24.326725,0.9411033,-3.1976795,-5.256235,-7.3984113,16.300604,-0.006194299,-0.003142786,0.070269674,2.4186823,1.6764461,0.28,0.27136692,0.32833332,0.48346263,-27.769127,1
28.480042,0.40550342,21.771282,24.579027,29.786755,8.015472,272.3784,211.4536,244.6902,318.68008,0.5880255,1.1056049,0.05441788,0.3042377,1.1399317,1.0855138,14.441994,7.5005655,11.019372,7.7910247,0.39239186,1.2999111,24.710106,0.8393198,-8.097752,-2.8068452,22.500778,0.9232251,3.8279207,4.31996,0.036962885,1.6263282,1.7825449,0.74766433,1.7635963,2.789852,2.7141376,4.6499453,16.674032,1.2356766,534.7161,0.36522287,1184.4664,0.30392262,-102.09408,-0.9327851,1594.4043,0.16947024,955.39746,0.32193533,-97.49191,-0.9388082,2576.8179,0.08855971,925.26514,0.3271754,-98.44518,-0.91788286,-8.932734,-1.7475889,18.559996,0.74121624,0.033561435,0.98094755,-0.01651069,-1.3720658,0.581027,0.88720477,35.872314,0.51565975,-13.628976,-1.86919,29.032364,0.7208004,3.6577253,5.15056,-6.252533,15.074178,0.00017269,-0.004267114,0.15128274,3.0937216,2.197802,0.24333334,0.3004256,0.20818181,0.2631563,-27.179424,-1
31.02428,0.4600711,20.577625,24.747627,50.014244,29.436619,543.9843,763.3771,446.95883,1157.5203,0.49954104,1.3034707,0.041101955,0.1918255,0.975283,0.9341811,15.326051,7.9970264,10.045105,6.4124794,0.3349403,1.5226325,18.04097,1.1103178,-7.475354,-2.7613459,22.264942,0.7710369,0.21711911,71.99809,0.040791284,1.4329526,1.5718274,0.69691783,1.8993144,2.3364413,3.5418262,3.8503468,13.261313,1.8355709,578.4603,0.36070386,1093.2382,0.42648804,-129.49774,-0.7104053,1634.3107,0.20184624,1014.0756,0.36140415,-121.65445,-0.75284755,2665.1355,0.08009153,951.4894,0.42466414,-119.73122,-0.7729954,-6.046162,-3.1084948,14.572981,1.1968021,0.02890134,1.2376393,-0.013980864,-1.7198329,0.6207058,0.89549625,31.667284,0.6537848,-14.405446,-1.7347276,33.02706,0.49471438,-4.3261533,-4.2440853,-6.6719832,16.245754,-0.011883598,-0.0004504,0.120551415,2.7297544,2.110092,0.18869565,0.1862748,0.2995,0.48341987,-26.795017,-1
