,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.014528561,0.000564003,0.685714286,0.893277512,0.001,,linear,"{'C': 0.001, 'kernel': 'linear'}",37,0.666666667,0.890909091,0.333333333,0.963636364,0.785714286,0.875,0.846153846,0.894736842,0.846153846,0.842105263,0.009186867,7.74E-05,0.19556838,0.039776308
1,0.033078337,0.000454283,0.585714286,0.953942812,0.01,,linear,"{'C': 0.01, 'kernel': 'linear'}",38,0.466666667,0.963636364,0.266666667,1,0.642857143,0.946428571,0.692307692,0.947368421,0.923076923,0.912280702,0.017394224,1.19E-05,0.22079254,0.028462773
2,0.099315739,0.000436306,0.557142857,0.985902256,0.1,,linear,"{'C': 0.1, 'kernel': 'linear'}",39,0.533333333,1,0.266666667,1,0.571428571,0.982142857,0.692307692,0.98245614,0.769230769,0.964912281,0.071453504,4.20E-05,0.173174866,0.013145955
3,0.137224054,0.000327969,0.557142857,1,1,,linear,"{'C': 1, 'kernel': 'linear'}",39,0.533333333,1,0.266666667,1,0.571428571,1,0.692307692,1,0.769230769,1,0.138870014,4.52E-06,0.173174866,0
4,0.136798859,0.000324965,0.557142857,1,10,,linear,"{'C': 10, 'kernel': 'linear'}",39,0.533333333,1,0.266666667,1,0.571428571,1,0.692307692,1,0.769230769,1,0.139180354,7.88E-06,0.173174866,0
5,0.137209606,0.000325727,0.557142857,1,100,,linear,"{'C': 100, 'kernel': 'linear'}",39,0.533333333,1,0.266666667,1,0.571428571,1,0.692307692,1,0.769230769,1,0.139645814,8.49E-06,0.173174866,0
6,0.001281118,0.000314379,0.828571429,0.82865573,0.001,0.0001,rbf,"{'C': 0.001, 'gamma': 0.0001, 'kernel': 'rbf'}",1,0.8,0.836363636,0.8,0.836363636,0.857142857,0.821428571,0.846153846,0.824561404,0.846153846,0.824561404,5.57E-05,1.29E-05,0.025058801,0.0063966
7,0.001251411,0.000312996,0.828571429,0.82865573,0.001,0.001,rbf,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.8,0.836363636,0.8,0.836363636,0.857142857,0.821428571,0.846153846,0.824561404,0.846153846,0.824561404,8.23E-06,3.74E-06,0.025058801,0.0063966
8,0.00125823,0.000311136,0.67142857,0.82865573,0.001,0.01,rbf,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.8,0.836363636,0.8,0.836363636,0.857142857,0.821428571,0.846153846,0.824561404,0.846153846,0.824561404,2.36E-05,4.70E-06,0.025058801,0.0063966
9,0.001259708,0.000314617,0.828571429,0.82865573,0.001,0.1,rbf,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.8,0.836363636,0.8,0.836363636,0.857142857,0.821428571,0.846153846,0.824561404,0.846153846,0.824561404,4.13E-05,8.83E-06,0.025058801,0.0063966
10,0.001272821,0.000306034,0.828571429,0.82865573,0.001,1,rbf,"{'C': 0.001, 'gamma': 1.0, 'kernel': 'rbf'}",1,0.8,0.836363636,0.8,0.836363636,0.857142857,0.821428571,0.846153846,0.824561404,0.846153846,0.824561404,3.24E-05,5.33E-06,0.025058801,0.0063966
11,0.001263189,0.00031271,0.828571429,0.82865573,0.001,10,rbf,"{'C': 0.001, 'gamma': 10, 'kernel': 'rbf'}",1,0.8,0.836363636,0.8,0.836363636,0.857142857,0.821428571,0.846153846,0.824561404,0.846153846,0.824561404,1.35E-05,1.16E-05,0.025058801,0.0063966
12,0.001721096,0.000370884,0.828571429,0.82865573,0.01,0.0001,rbf,"{'C': 0.01, 'gamma': 0.0001, 'kernel': 'rbf'}",1,0.8,0.836363636,0.8,0.836363636,0.857142857,0.821428571,0.846153846,0.824561404,0.846153846,0.824561404,3.58E-05,6.14E-06,0.025058801,0.0063966
13,0.001826859,0.000374317,0.828571429,0.82865573,0.01,0.001,rbf,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.8,0.836363636,0.8,0.836363636,0.857142857,0.821428571,0.846153846,0.824561404,0.846153846,0.824561404,3.70E-05,6.60E-06,0.025058801,0.0063966
