F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,activation
21.292053,0.24783683,17.199173,20.246262,23.382153,6.1829796,127.97059,123.419846,130.23303,91.3917,0.33022302,1.0794026,0.0649403,0.18826367,0.52796566,0.46302536,5.930389,4.147265,4.271356,3.2393868,0.22965139,1.2836192,27.249182,0.634044,14.972889,0.7353054,-0.45080152,-30.380524,-10.769932,-1.4052882,0.07685126,1.7202779,2.1052973,0.72367877,-0.83898026,-5.592842,-3.4280632,-6.2726603,32.931004,0.83798903,603.6261,0.31012437,1352.2725,0.15634887,-86.736664,-1.2096145,1640.5391,0.21431215,1110.5105,0.3448942,-94.99789,-1.0039663,2781.6953,0.12781028,1015.88965,0.3933776,-101.36361,-0.8827215,-23.732397,-0.39995682,35.86382,0.2740171,0.08498309,0.39250195,-0.04730894,-0.3824937,0.38940018,0.7994932,39.1448,0.32561433,19.04709,0.62316227,-1.573701,-10.129667,-18.712582,-0.7202291,-11.734732,22.02158,0.003635637,-0.010693247,0.03171017,1.9245573,1.7788091,0.29652172,0.26520884,0.2236,0.3849143,-30.976362,-1
21.579899,0.42247835,15.606586,19.322678,23.14481,7.5382233,369.4477,498.9365,291.85568,296.9372,0.19454694,0.7586726,0.06287356,0.1457056,0.31489345,0.25201988,3.6244297,2.5616972,2.6417575,1.6491975,0.09697536,1.1410203,20.239405,0.8061449,9.34269,1.3394549,-0.45953825,-31.35691,-1.5306077,-8.294195,0.073099755,1.4141974,2.116199,0.6681041,-1.8111329,-2.1672053,-7.782316,-4.0596514,20.385555,1.719351,588.6829,0.32670665,1365.9655,0.18375944,-113.77399,-0.8713498,1612.482,0.1839628,1083.2983,0.32959804,-116.66383,-0.7936998,2695.1086,0.12616543,990.97314,0.39065114,-120.49971,-0.7279047,-17.206045,-0.6226608,28.911995,0.42231324,0.063190565,0.44434258,-0.026995502,-0.63126963,0.17085488,0.6469285,31.137827,0.4915214,14.130759,1.0417943,-1.5158645,-11.949889,-5.810451,-2.2355726,-8.622228,18.966282,0.009611958,-0.007498096,0.039669607,3.5029192,2.6845636,0.155,0.16172893,0.2151724,0.3503458,-41.947536,-1
22.866262,0.41912267,15.928938,18.62373,29.753233,13.824295,260.27087,216.40317,174.5157,158.65228,0.18118106,0.9646009,0.058379285,0.08497477,0.30758703,0.24920774,2.6999335,1.8287262,2.7546256,1.8318585,0.092685536,1.4442075,18.678072,0.85294324,6.421614,1.6412996,-5.155464,-2.6032648,0.4098183,29.116814,0.1163008,1.0815786,2.0972672,0.6866479,-3.174317,-0.77156925,-7.8524156,-2.9336827,21.89347,1.2486677,596.0578,0.33070472,1394.4751,0.18906257,-139.67995,-0.6634331,1576.3132,0.181564,1081.2609,0.2622287,-139.10562,-0.63463575,2669.543,0.13121055,1060.3523,0.33800682,-143.20793,-0.5741205,-15.709278,-0.67448884,30.37558,0.3824279,0.07080913,0.3926088,-0.03193526,-0.59478337,0.22814375,0.6025991,34.30148,0.5123456,10.845178,1.2552459,-12.629384,-1.3197585,-7.4920926,-1.6263063,-9.865073,21.096228,-0.000518429,-0.00430193,0.027618272,2.4186823,1.7602683,0.16904762,0.21498404,0.355,0.7727504,-43.003464,1
21.704819,0.33890975,16.292763,19.857384,24.240623,7.9478607,315.49258,542.30237,139.141,99.84978,0.2988576,0.7873832,0.06724828,0.24475408,0.49112928,0.423881,4.9532323,3.7447684,4.465751,3.2823346,0.18313643,1.084486,27.703087,0.65493923,8.98422,1.532105,-3.7425222,-4.6166935,-5.1692615,-2.5357745,0.09169317,1.5427314,1.9211967,0.75754565,-1.4422679,-3.2924342,-5.7451515,-3.395678,26.618187,1.0182762,616.5651,0.2912595,1384.3634,0.17829163,-79.61316,-1.3107604,1607.5161,0.16465679,1051.3171,0.2953281,-84.897224,-1.1400586,2738.0222,0.12705229,1053.7231,0.41351447,-92.62815,-0.9746544,-18.40214,-0.5680225,32.891632,0.3571736,0.08114011,0.3576073,-0.035275422,-0.5309098,0.2735898,0.6850618,38.56883,0.3487278,11.412194,1.3639469,-6.5546923,-3.0488875,-9.641792,-1.3886149,-9.1876335,19.884357,0.017582286,-0.005746657,0.058473732,3.7531276,2.3489933,0.23535715,0.2790351,0.20434782,0.27504662,-35.696037,1
23.478819,0.30227953,18.419151,21.802755,27.989552,9.5704,307.54965,392.91025,240.04776,368.1333,0.24760768,0.91521454,0.06472145,0.17441618,0.40511793,0.34039646,5.2393622,3.95599,3.487437,2.2768712,0.16867918,1.4240837,22.255997,0.67827004,11.563927,1.0216283,-2.3122084,-7.178352,-6.4269195,-2.1187534,0.10859764,1.4794803,2.1456535,0.63969916,-1.8150631,-2.152605,-2.0505464,-9.543363,29.73837,0.77992696,592.8709,0.332511,1367.2987,0.16687019,-104.95409,-0.9637183,1627.4078,0.21005766,1091.9226,0.27509505,-106.39193,-0.8863016,2730.761,0.122803226,990.55493,0.45638713,-112.03104,-0.7891956,-18.824263,-0.5660957,32.721546,0.2952734,0.07053083,0.39447725,-0.03419595,-0.4968219,0.2995295,0.904898,32.87329,0.38204777,16.083673,0.81855375,-6.480819,-2.999749,-12.742207,-1.0420539,-10.774654,20.773613,0.009476908,-0.00869841,0.04677007,2.3864512,2.241113,0.20758621,0.20865175,0.20966667,0.4073776,-36.343117,-1
20.883186,0.27514264,16.195007,20.492882,23.800743,7.605736,137.29137,95.14775,126.25222,82.85856,0.294311,0.94030017,0.080014534,0.18785076,0.47180143,0.3917869,5.3545523,3.4237952,4.269617,3.8314204,0.19084166,1.259952,25.389658,0.6800432,11.301905,0.9923963,-5.591435,-2.5589478,-3.832121,-3.2470074,0.07761197,1.473463,2.0006366,0.72791374,-1.2514589,-3.636216,-5.7048097,-4.049156,29.259792,0.93511885,599.4169,0.32300228,1409.8242,0.14127284,-94.05869,-1.1118569,1594.8574,0.19211932,1096.1311,0.25439095,-99.3235,-0.98084676,2723.5437,0.13081005,1046.8226,0.3536622,-106.857666,-0.8400814,-19.321894,-0.508237,33.960346,0.28514197,0.08409148,0.35257858,-0.035279766,-0.5239651,0.33417186,0.71638024,38.054142,0.34670824,15.7598095,0.74296236,-8.669285,-1.9405546,-9.626674,-1.2578645,-8.831453,18.976614,0.011471154,-0.003884266,0.041635443,2.4634335,2.0865533,0.23555554,0.17531629,0.25041667,0.42314774,-34.209362,1
21.846186,0.35215688,15.945368,19.683706,25.252623,9.307255,275.28003,420.64337,198.23857,228.98825,0.22240171,1.0280341,0.060179323,0.14238462,0.34982023,0.2896409,4.275913,3.6478248,3.364341,3.1207063,0.12972134,1.5219904,22.903261,0.71787393,9.727228,1.1911222,-0.624221,-23.132471,-4.391872,-3.0682266,0.08044218,1.209844,2.0584784,0.7094631,-1.9974118,-2.2524428,-8.133835,-3.3537815,21.484638,1.5186336,592.20605,0.32534823,1366.7207,0.18329598,-107.86689,-0.93738234,1615.1174,0.18881528,1088.1364,0.34351584,-110.07452,-0.8567638,2702.043,0.12428458,1012.0623,0.37915236,-115.03701,-0.77153474,-18.506979,-0.5706311,30.477114,0.38865992,0.0729726,0.41299203,-0.034033623,-0.5667331,0.23742236,1.0042393,34.479576,0.41879502,12.706889,1.0603948,-3.2296777,-5.449057,-9.478577,-1.5356269,-9.960909,20.099152,0.01190762,-0.007653229,0.036336005,1.9099591,2.6447787,0.16603449,0.16780467,0.19280702,0.27763256,-36.15155,1
21.2013,0.38133454,15.9877,18.68101,24.19353,8.205829,203.4949,273.7689,227.51483,175.29665,0.18909913,0.8694667,0.061386697,0.116448164,0.30954993,0.24816322,4.1290526,3.2674315,3.0941675,2.2521374,0.11766903,1.3685117,21.762354,0.7859022,10.747825,1.0218651,0.7734994,16.78377,-1.8224744,-6.526173,0.10516439,1.3824681,2.4272323,0.6207129,-2.9701018,-1.3050499,-9.615412,-3.152428,21.876879,1.6456556,600.0876,0.2724827,1356.7897,0.17226061,-118.01378,-0.84114766,1645.7133,0.1841959,1077.5464,0.31716415,-121.332344,-0.76562124,2749.3865,0.12610203,1003.98737,0.30999395,-125.42013,-0.70111215,-19.269787,-0.5669424,31.917511,0.37770063,0.066399656,0.48467186,-0.0320096,-0.58539945,0.24017976,0.76000243,35.22274,0.43903986,15.060834,0.8708789,-1.5193889,-10.964309,-6.024522,-1.9316605,-11.138683,20.77858,0.001616087,-0.008890457,0.030480588,3.366697,1.9213176,0.20142856,0.22450551,0.2768182,0.3711577,-39.026665,1
24.63281,0.41708547,16.861797,21.04164,33.07454,16.212742,386.67337,885.9491,240.12067,189.31665,0.33936143,0.9099314,0.06494776,0.25160015,0.558576,0.49362823,5.840873,3.9752183,4.0854707,2.683159,0.25072378,1.2329882,22.338734,0.8168902,10.578405,1.3872803,-2.632943,-5.930171,-9.331854,-1.5672141,0.108852245,1.1636764,2.420871,0.5676546,-2.6813405,-1.4103171,-5.046972,-4.05697,23.804287,1.1062146,595.1009,0.30785203,1295.5566,0.18494606,-88.685326,-1.1459272,1644.9984,0.17943287,1001.1073,0.31855842,-90.61983,-1.0250483,2737.2454,0.10900401,954.0789,0.4284102,-95.593,-0.92088795,-17.998383,-0.62002105,29.25088,0.4311468,0.075886846,0.37569028,-0.037393652,-0.4800665,0.3954731,0.8252299,30.720041,0.5850129,13.182076,1.2556108,-4.063517,-4.4717917,-13.307778,-1.1408666,-8.668517,18.604046,0.01936431,-0.013738931,0.051120564,3.1693077,2.8499582,0.19088235,0.2578459,0.15064515,0.28235117,-32.76175,-1
23.214186,0.39847746,17.44298,20.776836,24.644402,7.2014217,262.5259,210.70346,146.41116,107.56861,0.34148857,0.8346523,0.08790234,0.26157764,0.55138576,0.46348342,5.709369,3.7723122,4.410268,3.0607715,0.1862714,0.9969936,25.886248,0.69045085,6.723281,1.9889095,-3.5886211,-4.189179,0.72340363,17.365751,0.06734471,1.474025,1.7821798,0.73404676,-0.17147094,-25.239178,-0.9573947,-15.03446,27.683733,0.7027249,602.56964,0.30677524,1352.6628,0.192482,-74.741394,-1.3827552,1618.4207,0.16711038,1013.85443,0.32081258,-78.23349,-1.2373602,2686.329,0.1350651,973.2347,0.4001876,-84.70089,-1.0699557,-17.337423,-0.628522,28.944534,0.37702334,0.08095705,0.3854296,-0.033771425,-0.51180273,0.2803771,0.62122536,35.489296,0.42346945,9.505111,1.5154749,-4.4903464,-3.7791696,-2.7382708,-4.3367467,-6.096398,17.380053,0.012807102,-0.002375495,0.040104233,3.5411856,2.4767802,0.23781249,0.30107862,0.16464284,0.14529483,-34.342834,-1
