,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.01117568016052246,0.0005012989044189453,0.6,0.7968238778765094,0.001,,linear,"{'C': 0.001, 'kernel': 'linear'}",6,0.6,0.7636363636363637,0.4666666666666667,0.8909090909090909,0.5714285714285714,0.7857142857142857,0.7692307692307693,0.7368421052631579,0.6153846153846154,0.8070175438596491,0.005756679014190195,8.651284827692009e-05,0.09662001075493432,0.05249492417911028
1,0.08067474365234376,0.0003920078277587891,0.6714285714285714,0.9107541581225792,0.01,,linear,"{'C': 0.01, 'kernel': 'linear'}",5,0.8,0.8727272727272727,0.4666666666666667,0.9454545454545454,0.7142857142857143,0.9285714285714286,0.6923076923076923,0.8947368421052632,0.6923076923076923,0.9122807017543859,0.03640030271589365,7.380046762431239e-06,0.1142628182193149,0.02540275877916444
2,0.11872348785400391,0.00027828216552734376,0.7142857142857143,0.9857746639325586,0.1,,linear,"{'C': 0.1, 'kernel': 'linear'}",1,0.8,0.9818181818181818,0.7333333333333333,1.0,0.7857142857142857,0.9821428571428571,0.6923076923076923,0.9824561403508771,0.5384615384615384,0.9824561403508771,0.0584908657816384,2.03974862733878e-05,0.0922138891954147,0.0071165884387831
3,0.16403770446777344,0.0002720355987548828,0.6857142857142857,1.0,1,,linear,"{'C': 1, 'kernel': 'linear'}",2,0.8,1.0,0.7333333333333333,1.0,0.7857142857142857,1.0,0.5384615384615384,1.0,0.5384615384615384,1.0,0.08116297861023207,9.50210958253521e-06,0.11549271057391049,0.0
4,0.16470541954040527,0.0002687931060791016,0.6857142857142857,1.0,10,,linear,"{'C': 10, 'kernel': 'linear'}",2,0.8,1.0,0.7333333333333333,1.0,0.7857142857142857,1.0,0.5384615384615384,1.0,0.5384615384615384,1.0,0.08255131058168803,4.3063438052656695e-06,0.11549271057391049,0.0
5,0.16556038856506347,0.00027737617492675783,0.6857142857142857,1.0,100,,linear,"{'C': 100, 'kernel': 'linear'}",2,0.8,1.0,0.7333333333333333,1.0,0.7857142857142857,1.0,0.5384615384615384,1.0,0.5384615384615384,1.0,0.07971602048735865,6.000574576087712e-06,0.11549271057391049,0.0
6,0.0012585639953613282,0.00032563209533691405,0.5285714285714286,0.5285782638414217,0.001,0.0001,rbf,"{'C': 0.001, 'gamma': 0.0001, 'kernel': 'rbf'}",7,0.5333333333333333,0.5272727272727272,0.5333333333333333,0.5272727272727272,0.5,0.5357142857142857,0.5384615384615384,0.5263157894736842,0.5384615384615384,0.5263157894736842,3.318128849484655e-05,6.123970446336812e-06,0.014467705244052373,0.00359358428769186
7,0.0013743400573730468,0.00032343864440917967,0.5285714285714286,0.5285782638414217,0.001,0.001,rbf,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}",7,0.5333333333333333,0.5272727272727272,0.5333333333333333,0.5272727272727272,0.5,0.5357142857142857,0.5384615384615384,0.5263157894736842,0.5384615384615384,0.5263157894736842,5.0905487759960596e-05,5.300404827724554e-06,0.014467705244052373,0.00359358428769186
8,0.0012426376342773438,0.00031991004943847655,0.5285714285714286,0.5285782638414217,0.001,0.01,rbf,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",7,0.5333333333333333,0.5272727272727272,0.5333333333333333,0.5272727272727272,0.5,0.5357142857142857,0.5384615384615384,0.5263157894736842,0.5384615384615384,0.5263157894736842,2.2102315301564767e-05,7.274541169218704e-06,0.014467705244052373,0.00359358428769186
9,0.001246023178100586,0.0003124713897705078,0.5285714285714286,0.5285782638414217,0.001,0.1,rbf,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.5333333333333333,0.5272727272727272,0.5333333333333333,0.5272727272727272,0.5,0.5357142857142857,0.5384615384615384,0.5263157894736842,0.5384615384615384,0.5263157894736842,1.3941596490929311e-05,4.036532866490995e-06,0.014467705244052373,0.00359358428769186
