F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,activation
24.16131,0.280451,16.694214,25.96047,30.43573,13.741516,284.52554,450.42618,168.8406,80.02172,0.0966333,1.4833267,0.049188655,0.05530602,0.09961447,0.050425816,9.488594,19.705797,3.7767494,4.8684435,0.03722684,3.0506377,7.7586703,1.3730012,9.83561,0.74470216,3.5519896,2.6794868,2.0486858,3.9145768,0.08054321,1.2028066,2.4352787,0.620904,-0.9191558,-5.060276,0.09971436,262.87796,25.5337,1.1710639,577.7434,0.34101015,1383.8671,0.27176824,-175.09929,-0.3624264,1596.5778,0.1837013,1013.81934,0.25725442,-175.90656,-0.3395235,2724.721,0.11040623,867.1073,0.35242215,-177.07106,-0.32096833,-18.239008,-0.53814524,31.94597,0.30093786,0.037401974,0.9231599,-0.02241053,-0.827968,0.12193535,0.83443767,28.01715,0.43261266,18.183693,0.6766465,0.600284,30.892942,-2.2693,-5.980857,-7.9012384,18.148487,0.005914912,-0.001112002,0.02330982,0.9099181,1.0968922,0.111666664,0.09127188,0.6166667,0.8228298,-47.300587,1
22.56298,0.30516583,16.072441,22.169884,28.274117,12.201675,268.72186,282.22922,184.3709,186.91515,0.09785374,0.79029113,0.049490795,0.066912234,0.1335526,0.0840618,1.6768999,1.4482567,1.3627638,0.87344134,0.037958417,1.5299608,12.237615,0.99817336,14.66602,0.6873958,4.3542285,2.327785,1.5209868,6.3234944,0.11895109,1.4921132,2.544254,0.6658457,0.21527946,26.566687,-5.7482324,-6.725717,23.489162,1.7658406,639.16486,0.29571816,1271.6611,0.17520277,-149.72601,-0.5518104,1743.0044,0.16541775,1044.8096,0.3501532,-152.98027,-0.49622247,2838.4702,0.1121559,797.6476,0.4155039,-154.60933,-0.47279727,-22.076826,-0.40323693,34.318367,0.27823,0.03367319,0.827848,-0.026211318,-0.65669316,0.09777667,0.7681457,26.75345,0.3983284,23.909765,0.4619162,3.746816,3.7001305,-2.210687,-5.0481615,-9.389214,19.433954,0.004530175,-0.005593808,0.015468191,2.5854878,2.1775546,0.11423077,0.09511826,0.30814815,0.35287216,-48.174133,-1
26.40821,0.32224604,18.227676,26.286304,31.905144,13.677467,242.49069,286.3116,161.87396,170.59773,0.13633376,0.83023036,0.050837837,0.082450785,0.22194588,0.17110804,3.6750755,3.1776123,2.853406,2.4398603,0.06300185,1.8357615,12.720313,1.1048044,10.902881,0.90990776,3.994036,2.6276927,0.5522585,21.316086,0.0947724,1.168666,2.1700833,0.6171579,-0.17832078,-30.758596,-0.57808435,-45.417206,22.060997,1.3175491,582.9072,0.37294737,1304.888,0.20730524,-151.3956,-0.53766173,1588.3175,0.15896112,978.7292,0.31516734,-150.66858,-0.51673967,2665.9685,0.10347902,880.3999,0.45861474,-152.70757,-0.4866064,-16.313488,-0.61960155,28.445524,0.4761403,0.04596618,0.8236998,-0.022256112,-0.65680116,0.15510742,1.0894594,27.585548,0.50874263,13.174627,1.0775964,2.8645487,4.9186883,2.6076171,4.832743,-8.206105,17.151867,0.014056543,-0.005529614,0.02757982,3.2757053,2.285192,0.1088,0.077888116,0.28,0.540521,-44.03612,1
27.088278,0.29344898,18.107437,29.524984,35.248833,17.141396,197.26878,206.6446,227.74788,185.286,0.15450887,0.7285315,0.06032426,0.111811675,0.2539731,0.19364884,2.5506854,2.1786284,2.1617198,1.8821021,0.07018986,1.3618901,13.555155,1.1757884,13.459191,0.78495514,3.3252182,3.408113,1.3088623,7.557521,0.08616406,1.6032474,2.1827614,0.6964305,2.1319635,3.127275,-3.2449956,-9.801181,24.942991,1.4245999,609.4669,0.28619578,1297.1492,0.15626672,-142.71188,-0.5955784,1641.6976,0.1603703,977.48846,0.3099944,-143.17467,-0.55732703,2758.252,0.100931734,840.47784,0.4474733,-145.94814,-0.5194481,-21.134373,-0.4303212,32.932858,0.33539099,0.059810273,0.60721225,-0.025301011,-0.62444437,0.15390341,0.7309171,30.308996,0.42149717,19.492641,0.58938926,3.3068285,4.2360134,0.34731182,35.11643,-6.5917354,13.983133,0.015602212,-0.004872358,0.027139913,3.3361135,2.0117352,0.15541667,0.12871088,0.306,0.4655577,-43.047146,-1
23.97784,0.26814756,16.701828,24.57416,29.539043,12.837215,374.51855,456.8244,193.23796,191.09796,0.13614844,0.9880811,0.052005224,0.075577796,0.20546542,0.1534602,4.0643525,3.2176487,4.2032905,4.2563887,0.067751,1.9552737,11.588518,1.0875894,10.030577,1.0471436,0.3080598,34.17987,-2.5198345,-4.104372,0.08138051,1.2435056,2.4887161,0.59778816,-0.7844447,-6.484081,-4.3018975,-6.771754,22.216896,1.4209675,573.8102,0.33116874,1329.9508,0.15874785,-158.95816,-0.48550013,1568.4951,0.16376838,1014.7039,0.2808114,-160.26393,-0.45226353,2718.4873,0.08740542,802.2979,0.4757263,-162.34013,-0.4233189,-15.410069,-0.51898074,27.927032,0.34376046,0.051150117,0.59143144,-0.020309916,-0.65269536,0.19705649,0.909067,27.298046,0.45535466,16.302258,0.8877879,-1.070202,-13.582239,-4.302352,-2.7806067,-7.1248007,17.184742,0.015493157,-0.004456279,0.03130076,2.1838036,2.3787742,0.08038461,0.07567546,0.29285714,0.4871994,-44.092426,1
20.673246,0.27184752,15.533936,19.578848,24.513601,8.979666,228.6161,187.46523,146.06433,139.65306,0.12838873,1.058487,0.05017881,0.06548518,0.17682716,0.12664835,3.8486803,2.7107568,3.1995578,3.9903414,0.07709995,2.1298773,11.565989,1.2511526,12.82579,0.74455345,-1.4952737,-7.712795,1.0660301,8.545028,0.09702645,1.1897082,2.2988505,0.7154756,-1.8916868,-2.4291167,-16.610165,-2.5373013,13.171459,3.5654433,616.7305,0.3105315,1342.6589,0.12694222,-157.05437,-0.520953,1615.576,0.17189012,1065.4408,0.30711734,-158.93242,-0.48360693,2797.2754,0.10331792,908.03326,0.4040199,-161.5526,-0.44526184,-20.1281,-0.4797926,35.282513,0.30976325,0.060437586,0.6008427,-0.02609252,-0.61536795,0.28008366,0.88429326,33.05829,0.34322014,20.423914,0.57588273,-3.3986256,-4.285805,-2.4699714,-4.590028,-7.6882772,18.108643,0.009435982,-0.00422043,0.019081742,1.7705928,1.6228749,0.123809524,0.11294651,0.4070833,0.7069033,-41.778984,1
27.11333,0.28065196,20.10916,27.373795,32.656357,12.547197,232.64546,204.46654,153.75298,174.2508,0.19449103,0.85680497,0.07046588,0.13679408,0.2783964,0.20793052,3.7762752,2.7241092,3.3344598,3.41826,0.08467561,1.4898118,9.663288,1.7663128,14.694098,0.7350731,-1.5940795,-7.84514,-4.15042,-2.8114257,0.06375416,1.3439543,2.2564359,0.7729687,0.8300213,7.134482,0.5941872,37.077286,26.727558,1.0626239,588.16895,0.31935444,1325.9692,0.1953202,-146.03525,-0.57820237,1603.8212,0.19131699,1018.0559,0.33582583,-146.84825,-0.5390404,2771.5317,0.09691979,795.97296,0.47871822,-149.27997,-0.5029805,-17.823835,-0.5734887,30.021812,0.42270887,0.05484382,0.6066993,-0.025822982,-0.7058336,0.17801343,0.9476598,26.66833,0.56944597,19.180897,0.6202941,-0.8177792,-17.474909,-8.157455,-1.6541419,-4.626854,12.08318,0.02143499,-0.006695885,0.04332919,3.085905,2.512563,0.108666666,0.12357814,0.29185185,0.40467674,-42.483376,-1
24.930933,0.25002682,18.473978,25.823008,30.972004,12.498026,211.58205,90.44883,150.30055,96.85476,0.14889887,0.7425542,0.06174942,0.12050294,0.21113837,0.14938894,3.7905788,3.669624,3.288279,3.328048,0.07380302,1.4230964,11.15041,1.3373293,11.484238,1.2360588,1.7128981,7.3963904,-0.5818498,-18.398792,0.09513689,1.4849406,2.4915142,0.70744574,-0.33032995,-15.7176,-2.2184298,-14.883341,24.510525,1.4520185,581.4247,0.33381495,1352.4703,0.19274527,-148.33961,-0.5498147,1621.4999,0.15719572,1004.5691,0.267063,-149.48653,-0.51209754,2743.1523,0.10407541,892.40137,0.5211956,-151.825,-0.4808182,-18.727901,-0.51398146,30.366669,0.3568632,0.046879373,0.6905987,-0.021017592,-0.6830165,0.14087486,0.76113296,26.913591,0.45430595,18.87439,0.81450784,3.4651675,4.671291,0.47266212,23.268042,-4.456793,12.816478,0.015082562,-0.004263414,0.044976797,3.5486808,2.5664527,0.105,0.06400335,0.22812499,0.3418556,-45.205116,-1
25.215452,0.41325185,15.707744,23.19635,33.469624,17.761879,390.01883,161.89964,385.96317,222.00392,0.11269339,1.1216023,0.052951925,0.064399414,0.14419904,0.09124712,4.7759943,4.988346,3.2919266,2.5546973,0.040463388,2.926396,5.7586203,1.5818021,8.655506,1.1101048,3.1810884,3.1435776,2.2453136,3.2379022,0.1655697,0.9407546,2.8250792,0.57951236,-3.376818,-1.6657493,-9.258152,-4.656472,6.539476,6.5662665,625.9224,0.3110269,1245.8217,0.16270606,-186.25441,-0.25879356,1704.6896,0.13967247,944.9438,0.37333786,-184.84198,-0.26332557,2768.6375,0.100000896,873.70856,0.25428107,-185.39749,-0.2524324,-13.194295,-0.81887114,25.63633,0.35692415,0.03030702,0.7507373,-0.011298111,-1.7664797,0.14319208,1.0424281,21.69482,0.4978543,11.355378,1.2741034,3.976948,4.6439476,3.021883,3.4508395,-6.5493803,15.555447,0.01303956,-0.001422237,0.029880857,1.308699,1.1591964,0.068,0.06715157,0.6811764,0.96372986,-47.525234,1
23.834414,0.28777266,16.774885,23.72438,29.714151,12.939266,264.7885,224.01057,323.70618,387.63647,0.173256,0.9424903,0.06647436,0.10880458,0.26936018,0.20288582,3.6627667,3.2792277,3.4133823,2.599787,0.09281815,1.9088552,11.16846,1.3265321,15.843883,0.7755772,0.61003697,23.209478,2.2346103,5.051261,0.13107586,1.2722563,1.9599379,0.6666665,0.25584334,21.51859,-5.238881,-7.1284566,23.301868,1.7847768,601.8953,0.33397627,1260.2543,0.17572932,-147.594,-0.5629415,1676.3954,0.17883858,983.32947,0.3730375,-149.72472,-0.51328856,2754.3252,0.106405266,868.328,0.4369333,-151.75194,-0.48542523,-20.062983,-0.5090974,32.038177,0.3791181,0.04958632,0.8056626,-0.025305727,-0.6687514,0.20976715,1.0608513,25.953472,0.5592282,23.045757,0.5898741,4.751479,3.3751595,-0.2840517,-45.08669,-7.057424,16.154083,0.015030428,-0.005860713,0.042399548,2.1684737,2.512563,0.10699999,0.10257193,0.2751724,0.38773987,-40.64262,-1
