id,file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,SentimentScore,slideScofre,POMSScore,activation,reward,slideUPDOWN
19,./voice\tamafi\condition3\c13.wav,0 days,0 days 00:00:13,26.595568,0.40960556,16.582287,27.548576,32.76859,16.186302,413.46912,249.99393,187.1236,155.65755,0.25891227,1.0567691,0.06630303,0.11617314,0.47503,0.408727,7.6767883,6.295489,4.729525,4.027795,0.18885718,1.7088327,15.829828,0.9899395,6.770482,2.006063,3.9838874,4.4474707,2.1492405,5.2749047,0.09119805,1.4789716,1.7383195,0.93326724,1.9319223,3.249312,1.1051692,16.72836,22.298813,1.0238523,619.6014,0.36489525,1239.2891,0.25619972,-147.87852,-0.5408513,1707.8625,0.1862417,939.6135,0.4520658,-147.84152,-0.5166946,2760.3154,0.10452222,918.2335,0.62282413,-148.31476,-0.5062187,-18.896904,-0.72678304,29.090687,0.4908911,0.018619908,1.9094261,-0.02105554,-0.8079061,0.4978607,0.80795914,28.14997,0.55557585,14.650998,1.0594294,20.95433,0.81801546,2.4383535,6.125672,-5.4289765,15.016138,-0.007391381,-0.00268049,0.04998754,2.2324865,2.0186336,0.14615385,0.11632437,0.3261538,0.46406296,-31.31863,-0.300000012,10,0,1,0,0
19,./voice\tamafi\condition2\c05.wav,0 days,0 days 00:00:11,28.142315,0.33131313,17.918512,30.908287,35.19934,17.280828,675.8276,1164.8859,190.20792,298.06934,0.27635276,1.1087462,0.053061575,0.14506964,0.48624325,0.43318167,6.6604095,6.0533643,6.054861,7.5782814,0.2015249,1.497876,14.24509,1.4866838,21.448586,0.64748454,6.4583654,2.8564088,4.644586,2.8811977,0.062318534,1.5235559,1.6000448,0.91285956,4.108642,1.6409277,8.004776,2.703889,33.357758,0.64569664,674.8365,0.37876114,1250.0957,0.22550216,-134.38008,-0.61279875,1800.6451,0.16062291,986.1279,0.33176872,-135.54324,-0.5711866,2914.342,0.1020989,900.1782,0.38640264,-138.08487,-0.5378092,-24.669264,-0.6469293,37.654343,0.4748738,0.004656764,7.5971556,-0.018523984,-0.89688426,0.43703544,0.74035096,30.769087,0.64192873,24.518873,0.58459496,18.430285,0.9784385,12.335817,1.1369344,-6.8441014,13.766953,0.01619497,-0.008921035,0.0438124,1.9108281,2.010969,0.19181818,0.19892062,0.36411765,0.48214054,-29.457052,0.100000001,4,0,0,1,-1
19,./voice\tamafi\condition1\c03.wav,0 days,0 days 00:00:11,33.37042,0.21685684,26.953743,34.94263,36.821323,9.86758,474.19794,527.96454,154.9554,170.66159,0.2081404,1.0780725,0.055975616,0.09208266,0.3975075,0.34153187,5.792609,3.7727613,5.3865857,3.9935894,0.15739512,1.7141836,19.16455,0.60784703,3.7350428,3.2295616,0.9874104,13.811439,2.1339943,5.5412602,0.051672824,1.5097331,1.759163,0.73935986,6.1635885,0.9823145,7.8921065,1.5674404,23.439482,0.56586885,659.5136,0.35992998,1282.2584,0.2022952,-147.11241,-0.5317782,1671.0306,0.15093108,1084.441,0.37492988,-141.0692,-0.5437331,2776.1409,0.09741598,897.6557,0.39542407,-144.08357,-0.50504637,-20.207493,-0.63864,33.445396,0.4212769,0.035148058,1.2561677,-0.013257805,-1.1478994,0.3735448,0.9195206,28.969995,0.43013465,10.66606,1.3181216,10.462101,1.4615736,3.985542,3.9014926,-7.1927505,19.451086,-0.007745279,-0.001120814,0.038632616,2.8207462,2.5641026,0.12535714,0.117275074,0.25037035,0.26682606,-30.8583,-0.100000001,8,1,0,0,1
19,./voice\tamafi\condition2\c16_03.wav,0 days,0 days 00:00:12,28.279049,0.2945132,18.61265,30.931063,33.064915,14.452265,889.52997,1225.0171,131.63307,89.91138,0.16794367,1.3708711,0.04133133,0.046214875,0.32960272,0.2882714,7.3405514,8.174602,4.4758515,3.8153777,0.15197301,1.8108339,13.992379,1.1745636,14.054371,0.90608835,15.341434,0.80734783,8.7732525,1.1813656,0.07184544,2.0440154,1.8075901,0.85948366,4.296169,1.6292266,4.012903,4.7607746,28.507841,0.6722039,594.564,0.3999672,1335.319,0.16061091,-152.16098,-0.4849619,1716.8087,0.17381015,1051.011,0.32657388,-151.77979,-0.45996514,2817.3628,0.10769143,999.6674,0.32452193,-153.1128,-0.4423681,-27.405125,-0.55315125,39.864044,0.41833168,-0.018002937,-2.1361525,-0.015320496,-1.0996082,0.37843555,0.8436372,30.158773,0.563435,23.14397,0.598501,25.221104,0.52072823,14.298051,0.935756,-10.950767,21.55041,-0.01733489,-0.000302067,0.04772532,1.3344454,2.3450587,0.12571429,0.13542074,0.28925925,0.3640607,-30.895563,0.699999988,2,0,0,1,-1
19,./voice\tamafi\condition4\c00_00.wav,0 days,0 days 00:00:11,32.00845,0.30142298,22.615944,33.142708,36.566902,13.950958,802.4482,1209.8971,176.97467,158.24097,0.18030056,1.173689,0.06312596,0.09888304,0.23322168,0.17009571,8.346588,11.605875,3.0892363,2.1761346,0.10006964,2.3768613,19.187061,0.4576428,0.7414094,15.116181,3.2346663,3.63017,6.2311983,1.9061003,0.03716861,1.0081354,1.7696044,0.68051714,4.2780724,1.5023334,5.5854087,2.0554395,21.106115,0.5579066,661.6796,0.3644436,1300.7644,0.20568985,-164.20192,-0.4270276,1610.8494,0.15696077,1045.5798,0.25765166,-160.59589,-0.4434893,2768.7788,0.118381046,885.18134,0.47075665,-161.02235,-0.4265877,-15.825594,-0.7770123,29.23748,0.40762115,0.015020471,2.6776779,-0.011986274,-1.2183558,0.32770872,1.0908808,28.755817,0.38490063,4.5591164,3.394746,13.217374,1.1819354,7.348318,2.3900201,-6.87965,17.313425,-0.0052078,-0.006975087,0.029984133,1.3648772,1.463861,0.1525,0.16265377,0.509375,0.87286496,-34.744373,-0.699999988,4,1,1,1,1
19,./voice\tamafi\condition2\c16_01.wav,0 days,0 days 00:00:12,25.898254,0.3043625,16.806246,28.476816,32.79141,15.985163,521.46814,699.0252,280.20087,462.97025,0.257368,1.3709434,0.04201347,0.054872904,0.4978639,0.45585042,9.709692,6.724224,7.9450264,5.414509,0.2525376,1.6317953,17.188993,0.97587025,13.580775,0.94383806,15.743995,0.9221921,10.218472,1.1369884,0.077418916,1.4501582,2.055389,0.8507098,3.5614452,1.8388069,6.400768,3.3160155,32.347153,0.53994304,599.706,0.35021237,1288.7163,0.1832346,-130.56837,-0.6485411,1712.8356,0.14374451,988.78467,0.36814147,-133.72005,-0.5904757,2775.9736,0.10165708,898.46344,0.44772902,-136.1022,-0.558342,-25.698631,-0.4714848,38.235497,0.33371913,0.00271075,15.014555,-0.017084828,-0.89639384,0.5834158,0.8048338,33.752754,0.35282263,21.503555,0.6018188,24.133595,0.7097387,14.67934,0.92510396,-10.297062,20.903658,-0.016089361,3.31E-05,0.026644781,2.3352795,1.6792611,0.2345,0.21089037,0.42499998,0.5649668,-27.943863,-0.800000012,2,0,0,1,-1
19,./voice\tamafi\condition4\c09.wav,0 days,0 days 00:00:10,30.166008,0.23156446,27.340206,31.76981,34.6979,7.3576927,654.1005,694.4866,149.64006,116.79769,0.37655866,0.8835549,0.072702385,0.2652811,0.676177,0.6034746,6.892636,4.7347703,4.9226394,3.1637404,0.30701947,1.4281983,19.953545,0.8543622,16.932182,0.8203243,9.143041,1.9301666,2.8550818,4.470042,0.06712231,2.1555004,1.4881319,0.9888633,6.968631,0.86667395,4.8537908,4.1540856,24.04253,0.839828,652.15015,0.33732772,1301.6594,0.18348803,-117.60875,-0.7261883,1787.1512,0.16700178,917.7227,0.4259291,-120.257454,-0.6534698,2861.6846,0.110645965,887.5673,0.4459765,-121.384735,-0.63756025,-25.583092,-0.43721268,35.06916,0.39112782,0.016291453,2.1263623,-0.0235596,-0.6529936,0.57187754,0.8728156,31.012259,0.41132978,22.684347,0.5162007,20.752504,0.7457693,5.702699,2.5614815,-6.9685082,14.982282,-0.003183321,-0.009028783,0.04270685,3.1031032,1.711984,0.28411764,0.18986246,0.31866667,0.42107585,-24.678982,0.899999976,6,1,1,1,1
19,./voice\tamafi\condition2\c00.wav,0 days,0 days 00:00:11,27.999697,0.43731996,16.889238,23.507595,36.5132,19.62396,959.3426,1429.0883,240.89868,139.59818,0.08723537,1.0794528,0.04196263,0.046369985,0.09671413,0.0547515,2.905866,3.1243048,1.218742,0.98754406,0.041466456,2.4138627,10.854063,1.0384763,8.004319,1.1241082,6.6552052,1.670042,4.718631,2.485812,0.1016535,1.3289557,2.3342881,0.4894448,-1.3237858,-4.2352705,0.22631691,140.19252,15.254549,1.9144479,636.50006,0.38437694,1272.644,0.26624516,-178.01553,-0.32070425,1618.4581,0.17449482,1038.111,0.3122038,-176.1217,-0.3251729,2687.5068,0.120626666,938.1513,0.40820485,-176.92432,-0.31137136,-12.67995,-1.0110068,26.859133,0.5598044,0.007738106,4.0970163,-0.014121585,-1.3442512,0.18590419,1.0074148,24.675222,0.71462595,7.844368,1.8119186,8.14052,2.4700925,7.948675,2.8141856,-10.251767,20.875242,-0.008425335,-0.001918872,0.016012218,1.6378527,1.5539306,0.08058824,0.076502256,0.4545,0.72201437,-44.50645,-0.5,10,0,0,1,1
19,./voice\tamafi\condition3\c19.wav,0 days,0 days 00:00:13,32.49049,0.3049597,27.535614,32.433456,35.019688,7.4840736,479.73807,629.802,198.07092,166.12589,0.29406777,1.0664358,0.06948513,0.1578355,0.48685768,0.41737255,5.1198945,3.6088219,5.2824883,3.938685,0.20117293,1.5430083,22.056442,0.6460395,2.7078264,5.897414,2.5704083,6.0915084,7.3358502,1.6075001,0.053976983,1.7340288,1.5665314,0.80853873,5.6011806,1.0430387,5.711967,2.263013,23.631653,0.6504362,625.17334,0.3938874,1314.6831,0.23952062,-128.35155,-0.665247,1621.1556,0.15354383,1001.9013,0.33028632,-124.93317,-0.66125166,2770.589,0.104764976,885.5801,0.3892328,-127.34305,-0.6232378,-18.360275,-0.83361953,32.520145,0.49887702,0.012963305,2.3980536,-0.013990835,-1.0955839,0.40033984,0.88954824,29.916952,0.5421556,10.616257,1.6936305,13.522048,1.0905778,12.171624,1.053258,-5.728834,17.656986,-0.009245437,-0.004732428,0.041207124,2.0015397,2.0108275,0.21346153,0.19802763,0.26153848,0.32210475,-29.157375,0.400000006,8,0,1,0,-1
19,./voice\tamafi\condition1\c07_00.wav,0 days,0 days 00:00:12,29.406548,0.34198478,18.522587,30.244505,34.24097,15.718384,437.35367,500.1116,190.7493,233.55917,0.3719633,0.84021217,0.08931139,0.2380404,0.6779721,0.5886607,7.5186567,5.169296,4.966504,3.5660052,0.29521605,1.3297404,22.004292,0.7420557,7.066739,2.1912656,7.6666393,2.095433,8.682039,1.5800942,0.05928716,1.7061857,1.5412954,0.7979555,4.173262,1.5354347,4.040383,3.6383746,24.178644,0.6119547,611.0415,0.36213422,1286.0618,0.21392028,-111.28854,-0.78335613,1670.5928,0.16593805,1008.1194,0.4050657,-109.86917,-0.7441361,2707.8118,0.10858829,864.91797,0.3966336,-112.93462,-0.693377,-19.549616,-0.62711877,31.719542,0.39085534,0.023877334,1.5835004,-0.018471282,-0.92901194,0.4815366,0.89823455,30.5183,0.45538864,13.767696,1.1024611,14.636523,1.1653247,10.434672,1.5061328,-4.7236753,16.00729,-0.004063959,-0.000890656,0.0894037,3.3361135,3.1014252,0.15945946,0.17315742,0.14657143,0.18826945,-28.026623,0.400000006,2,1,0,0,-1
