F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,activation
33.48263,0.24293083,30.492306,34.44718,37.72354,7.2312355,267.43024,236.65298,127.29118,99.015,0.28270647,1.3993411,0.05680646,0.06618657,0.5687311,0.5119247,9.023008,5.9570365,6.9263363,4.9344597,0.1902265,1.9875122,9.924801,1.2045168,11.770793,0.72099507,3.3292327,3.3172903,1.8831288,4.219572,0.046418797,1.4624633,1.5894908,0.789493,5.6837606,1.1027771,5.2515955,3.7733445,16.035822,1.349422,734.96313,0.30628228,1169.9603,0.20400886,-161.114,-0.45180362,1726.3988,0.14323446,889.1644,0.45434657,-160.02779,-0.43507096,2851.5688,0.09366479,633.1273,0.49606448,-160.5592,-0.42657048,-17.40498,-0.6096326,28.008907,0.4979284,0.035295136,0.9597412,-0.024022259,-0.6038129,0.67031074,0.73096,23.244488,0.6245974,15.741317,0.7674335,5.1626015,3.125541,-0.50482637,-23.23574,-7.6151605,16.376179,-0.003852363,-0.005639652,0.032043174,1.9108281,1.463861,0.160625,0.14350386,0.6666666,1.0392573,-29.490417,-1
28.648823,0.30157414,19.501646,30.139996,34.673607,15.171961,528.2413,599.79346,150.47481,103.65152,0.37243226,1.3411851,0.062141255,0.08305248,0.7932495,0.73110825,15.276739,8.753526,14.746445,11.885895,0.29637027,2.106001,8.084787,1.3603419,9.644231,1.1315666,5.669647,1.9546834,3.9581945,2.2869165,0.05408338,1.7729474,1.5491743,0.89635664,2.5060909,2.852216,6.4861393,4.592079,18.237993,1.1244413,711.6926,0.3443055,1184.7661,0.2820065,-168.64996,-0.39865926,1776.7722,0.15214574,852.5177,0.43043664,-166.74442,-0.3959782,2839.8955,0.11042398,786.0031,0.39212587,-166.89627,-0.3928015,-15.739974,-0.7870959,23.55929,0.5742982,0.029328262,1.1334212,-0.02023352,-0.7178491,1.0555768,0.9395276,19.200119,0.7966886,17.740635,0.8587025,10.093034,1.569734,6.8171973,1.6539327,-5.777204,13.304037,0.001435981,-0.006317917,0.10241605,1.8198363,1.6513762,0.111111104,0.10093391,0.56733334,0.9971791,-27.373661,1
33.787193,0.22929999,31.242117,34.293972,36.906128,5.664011,374.93362,352.72818,412.86145,638.8556,0.28009534,1.2718145,0.05436375,0.09254354,0.51063764,0.45627388,6.7062016,6.218948,5.5737967,5.637142,0.16860211,1.8603419,13.375766,0.87839633,8.646418,1.414976,1.358586,8.455724,2.7647374,3.955008,0.042621665,1.616595,1.2738088,0.9914019,5.969775,1.1798458,2.0942097,7.235119,16.92849,1.0364234,647.701,0.3750485,1298.0873,0.19933009,-152.70398,-0.5021715,1670.636,0.17920738,1074.9985,0.36721247,-145.5707,-0.5230502,2791.1987,0.11390199,890.421,0.64219743,-146.95653,-0.5015508,-19.096392,-0.6657352,31.204601,0.4631889,0.025244823,1.0124102,-0.01640859,-0.80622804,0.42875484,0.91569436,25.239473,0.46642685,13.114005,1.1108679,2.9916663,5.2363787,3.9592497,3.9687855,-7.497049,16.499681,-0.004510189,-0.006257428,0.033172175,1.5012511,1.7632242,0.17428571,0.23206261,0.4036842,0.8436962,-29.498602,-1
32.47817,0.20069467,30.509449,32.685123,36.604362,6.0949135,126.63529,83.78989,93.51484,70.14408,0.32054213,1.3999624,0.05871365,0.07520166,0.6514143,0.5927006,10.429471,7.5583024,7.0668864,3.8670766,0.25346193,2.070348,13.752309,0.8378625,9.603932,1.1297939,0.019804256,630.6275,2.2085109,5.0484853,0.04964442,1.7386631,1.4980116,0.8888241,5.831017,1.0841929,2.3411078,9.101856,21.780294,1.0350356,662.7156,0.3463135,1244.7483,0.23788662,-158.43126,-0.48086667,1701.2144,0.16977088,904.608,0.32521066,-156.72516,-0.4694581,2824.553,0.098713264,845.5396,0.48492044,-159.06898,-0.43766895,-19.853867,-0.5206137,32.281918,0.3571164,0.039635982,0.840065,-0.023272812,-0.7028363,0.8582055,0.84206796,28.070538,0.4273221,17.189627,0.872326,0.11371738,168.6788,3.3318398,4.416932,-7.3434424,17.29339,-0.001722792,-0.004735257,0.04700348,1.6378527,1.2820513,0.18928571,0.18444759,0.5692857,0.8969907,-27.19186,1
32.511677,0.21431968,28.37463,32.20964,36.56144,8.18681,613.60486,845.99603,188.24452,224.47221,0.27137586,1.3515676,0.0604455,0.07389938,0.53084975,0.47040427,9.042105,7.4559994,7.9623857,5.8463693,0.19960886,2.0038023,13.715123,0.9335241,11.708788,0.7328434,3.668527,3.1850145,-0.725609,-14.32291,0.04898119,1.5307734,1.686898,0.9337324,5.5141068,1.0857717,3.7128987,3.4571354,22.481033,0.6437305,716.41626,0.31836915,1250.4036,0.20879889,-160.4188,-0.46371013,1727.1006,0.15561812,1041.4506,0.35461473,-156.10654,-0.4680324,2860.097,0.09651978,709.9563,0.5619352,-157.32724,-0.45043418,-19.84764,-0.6393517,31.197182,0.41907498,0.037208557,0.8400007,-0.023180544,-0.81953937,0.6752235,0.7609323,29.044308,0.5204588,15.721994,0.82436925,5.7995615,3.2671895,-5.052201,-3.086432,-8.789244,17.284458,0.002606591,-0.007365839,0.032321587,1.7288444,1.1882999,0.21384615,0.16932164,0.65749997,1.1695307,-29.066559,-1
32.254124,0.30213907,25.98971,31.494057,37.963745,11.974035,284.7241,343.4576,266.9136,198.48473,0.37271133,1.119269,0.06300157,0.13648857,0.68214834,0.61914676,7.146829,5.35204,5.6782436,4.2380652,0.2787092,1.5891432,15.600709,1.0824561,10.862515,1.2052528,3.5321314,3.087348,1.2126845,8.814909,0.06438834,1.8704506,1.1932311,0.80471694,5.612142,1.1707765,1.6033617,14.072527,21.556967,1.2040154,700.98865,0.304482,1247.2452,0.24140352,-136.03786,-0.62432855,1760.1909,0.16857833,1005.6065,0.33572283,-131.9688,-0.61895627,2878.2551,0.110684045,815.6854,0.44826704,-134.1153,-0.5884971,-20.785181,-0.6823087,31.871344,0.5135948,0.040220123,0.86668736,-0.022756904,-0.76154965,0.6355157,0.7885917,28.772345,0.63283217,17.011354,0.904015,6.5784893,2.1386433,-1.3089606,-10.508269,-6.2391458,14.669862,0.001653821,-0.005293354,0.031207595,1.7288444,1.2797076,0.31214285,0.2539735,0.56363636,0.78636414,-27.950909,-1
31.06255,0.23470806,25.119492,32.27991,34.702812,9.583321,174.08934,82.682014,165.16495,135.86763,0.17647482,1.4430069,0.05428631,0.065713726,0.21671203,0.16242573,6.993229,5.2318387,5.3527207,4.2777233,0.10855938,2.6111276,8.758461,1.3304756,12.34926,0.73829806,5.038858,1.894703,3.9095247,2.3441658,0.072054684,1.4973551,1.3525686,0.7209663,6.190549,0.8798381,9.856418,0.8481787,26.890062,0.4573523,583.56366,0.40326715,1303.4479,0.18736817,-172.73154,-0.3805849,1584.7156,0.1426871,957.9607,0.44755873,-170.704,-0.3799507,2790.7207,0.087156385,727.76355,0.56497324,-172.45065,-0.3539593,-21.621277,-0.5760572,34.97704,0.3711588,0.022498889,1.2476194,-0.019081432,-0.7284922,0.5487374,0.8400271,26.711618,0.50278676,21.156754,0.6139681,11.47715,1.3628507,12.00367,1.1947491,-7.4417214,16.112047,-0.006266777,-0.005282511,0.015075284,1.0009099,0.5484461,0.31166667,0.23341072,1.2771429,1.9323391,-32.26484,1
29.93248,0.21886002,24.436663,30.497099,35.498554,11.061892,352.76102,395.30316,228.74335,358.0067,0.25298256,1.3877398,0.054054864,0.06254885,0.5212061,0.46715122,10.025048,8.84732,8.679305,6.1888323,0.1904703,2.0934973,12.285398,0.9805892,11.930066,0.7962809,4.2731953,2.3250604,-0.25732994,-35.900715,0.059783664,1.530281,1.7710042,0.8631604,4.9878006,1.2342068,2.1894622,9.583752,20.220268,1.1756005,655.5016,0.34397075,1253.1752,0.17062503,-158.31616,-0.48740977,1716.3944,0.17508379,1138.3765,0.42150864,-158.11542,-0.4616166,2818.2043,0.09357104,703.645,0.55919373,-158.67929,-0.4533345,-21.804382,-0.49457064,31.501562,0.3640642,0.028533362,0.9579035,-0.02498255,-0.6975259,0.6516998,0.83323467,28.835234,0.41384697,18.604656,0.7545621,7.773809,2.1543195,-2.4391606,-6.037249,-8.459147,17.365711,-0.003206066,-0.00630408,0.035256453,1.5846539,0.75440073,0.32555556,0.29777363,1.10375,1.3393835,-29.55645,-1
30.680803,0.13564657,29.782223,30.72941,32.97336,3.1911354,275.282,169.25438,39.518963,92.76426,0.276412,1.1244155,0.058257207,0.095152,0.6532912,0.595034,5.629749,4.550802,3.6902094,2.3860812,0.14997472,2.1188676,15.572083,1.1243961,16.706472,0.65303856,5.4722085,2.0166066,2.3804827,3.6042914,0.03967665,2.7757947,0.94440955,1.3011991,7.936759,0.67985934,10.176443,0.68345225,35.3087,0.38082874,622.4051,0.33259872,1413.6447,0.15531445,-150.33765,-0.53766453,1607.82,0.18877137,1134.0134,0.3231774,-151.75514,-0.49288863,2777.4333,0.09980405,905.2695,0.50082254,-154.52853,-0.45668325,-25.915272,-0.34861672,38.71025,0.28329664,0.04073646,0.57034725,-0.027913354,-0.52170926,0.4416735,1.031522,38.906548,0.31308705,23.148933,0.4892591,11.302121,1.164903,-2.024767,-4.677749,-7.8340063,15.396975,-0.008684813,-0.006779066,0.027667692,1.6378527,0.7319305,0.39499998,0.30602285,0.94624996,0.8778801,-28.359062,-1
34.31436,0.1717046,32.118496,33.298744,36.717304,4.5988083,95.11452,128.29793,233.37213,231.06898,0.25421476,1.2760432,0.057823252,0.07833594,0.5350091,0.47718585,8.583482,6.277597,6.9694343,5.1746855,0.18287838,2.2253244,13.362859,1.0179772,16.690166,0.5504987,2.5773864,4.7843075,2.2757347,4.491985,0.03120577,1.5813074,0.9627541,0.9646424,8.015847,0.78861266,5.5460405,4.8979053,22.705416,1.3168403,738.71,0.2744324,1218.7894,0.21701905,-157.13759,-0.4688644,1802.38,0.1396461,988.93726,0.40861595,-157.73584,-0.43726608,2904.7915,0.10500571,858.14923,0.41752273,-159.50632,-0.41265315,-25.449986,-0.49566892,37.048107,0.392333,0.024487618,1.3297484,-0.021830594,-0.5173522,0.57170606,1.0511214,29.624252,0.42622685,21.01058,0.5335028,8.593403,1.9311907,7.6583667,1.9220654,-9.191028,16.994528,0.006940662,-0.008391469,0.03452495,1.2738854,1.4625229,0.1725,0.23327827,0.5557143,0.8105352,-27.033642,-1
