F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,activation
33.181087,0.31421027,23.817719,33.876408,40.383198,16.56548,750.71564,715.0825,381.6682,579.1385,0.46099254,1.0314982,0.17039497,0.20639859,0.71546483,0.5450699,10.204684,7.1493554,10.035053,9.061203,0.3405383,1.7564274,12.812569,1.1011891,6.2927284,1.5431539,12.018939,1.0303682,-12.676648,-1.0083407,0.054530073,1.5051316,1.4421747,0.5835512,4.6715174,1.2879891,7.1627197,1.3679694,20.12287,0.71979433,707.18994,0.35579082,1168.631,0.30253273,-136.58652,-0.6053806,1737.1973,0.19676615,1034.1049,0.45447516,-132.61984,-0.6048934,2849.0862,0.11339939,739.0247,0.6189321,-133.05107,-0.58933276,-12.397909,-1.0195297,19.987108,0.73858,0.029284943,1.6035515,-0.0178214,-0.8351018,0.72837514,1.0458908,21.043777,0.8186775,12.151877,0.8919664,12.591981,1.2886008,-11.21261,-1.4578794,-1.4860994,5.345081,-0.002774992,-0.006638304,0.081650876,2.078522,2.3183928,0.16166666,0.17076461,0.2537931,0.2983219,-27.228212,0
30.555096,0.1890921,26.926764,30.111237,32.322723,5.39596,640.9472,634.1185,105.24155,96.79552,0.36133736,1.2611698,0.037749216,0.07202085,0.7963622,0.758613,9.712908,6.477628,6.527071,5.300914,0.24611238,1.4565947,17.86962,1.1857853,12.410477,1.0947738,3.843188,3.831044,1.8080156,8.362976,0.033063244,2.1049056,1.506799,0.9915352,5.865291,0.96819687,5.1704745,1.9760473,36.06946,0.52770764,581.26483,0.29445595,1332.734,0.21768606,-125.27232,-0.7248732,1559.6971,0.15951568,1055.921,0.28104362,-126.09943,-0.6732737,2761.713,0.09023307,909.3503,0.39374486,-131.61913,-0.59398514,-20.029314,-0.68495363,36.55052,0.35434645,0.05420062,0.81100607,-0.020661611,-1.1762799,0.5372249,0.6879531,37.216846,0.47601175,16.372355,1.067345,4.286023,4.5986385,-2.0575175,-9.630094,-9.726181,22.074747,-0.007658935,-0.001325771,0.030516947,2.365787,1.3711152,0.304,0.4128244,0.404,0.461834,-27.092972,0
28.405369,0.2085043,21.435795,29.75873,32.07292,10.637127,374.4496,469.64453,207.63599,237.71902,0.19899365,1.7783613,0.054583237,0.062363137,0.0979418,0.043358564,9.786713,10.545635,6.7914214,3.9357357,0.12509316,2.6536403,21.055578,0.3735411,11.683281,0.82861084,10.586786,1.3180203,2.5317852,3.8411152,0.04237322,1.2905091,1.7200788,0.7428251,4.422838,1.2216773,7.851007,1.472616,21.439169,0.5488089,585.14545,0.4105616,1262.2161,0.30144855,-169.20117,-0.39181057,1654.6788,0.16537167,884.35614,0.45428294,-169.03137,-0.37558642,2737.9536,0.1028938,750.3392,0.5008712,-169.36667,-0.3705375,-16.831274,-0.7209992,27.013748,0.40667656,0.018627696,1.6367285,-0.012843306,-1.1728017,0.5683411,1.021057,29.190258,0.39376774,5.572477,2.9082382,27.392832,0.7911591,4.5452285,3.3978188,-14.817246,24.111965,-0.000402325,-0.013588812,0.025307635,0.76982296,1.469451,0.111052625,0.12485337,0.49142855,0.70440304,-28.430403,1
31.247822,0.317024,20.588722,34.10608,37.64302,17.054298,334.78445,323.6357,747.8517,1405.3408,0.17010471,1.5012546,0.04105688,0.048560977,0.29539764,0.25434077,5.927363,5.952046,5.5521474,5.2706504,0.16386506,2.4479089,14.319913,1.0530758,12.044737,1.0834068,14.079368,0.8557288,10.968277,1.1011851,0.053966656,1.8637172,1.7936434,0.88710624,5.2105827,1.4337858,7.4065557,3.0838332,25.375292,1.0095427,634.383,0.41437185,1261.8768,0.2553449,-157.31729,-0.45187563,1703.3372,0.14071047,1088.9662,0.28932804,-153.1324,-0.46110624,2806.8845,0.09403829,967.3763,0.32385466,-154.88458,-0.43771982,-25.334509,-0.6510558,38.99038,0.439064,-0.004120478,-8.167982,-0.01004147,-1.5630751,0.4234395,1.1579425,29.655464,0.51419705,20.692327,0.7810611,20.90742,0.76105076,15.361428,0.92678815,-10.4549,21.45049,-0.021596255,0.000872693,0.05476537,1.0009099,1.736746,0.16,0.18803695,0.40944442,0.5011705,-30.686226,1
33.11018,0.185065,31.504284,34.86142,37.460373,5.956089,220.9865,181.14215,73.0279,69.305824,0.41331965,0.9053876,0.058133002,0.3070382,0.7099886,0.6518556,7.78163,5.6658883,5.027274,4.8308854,0.26052597,1.2957152,30.814672,0.49687868,9.413989,1.0412989,0.5758514,22.037737,5.3851275,2.1371856,0.032900717,2.1400514,1.1296074,0.88921314,8.947842,0.58736384,0.5130435,22.646643,29.004679,0.4325766,727.75055,0.26682398,1340.9785,0.18583615,-89.61497,-0.97834325,1699.7305,0.16316333,1058.937,0.30573747,-89.56415,-0.90780354,2906.169,0.12060241,983.34344,0.32297078,-100.50974,-0.72842914,-20.20548,-0.48927712,41.17171,0.25644702,0.024256516,1.3703513,-0.019343937,-0.6923414,0.39307368,0.9065726,40.30577,0.24071315,9.771796,1.1530586,-1.2388946,-11.60692,2.766965,4.422912,-10.400751,20.81866,-0.016985033,0.001176243,0.021300988,2.2518766,1.1725293,0.54142857,0.35459954,0.33666667,0.51578957,-26.191702,0
32.329388,0.28504318,27.749716,31.346128,34.750275,7.000559,566.298,880.388,282.69144,257.93732,0.22307077,1.114745,0.057437003,0.08952066,0.37264407,0.31520706,4.1403375,3.1779723,3.6831284,2.4995832,0.14818756,1.917177,13.480569,1.0845912,7.344605,1.4823568,2.0036442,7.758904,1.8672743,5.5653043,0.04968849,1.950256,1.5771139,0.90392447,6.700159,0.8146911,5.374177,2.5868723,19.158487,0.88210183,668.3109,0.43353122,1278.0731,0.27320844,-158.8883,-0.45275968,1703.6177,0.17262906,971.0321,0.34961012,-153.83212,-0.46516705,2807.9167,0.09020372,837.65283,0.47017097,-153.9136,-0.45593807,-20.531406,-0.8051252,31.096107,0.609034,0.004591596,7.332266,-0.013092038,-0.9303569,0.42992195,0.89725846,24.50574,0.7439423,16.9847,0.6641581,18.864748,0.7500797,7.4621234,1.8640807,-5.657032,15.642128,-0.012355544,-0.00276076,0.029287467,2.0018198,1.6468437,0.16833334,0.17340544,0.4405882,0.58416826,-28.504766,0
33.469944,0.32269806,22.709675,35.061504,39.701374,16.9917,722.3914,903.3399,315.90045,376.49582,0.29714614,0.9098844,0.1054552,0.16262983,0.48742226,0.38196707,7.5524044,5.635774,5.329577,3.8808846,0.20886545,1.4827782,13.810862,1.0319709,10.973837,0.896384,18.163074,0.66162145,-4.643913,-2.6909878,0.07319596,1.8085288,1.6067744,0.6721127,6.1312823,0.98274887,5.0595927,5.9808707,18.456823,1.302547,659.84326,0.3199705,1221.9204,0.21605362,-136.07626,-0.61036515,1767.2808,0.16283773,880.8295,0.4067425,-130.27734,-0.6132953,2835.1235,0.11100523,799.6827,0.50894225,-130.47038,-0.6048482,-19.423582,-0.61894923,28.557499,0.46168658,0.026110275,2.0080032,-0.023396203,-0.7506543,0.43495405,0.8523053,25.110857,0.57955676,14.131918,0.8638274,17.01865,0.87312573,-7.418587,-2.1664417,-9.44271,17.763802,-0.04732732,-0.002936199,0.047393788,2.7713625,1.9334881,0.2044,0.20421712,0.3147826,0.35781786,-31.505383,0
30.48757,0.1504535,27.846382,29.836798,33.16945,5.3230667,296.0633,196.13878,181.8948,263.59283,0.38183886,1.0445317,0.038509384,0.20646667,0.7417814,0.70327204,8.862793,4.4214635,6.955338,5.5128245,0.27182445,1.335956,20.576311,1.0239655,14.899953,0.97674006,7.0562363,2.2790473,2.3294327,6.6244903,0.03343606,2.0219805,1.2995982,0.94540906,6.169913,0.8071633,4.9087863,2.1372182,35.41933,0.46917775,616.9526,0.30131483,1306.0765,0.22779816,-107.01159,-0.8463205,1674.0558,0.18334731,1038.7191,0.35276252,-112.13592,-0.7369948,2799.3943,0.09778891,921.7004,0.43697345,-116.452934,-0.6728218,-23.115116,-0.5402887,35.622948,0.34431574,0.06080151,0.77493286,-0.026663117,-0.80376786,0.5032464,0.7539489,35.74465,0.461697,20.281296,0.7775328,8.951749,2.2882767,-2.0079217,-9.2196245,-9.382262,22.17141,-0.008799775,1.65E-05,0.028278612,2.8028028,2.2132797,0.22227271,0.2634376,0.26352942,0.49798346,-27.935472,1
32.49049,0.3049597,27.535614,32.433456,35.019688,7.4840736,479.73807,629.802,198.07092,166.12589,0.29406777,1.0664358,0.06948513,0.1578355,0.48685768,0.41737255,5.1198945,3.6088219,5.2824883,3.938685,0.20117293,1.5430083,22.056442,0.6460395,2.7078264,5.897414,2.5704083,6.0915084,7.3358502,1.6075001,0.053976983,1.7340288,1.5665314,0.80853873,5.6011806,1.0430387,5.711967,2.263013,23.631653,0.6504362,625.17334,0.3938874,1314.6831,0.23952062,-128.35155,-0.665247,1621.1556,0.15354383,1001.9013,0.33028632,-124.93317,-0.66125166,2770.589,0.104764976,885.5801,0.3892328,-127.34305,-0.6232378,-18.360275,-0.83361953,32.520145,0.49887702,0.012963305,2.3980536,-0.013990835,-1.0955839,0.40033984,0.88954824,29.916952,0.5421556,10.616257,1.6936305,13.522048,1.0905778,12.171624,1.053258,-5.728834,17.656986,-0.009245437,-0.004732428,0.041207124,2.0015397,2.0108275,0.21346153,0.19802763,0.26153848,0.32210475,-29.157375,0
33.720768,0.2788791,27.961042,31.559505,42.221737,14.2606945,431.64603,709.9967,109.70145,59.161026,0.45894104,1.3717165,0.04362779,0.10558053,0.85845745,0.81482965,11.2735405,7.848595,10.886013,6.4590654,0.30113736,1.480943,19.65071,0.9063442,6.255783,2.9637952,11.436422,1.5524815,2.9836285,4.195238,0.06778872,1.7942623,1.8507371,0.7745314,4.726018,1.0550047,5.4028535,2.6220653,22.830168,0.8196808,635.34424,0.3971352,1195.4995,0.2720486,-112.22301,-0.82293063,1679.9581,0.17672221,982.27057,0.27776438,-110.08646,-0.80353284,2728.5115,0.09799894,884.8265,0.36702803,-113.2206,-0.75065166,-15.236276,-0.9718863,27.87467,0.5107736,0.06096451,0.81094736,-0.019040853,-1.0280585,0.56560695,0.8671804,30.166044,0.6111015,1.427603,16.451855,14.431407,1.5503894,1.845776,8.655482,-12.030505,23.082935,0.000475487,-0.002699834,0.034193642,2.365787,1.8281536,0.267,0.25731498,0.27210525,0.4326367,-29.092993,0
