,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.057398129,0.004912508,0.00858264,0.000433372,0.001,linear,,"{'C': 0.001, 'kernel': 'linear'}",0.519886364,0.519886364,0.517045455,0.488636364,0.512820513,0.511654349,0.011799792,22,0.518123667,0.518123667,0.518834399,0.523809524,0.529119318,0.521602115,0.004318343
1,0.052085495,0.00296467,0.00729022,0.000650745,0.01,linear,,"{'C': 0.01, 'kernel': 'linear'}",0.511363636,0.545454545,0.576704545,0.53125,0.527065527,0.538374076,0.022038939,10,0.557924662,0.542999289,0.540867093,0.54655295,0.545454545,0.546759708,0.005920575
2,0.063560867,0.010070491,0.006845474,0.000925246,0.1,linear,,"{'C': 0.1, 'kernel': 'linear'}",0.511363636,0.553977273,0.576704545,0.536931818,0.558404558,0.547470153,0.022055987,3,0.565742715,0.555792466,0.559346127,0.550817342,0.558238636,0.557987457,0.004863777
3,0.158673048,0.011036696,0.007204485,0.000947075,1,linear,,"{'C': 1, 'kernel': 'linear'}",0.505681818,0.551136364,0.568181818,0.539772727,0.552706553,0.54349062,0.02096369,6,0.563610519,0.556503198,0.555081734,0.549395878,0.555397727,0.555997811,0.00453858
4,0.499335957,0.103901684,0.005507898,7.84E-05,10,linear,,"{'C': 10, 'kernel': 'linear'}",0.508522727,0.551136364,0.5625,0.536931818,0.552706553,0.54235361,0.018787336,8,0.564321251,0.556503198,0.55721393,0.548685146,0.5546875,0.556282205,0.005016006
5,3.522969818,0.644172337,0.006284761,0.000264252,100,linear,,"{'C': 100, 'kernel': 'linear'}",0.511363636,0.556818182,0.5625,0.534090909,0.54985755,0.542922115,0.018435027,7,0.566453447,0.55721393,0.557924662,0.550817342,0.552556818,0.55699324,0.005444912
6,0.084438992,0.002171417,0.016057014,0.000385465,0.001,rbf,0.0001,"{'C': 0.001, 'gamma': 0.0001, 'kernel': 'rbf'}",0.505681818,0.505681818,0.505681818,0.505681818,0.504273504,0.505400796,0.000562845,28,0.50533049,0.50533049,0.50533049,0.50533049,0.505681818,0.505400756,0.000140531
7,0.08343091,0.000518702,0.015993166,0.000223286,0.001,rbf,0.001,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}",0.505681818,0.505681818,0.505681818,0.505681818,0.504273504,0.505400796,0.000562845,28,0.50533049,0.50533049,0.50533049,0.50533049,0.505681818,0.505400756,0.000140531
8,0.085630226,0.000804194,0.016497183,0.000300119,0.001,rbf,0.01,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",0.505681818,0.505681818,0.505681818,0.505681818,0.504273504,0.505400796,0.000562845,28,0.50533049,0.50533049,0.50533049,0.50533049,0.505681818,0.505400756,0.000140531
9,0.118465519,0.025678003,0.020630932,0.003365614,0.001,rbf,0.1,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",0.505681818,0.505681818,0.505681818,0.505681818,0.504273504,0.505400796,0.000562845,28,0.50533049,0.50533049,0.50533049,0.50533049,0.505681818,0.505400756,0.000140531
