condition3
date: 04/Jan/2021:09:09:01 , slide: id=6
date: 04/Jan/2021:09:09:02 , slide: id=4
date: 04/Jan/2021:09:09:10 , slide: id=6
date: 04/Jan/2021:09:09:24 , slide: id=8
date: 04/Jan/2021:09:09:24 , slide: id=10
date: 04/Jan/2021:09:10:15 , slide: id=8
date: 04/Jan/2021:09:10:18 , slide: id=6
date: 04/Jan/2021:09:10:22 , slide: id=8
date: 04/Jan/2021:09:11:17 , slide: id=10
date: 04/Jan/2021:09:11:23 , slide: id=8
date: 04/Jan/2021:09:11:23 , slide: id=6
date: 04/Jan/2021:09:11:35 , slide: id=8
date: 04/Jan/2021:09:12:15 , slide: id=6
date: 04/Jan/2021:09:12:28 , slide: id=8
date: 04/Jan/2021:09:12:47 , slide: id=6
date: 04/Jan/2021:09:12:47 , slide: id=8
date: 04/Jan/2021:09:12:50 , slide: id=10
date: 04/Jan/2021:09:12:55 , slide: id=8
date: 04/Jan/2021:09:12:55 , slide: id=10
date: 04/Jan/2021:09:12:56 , slide: id=8
date: 04/Jan/2021:09:12:59 , slide: id=6
date: 04/Jan/2021:09:13:01 , slide: id=4
date: 04/Jan/2021:09:13:02 , slide: id=2
date: 04/Jan/2021:09:13:31 , slide: id=4
date: 04/Jan/2021:09:13:31 , slide: id=6
date: 04/Jan/2021:09:13:57 , slide: id=8
date: 04/Jan/2021:09:14:08 , slide: id=10
date: 04/Jan/2021:09:14:26 , slide: id=8
date: 04/Jan/2021:09:15:03 , slide: id=10
date: 04/Jan/2021:09:15:55 , slide: id=8
condition4
date: 04/Jan/2021:09:21:00 , slide: id=6
date: 04/Jan/2021:09:21:01 , slide: id=8
date: 04/Jan/2021:09:21:04 , slide: id=10
date: 04/Jan/2021:09:21:17 , slide: id=8
