condition4
date: 12/Jan/2021:19:10:04 , slide: id=6
date: 12/Jan/2021:19:10:22 , slide: id=8
date: 12/Jan/2021:19:10:40 , slide: id=10
date: 12/Jan/2021:19:10:51 , slide: id=6
date: 12/Jan/2021:19:10:54 , slide: id=8
date: 12/Jan/2021:19:11:02 , slide: id=6
date: 12/Jan/2021:19:11:12 , slide: id=8
date: 12/Jan/2021:19:11:33 , slide: id=10
date: 12/Jan/2021:19:11:38 , slide: id=8
date: 12/Jan/2021:19:11:49 , slide: id=6
date: 12/Jan/2021:19:11:50 , slide: id=8
date: 12/Jan/2021:19:11:59 , slide: id=6
date: 12/Jan/2021:19:12:03 , slide: id=8
date: 12/Jan/2021:19:12:12 , slide: id=10
date: 12/Jan/2021:19:12:18 , slide: id=8
date: 12/Jan/2021:19:12:23 , slide: id=6
date: 12/Jan/2021:19:12:27 , slide: id=8
date: 12/Jan/2021:19:12:37 , slide: id=10
date: 12/Jan/2021:19:12:42 , slide: id=8
date: 12/Jan/2021:19:12:48 , slide: id=10
date: 12/Jan/2021:19:12:52 , slide: id=8
date: 12/Jan/2021:19:12:58 , slide: id=6
date: 12/Jan/2021:19:13:11 , slide: id=4
date: 12/Jan/2021:19:13:15 , slide: id=6
date: 12/Jan/2021:19:13:30 , slide: id=8
date: 12/Jan/2021:19:13:34 , slide: id=10
date: 12/Jan/2021:19:13:37 , slide: id=8
date: 12/Jan/2021:19:13:47 , slide: id=6
date: 12/Jan/2021:19:13:52 , slide: id=4
date: 12/Jan/2021:19:14:10 , slide: id=6
date: 12/Jan/2021:19:14:18 , slide: id=8
date: 12/Jan/2021:19:14:22 , slide: id=10
date: 12/Jan/2021:19:14:26 , slide: id=8
date: 12/Jan/2021:19:14:36 , slide: id=6
date: 12/Jan/2021:19:14:39 , slide: id=8
date: 12/Jan/2021:19:14:49 , slide: id=10
date: 12/Jan/2021:19:14:56 , slide: id=8
condition3
date: 12/Jan/2021:19:19:04 , slide: id=6
date: 12/Jan/2021:19:19:12 , slide: id=4
date: 12/Jan/2021:19:19:17 , slide: id=6
date: 12/Jan/2021:19:19:23 , slide: id=4
date: 12/Jan/2021:19:19:24 , slide: id=6
date: 12/Jan/2021:19:19:29 , slide: id=8
date: 12/Jan/2021:19:19:35 , slide: id=6
date: 12/Jan/2021:19:19:38 , slide: id=8
date: 12/Jan/2021:19:19:43 , slide: id=6
date: 12/Jan/2021:19:19:49 , slide: id=8
date: 12/Jan/2021:19:19:55 , slide: id=6
date: 12/Jan/2021:19:19:59 , slide: id=8
date: 12/Jan/2021:19:20:10 , slide: id=6
date: 12/Jan/2021:19:20:19 , slide: id=8
date: 12/Jan/2021:19:20:26 , slide: id=6
date: 12/Jan/2021:19:20:30 , slide: id=8
date: 12/Jan/2021:19:20:34 , slide: id=6
date: 12/Jan/2021:19:20:37 , slide: id=8
date: 12/Jan/2021:19:20:47 , slide: id=6
date: 12/Jan/2021:19:20:56 , slide: id=8
date: 12/Jan/2021:19:21:06 , slide: id=6
date: 12/Jan/2021:19:21:15 , slide: id=8
date: 12/Jan/2021:19:21:24 , slide: id=6
date: 12/Jan/2021:19:21:36 , slide: id=8
date: 12/Jan/2021:19:21:41 , slide: id=6
date: 12/Jan/2021:19:22:04 , slide: id=4
date: 12/Jan/2021:19:22:11 , slide: id=6
date: 12/Jan/2021:19:22:30 , slide: id=4
date: 12/Jan/2021:19:22:34 , slide: id=6
date: 12/Jan/2021:19:22:44 , slide: id=4
date: 12/Jan/2021:19:22:51 , slide: id=6
date: 12/Jan/2021:19:23:00 , slide: id=8
date: 12/Jan/2021:19:23:05 , slide: id=6
date: 12/Jan/2021:19:23:20 , slide: id=8
date: 12/Jan/2021:19:23:23 , slide: id=6
date: 12/Jan/2021:19:23:32 , slide: id=8
date: 12/Jan/2021:19:23:38 , slide: id=6
date: 12/Jan/2021:19:23:48 , slide: id=8
date: 12/Jan/2021:19:23:55 , slide: id=10
date: 12/Jan/2021:19:23:57 , slide: id=8
