condition4
date: 17/Dec/2020:19:13:25 , slide: id=6
date: 17/Dec/2020:19:13:26 , slide: id=8
date: 17/Dec/2020:19:13:40 , slide: id=4
date: 17/Dec/2020:19:13:41 , slide: id=2
date: 17/Dec/2020:19:13:48 , slide: id=6
date: 17/Dec/2020:19:13:56 , slide: id=10
date: 17/Dec/2020:19:14:11 , slide: id=6
date: 17/Dec/2020:19:14:11 , slide: id=4
date: 17/Dec/2020:19:14:28 , slide: id=8
date: 17/Dec/2020:19:14:34 , slide: id=6
date: 17/Dec/2020:19:14:44 , slide: id=4
date: 17/Dec/2020:19:14:47 , slide: id=10
date: 17/Dec/2020:19:15:00 , slide: id=6
date: 17/Dec/2020:19:15:14 , slide: id=8
date: 17/Dec/2020:19:15:21 , slide: id=4
date: 17/Dec/2020:19:15:33 , slide: id=6
date: 17/Dec/2020:19:15:42 , slide: id=8
date: 17/Dec/2020:19:15:45 , slide: id=4
date: 17/Dec/2020:19:15:47 , slide: id=6
date: 17/Dec/2020:19:16:17 , slide: id=8
date: 17/Dec/2020:19:16:27 , slide: id=4
date: 17/Dec/2020:19:16:54 , slide: id=8
date: 17/Dec/2020:19:17:07 , slide: id=10
date: 17/Dec/2020:19:17:38 , slide: id=8
date: 17/Dec/2020:19:17:39 , slide: id=10
date: 17/Dec/2020:19:17:43 , slide: id=6
date: 17/Dec/2020:19:17:50 , slide: id=10
date: 17/Dec/2020:19:17:55 , slide: id=6
date: 17/Dec/2020:19:17:56 , slide: id=4
date: 17/Dec/2020:19:18:07 , slide: id=2
date: 17/Dec/2020:19:18:19 , slide: id=6
date: 17/Dec/2020:19:18:20 , slide: id=8
condition3
date: 17/Dec/2020:19:33:19 , slide: id=10
date: 17/Dec/2020:19:33:28 , slide: id=6
date: 17/Dec/2020:19:33:28 , slide: id=8
date: 17/Dec/2020:19:34:05 , slide: id=10
date: 17/Dec/2020:19:34:16 , slide: id=8
date: 17/Dec/2020:19:34:31 , slide: id=10
date: 17/Dec/2020:19:34:39 , slide: id=4
date: 17/Dec/2020:19:34:42 , slide: id=2
date: 17/Dec/2020:19:34:52 , slide: id=4
date: 17/Dec/2020:19:35:06 , slide: id=6
date: 17/Dec/2020:19:35:08 , slide: id=2
date: 17/Dec/2020:19:35:18 , slide: id=4
date: 17/Dec/2020:19:35:29 , slide: id=8
date: 17/Dec/2020:19:35:30 , slide: id=10
date: 17/Dec/2020:19:35:39 , slide: id=2
date: 17/Dec/2020:19:35:40 , slide: id=0
date: 17/Dec/2020:19:35:41 , slide: id=2
date: 17/Dec/2020:19:36:02 , slide: id=0
date: 17/Dec/2020:19:36:27 , slide: id=6
date: 17/Dec/2020:19:36:37 , slide: id=10
date: 17/Dec/2020:19:36:49 , slide: id=2
date: 17/Dec/2020:19:37:03 , slide: id=6
date: 17/Dec/2020:19:37:12 , slide: id=10
date: 17/Dec/2020:19:37:23 , slide: id=8
date: 17/Dec/2020:19:37:36 , slide: id=2
date: 17/Dec/2020:19:37:48 , slide: id=6
