condition3
date: 24/Dec/2020:15:21:11 , slide: id=8
date: 24/Dec/2020:15:21:15 , slide: id=10
date: 24/Dec/2020:15:21:17 , slide: id=8
date: 24/Dec/2020:15:21:23 , slide: id=10
date: 24/Dec/2020:15:21:37 , slide: id=6
date: 24/Dec/2020:15:21:42 , slide: id=4
date: 24/Dec/2020:15:21:50 , slide: id=10
date: 24/Dec/2020:15:22:01 , slide: id=8
date: 24/Dec/2020:15:22:05 , slide: id=6
date: 24/Dec/2020:15:22:11 , slide: id=8
date: 24/Dec/2020:15:22:13 , slide: id=10
date: 24/Dec/2020:15:22:23 , slide: id=6
date: 24/Dec/2020:15:22:28 , slide: id=4
date: 24/Dec/2020:15:22:34 , slide: id=6
date: 24/Dec/2020:15:22:37 , slide: id=10
date: 24/Dec/2020:15:22:38 , slide: id=8
date: 24/Dec/2020:15:22:46 , slide: id=6
date: 24/Dec/2020:15:22:50 , slide: id=8
date: 24/Dec/2020:15:22:58 , slide: id=4
date: 24/Dec/2020:15:23:01 , slide: id=2
date: 24/Dec/2020:15:23:06 , slide: id=6
date: 24/Dec/2020:15:23:11 , slide: id=8
date: 24/Dec/2020:15:23:25 , slide: id=4
date: 24/Dec/2020:15:23:26 , slide: id=10
date: 24/Dec/2020:15:23:33 , slide: id=6
date: 24/Dec/2020:15:23:37 , slide: id=10
date: 24/Dec/2020:15:23:49 , slide: id=6
date: 24/Dec/2020:15:23:54 , slide: id=4
date: 24/Dec/2020:15:24:01 , slide: id=10
date: 24/Dec/2020:15:24:11 , slide: id=8
date: 24/Dec/2020:15:24:16 , slide: id=10
date: 24/Dec/2020:15:24:18 , slide: id=8
date: 24/Dec/2020:15:24:20 , slide: id=10
date: 24/Dec/2020:15:24:21 , slide: id=6
date: 24/Dec/2020:15:24:25 , slide: id=10
date: 24/Dec/2020:15:24:37 , slide: id=2
date: 24/Dec/2020:15:24:42 , slide: id=0
date: 24/Dec/2020:15:24:48 , slide: id=10
date: 24/Dec/2020:15:25:02 , slide: id=2
date: 24/Dec/2020:15:25:09 , slide: id=0
date: 24/Dec/2020:15:25:12 , slide: id=2
date: 24/Dec/2020:15:25:23 , slide: id=6
date: 24/Dec/2020:15:25:26 , slide: id=4
date: 24/Dec/2020:15:25:30 , slide: id=2
date: 24/Dec/2020:15:25:35 , slide: id=8
date: 24/Dec/2020:15:25:39 , slide: id=6
date: 24/Dec/2020:15:25:48 , slide: id=8
date: 24/Dec/2020:15:25:51 , slide: id=10
date: 24/Dec/2020:15:25:57 , slide: id=8
date: 24/Dec/2020:15:26:00 , slide: id=10
condition4
date: 24/Dec/2020:15:30:01 , slide: id=6
date: 24/Dec/2020:15:30:07 , slide: id=4
date: 24/Dec/2020:15:30:08 , slide: id=2
date: 24/Dec/2020:15:30:18 , slide: id=0
date: 24/Dec/2020:15:30:21 , slide: id=2
date: 24/Dec/2020:15:30:30 , slide: id=8
date: 24/Dec/2020:15:30:37 , slide: id=10
date: 24/Dec/2020:15:30:41 , slide: id=8
date: 24/Dec/2020:15:30:45 , slide: id=10
date: 24/Dec/2020:15:30:55 , slide: id=2
date: 24/Dec/2020:15:31:03 , slide: id=0
date: 24/Dec/2020:15:31:09 , slide: id=8
date: 24/Dec/2020:15:31:20 , slide: id=10
date: 24/Dec/2020:15:31:45 , slide: id=8
date: 24/Dec/2020:15:31:54 , slide: id=10
date: 24/Dec/2020:15:32:08 , slide: id=4
date: 24/Dec/2020:15:32:15 , slide: id=2
date: 24/Dec/2020:15:32:30 , slide: id=8
date: 24/Dec/2020:15:32:31 , slide: id=10
date: 24/Dec/2020:15:32:54 , slide: id=8
date: 24/Dec/2020:15:33:06 , slide: id=10
date: 24/Dec/2020:15:33:29 , slide: id=8
date: 24/Dec/2020:15:33:40 , slide: id=10
date: 24/Dec/2020:15:34:03 , slide: id=8
date: 24/Dec/2020:15:34:07 , slide: id=4
date: 24/Dec/2020:15:34:15 , slide: id=10
date: 24/Dec/2020:15:34:30 , slide: id=8
date: 24/Dec/2020:15:34:38 , slide: id=6
date: 24/Dec/2020:15:34:40 , slide: id=4
date: 24/Dec/2020:15:34:50 , slide: id=10
