date: 24/Dec/2020:10:11:04 , slide: id=6
date: 24/Dec/2020:10:11:11 , slide: id=8
date: 24/Dec/2020:10:11:20 , slide: id=6
date: 24/Dec/2020:10:11:31 , slide: id=8
date: 24/Dec/2020:10:11:40 , slide: id=2
date: 24/Dec/2020:10:11:54 , slide: id=4
date: 24/Dec/2020:10:12:05 , slide: id=6
date: 24/Dec/2020:10:12:19 , slide: id=8
date: 24/Dec/2020:10:12:31 , slide: id=6
date: 24/Dec/2020:10:12:43 , slide: id=4
date: 24/Dec/2020:10:12:53 , slide: id=6
date: 24/Dec/2020:10:13:07 , slide: id=4
date: 24/Dec/2020:10:13:33 , slide: id=6
date: 24/Dec/2020:10:13:44 , slide: id=2
date: 24/Dec/2020:10:13:54 , slide: id=6
date: 24/Dec/2020:10:14:14 , slide: id=8
date: 24/Dec/2020:10:14:21 , slide: id=6
date: 24/Dec/2020:10:14:32 , slide: id=8
date: 24/Dec/2020:10:14:46 , slide: id=10
date: 24/Dec/2020:10:14:54 , slide: id=6
date: 24/Dec/2020:10:15:06 , slide: id=4
date: 24/Dec/2020:10:15:18 , slide: id=6
date: 24/Dec/2020:10:15:28 , slide: id=8
date: 24/Dec/2020:10:15:40 , slide: id=4
date: 24/Dec/2020:10:15:51 , slide: id=6
date: 24/Dec/2020:10:20:18 , slide: id=2
date: 24/Dec/2020:10:20:26 , slide: id=4
date: 24/Dec/2020:10:20:39 , slide: id=6
date: 24/Dec/2020:10:21:00 , slide: id=4
date: 24/Dec/2020:10:21:23 , slide: id=6
date: 24/Dec/2020:10:21:41 , slide: id=8
date: 24/Dec/2020:10:22:04 , slide: id=10
date: 24/Dec/2020:10:22:09 , slide: id=8
date: 24/Dec/2020:10:22:14 , slide: id=6
date: 24/Dec/2020:10:22:35 , slide: id=8
date: 24/Dec/2020:10:23:00 , slide: id=6
date: 24/Dec/2020:10:23:07 , slide: id=8
date: 24/Dec/2020:10:23:23 , slide: id=6
date: 24/Dec/2020:10:23:35 , slide: id=8
date: 24/Dec/2020:10:23:44 , slide: id=6
date: 24/Dec/2020:10:23:57 , slide: id=8
date: 24/Dec/2020:10:24:08 , slide: id=4
date: 24/Dec/2020:10:24:25 , slide: id=2
date: 24/Dec/2020:10:24:33 , slide: id=4
date: 24/Dec/2020:10:25:09 , slide: id=6
