date: 25/Dec/2020:10:19:07 , slide: id=10
date: 25/Dec/2020:10:19:08 , slide: id=8
date: 25/Dec/2020:10:19:43 , slide: id=10
date: 25/Dec/2020:10:19:53 , slide: id=8
date: 25/Dec/2020:10:19:54 , slide: id=6
date: 25/Dec/2020:10:20:04 , slide: id=8
date: 25/Dec/2020:10:20:06 , slide: id=10
date: 25/Dec/2020:10:20:16 , slide: id=6
date: 25/Dec/2020:10:20:18 , slide: id=8
date: 25/Dec/2020:10:20:52 , slide: id=6
date: 25/Dec/2020:10:21:05 , slide: id=8
date: 25/Dec/2020:10:21:06 , slide: id=10
date: 25/Dec/2020:10:21:16 , slide: id=6
date: 25/Dec/2020:10:21:27 , slide: id=8
date: 25/Dec/2020:10:21:54 , slide: id=6
date: 25/Dec/2020:10:22:15 , slide: id=8
date: 25/Dec/2020:10:22:24 , slide: id=10
date: 25/Dec/2020:10:22:39 , slide: id=8
date: 25/Dec/2020:10:22:51 , slide: id=6
date: 25/Dec/2020:10:23:03 , slide: id=8
date: 25/Dec/2020:10:23:17 , slide: id=10
date: 25/Dec/2020:10:23:25 , slide: id=6
date: 25/Dec/2020:10:23:37 , slide: id=8
date: 25/Dec/2020:10:24:03 , slide: id=6
date: 25/Dec/2020:10:37:13 , slide: id=6
date: 25/Dec/2020:10:37:20 , slide: id=8
date: 25/Dec/2020:10:37:33 , slide: id=6
date: 25/Dec/2020:10:37:44 , slide: id=8
date: 25/Dec/2020:10:37:56 , slide: id=6
date: 25/Dec/2020:10:38:11 , slide: id=8
date: 25/Dec/2020:10:38:12 , slide: id=6
date: 25/Dec/2020:10:38:13 , slide: id=8
date: 25/Dec/2020:10:39:18 , slide: id=10
date: 25/Dec/2020:10:39:30 , slide: id=4
date: 25/Dec/2020:10:39:43 , slide: id=6
date: 25/Dec/2020:10:39:45 , slide: id=8
date: 25/Dec/2020:10:39:55 , slide: id=10
date: 25/Dec/2020:10:40:05 , slide: id=8
date: 25/Dec/2020:10:41:04 , slide: id=6
date: 25/Dec/2020:10:41:27 , slide: id=8
date: 25/Dec/2020:10:41:40 , slide: id=10
date: 25/Dec/2020:10:41:52 , slide: id=8
date: 25/Dec/2020:10:42:03 , slide: id=6
