date: 22/Dec/2020:12:35:23 , slide: id=6
date: 22/Dec/2020:12:35:50 , slide: id=8
date: 22/Dec/2020:12:36:08 , slide: id=10
date: 22/Dec/2020:12:36:16 , slide: id=6
date: 22/Dec/2020:12:36:57 , slide: id=8
date: 22/Dec/2020:12:37:08 , slide: id=10
date: 22/Dec/2020:12:37:26 , slide: id=8
date: 22/Dec/2020:12:38:01 , slide: id=6
date: 22/Dec/2020:12:38:22 , slide: id=4
date: 22/Dec/2020:12:38:34 , slide: id=2
date: 22/Dec/2020:12:39:17 , slide: id=4
date: 22/Dec/2020:12:39:33 , slide: id=2
date: 22/Dec/2020:12:40:18 , slide: id=0
date: 22/Dec/2020:12:44:29 , slide: id=10
date: 22/Dec/2020:12:44:33 , slide: id=8
date: 22/Dec/2020:12:44:46 , slide: id=6
date: 22/Dec/2020:12:45:07 , slide: id=4
date: 22/Dec/2020:12:45:21 , slide: id=6
date: 22/Dec/2020:12:45:32 , slide: id=8
date: 22/Dec/2020:12:45:43 , slide: id=6
date: 22/Dec/2020:12:45:44 , slide: id=4
date: 22/Dec/2020:12:46:02 , slide: id=2
date: 22/Dec/2020:12:46:13 , slide: id=4
date: 22/Dec/2020:12:46:37 , slide: id=2
date: 22/Dec/2020:12:46:49 , slide: id=0
date: 22/Dec/2020:12:47:09 , slide: id=2
date: 22/Dec/2020:12:47:20 , slide: id=4
date: 22/Dec/2020:12:47:31 , slide: id=2
date: 22/Dec/2020:12:47:34 , slide: id=0
date: 22/Dec/2020:12:47:42 , slide: id=2
date: 22/Dec/2020:12:47:44 , slide: id=4
date: 22/Dec/2020:12:47:54 , slide: id=6
date: 22/Dec/2020:12:47:56 , slide: id=8
date: 22/Dec/2020:12:48:06 , slide: id=10
date: 22/Dec/2020:12:48:30 , slide: id=8
date: 22/Dec/2020:12:48:30 , slide: id=6
date: 22/Dec/2020:12:48:31 , slide: id=4
date: 22/Dec/2020:12:48:42 , slide: id=2
date: 22/Dec/2020:12:48:53 , slide: id=0
date: 22/Dec/2020:12:49:03 , slide: id=2
date: 22/Dec/2020:12:49:16 , slide: id=4
date: 22/Dec/2020:12:49:21 , slide: id=2
