date: 17/Dec/2020:11:17:12 , slide: id=6
date: 17/Dec/2020:11:18:12 , slide: id=8
date: 17/Dec/2020:11:18:55 , slide: id=6
date: 17/Dec/2020:11:19:07 , slide: id=8
date: 17/Dec/2020:11:19:32 , slide: id=10
date: 17/Dec/2020:11:19:47 , slide: id=8
date: 17/Dec/2020:11:20:02 , slide: id=10
date: 17/Dec/2020:11:20:19 , slide: id=6
date: 17/Dec/2020:11:20:31 , slide: id=8
date: 17/Dec/2020:11:20:54 , slide: id=4
date: 17/Dec/2020:11:21:05 , slide: id=10
date: 17/Dec/2020:11:21:29 , slide: id=8
date: 17/Dec/2020:11:22:04 , slide: id=6
date: 17/Dec/2020:11:22:15 , slide: id=8
date: 17/Dec/2020:11:22:29 , slide: id=10
date: 17/Dec/2020:11:22:52 , slide: id=8
date: 17/Dec/2020:11:27:26 , slide: id=6
date: 17/Dec/2020:11:27:42 , slide: id=8
date: 17/Dec/2020:11:27:54 , slide: id=6
date: 17/Dec/2020:11:29:43 , slide: id=4
date: 17/Dec/2020:11:29:46 , slide: id=6
date: 17/Dec/2020:11:29:52 , slide: id=8
date: 17/Dec/2020:11:30:04 , slide: id=6
date: 17/Dec/2020:11:30:27 , slide: id=8
date: 17/Dec/2020:11:30:41 , slide: id=6
date: 17/Dec/2020:11:30:53 , slide: id=8
date: 17/Dec/2020:11:31:19 , slide: id=6
date: 17/Dec/2020:11:31:25 , slide: id=8
date: 17/Dec/2020:11:31:48 , slide: id=6
date: 17/Dec/2020:11:31:59 , slide: id=8
