date: 21/Dec/2020:18:07:25 , slide: id=6
date: 21/Dec/2020:18:08:15 , slide: id=10
date: 21/Dec/2020:18:08:29 , slide: id=8
date: 21/Dec/2020:18:08:49 , slide: id=4
date: 21/Dec/2020:18:09:14 , slide: id=8
date: 21/Dec/2020:18:09:17 , slide: id=10
date: 21/Dec/2020:18:09:51 , slide: id=2
date: 21/Dec/2020:18:09:56 , slide: id=8
date: 21/Dec/2020:18:10:10 , slide: id=10
date: 21/Dec/2020:18:10:15 , slide: id=4
date: 21/Dec/2020:18:10:23 , slide: id=8
date: 21/Dec/2020:18:10:38 , slide: id=10
date: 21/Dec/2020:18:11:12 , slide: id=2
date: 21/Dec/2020:18:11:25 , slide: id=10
date: 21/Dec/2020:18:11:39 , slide: id=6
date: 21/Dec/2020:18:11:39 , slide: id=8
date: 21/Dec/2020:18:11:40 , slide: id=4
date: 21/Dec/2020:18:11:40 , slide: id=2
date: 21/Dec/2020:18:11:58 , slide: id=4
date: 21/Dec/2020:18:11:58 , slide: id=6
date: 21/Dec/2020:18:11:59 , slide: id=4
date: 21/Dec/2020:18:11:59 , slide: id=2
date: 21/Dec/2020:18:12:00 , slide: id=4
date: 21/Dec/2020:18:12:00 , slide: id=6
date: 21/Dec/2020:18:12:24 , slide: id=8
date: 21/Dec/2020:18:12:24 , slide: id=10
date: 21/Dec/2020:18:12:45 , slide: id=8
date: 21/Dec/2020:18:12:45 , slide: id=6
date: 21/Dec/2020:18:12:46 , slide: id=4
date: 21/Dec/2020:18:12:46 , slide: id=2
date: 21/Dec/2020:18:13:13 , slide: id=6
date: 21/Dec/2020:18:13:13 , slide: id=4
date: 21/Dec/2020:18:25:34 , slide: id=6
date: 21/Dec/2020:18:25:57 , slide: id=2
date: 21/Dec/2020:18:26:08 , slide: id=8
date: 21/Dec/2020:18:26:10 , slide: id=6
date: 21/Dec/2020:18:26:12 , slide: id=10
date: 21/Dec/2020:18:26:12 , slide: id=8
date: 21/Dec/2020:18:26:13 , slide: id=6
date: 21/Dec/2020:18:26:13 , slide: id=8
date: 21/Dec/2020:18:26:16 , slide: id=2
date: 21/Dec/2020:18:26:16 , slide: id=4
date: 21/Dec/2020:18:26:17 , slide: id=4
date: 21/Dec/2020:18:26:17 , slide: id=6
date: 21/Dec/2020:18:26:17 , slide: id=8
date: 21/Dec/2020:18:26:17 , slide: id=10
date: 21/Dec/2020:18:26:25 , slide: id=6
date: 21/Dec/2020:18:26:25 , slide: id=8
date: 21/Dec/2020:18:26:26 , slide: id=10
date: 21/Dec/2020:18:26:26 , slide: id=8
date: 21/Dec/2020:18:27:27 , slide: id=2
date: 21/Dec/2020:18:28:21 , slide: id=8
date: 21/Dec/2020:18:28:29 , slide: id=10
date: 21/Dec/2020:18:28:54 , slide: id=6
date: 21/Dec/2020:18:28:54 , slide: id=8
date: 21/Dec/2020:18:28:56 , slide: id=8
date: 21/Dec/2020:18:28:56 , slide: id=10
date: 21/Dec/2020:18:28:58 , slide: id=8
date: 21/Dec/2020:18:29:06 , slide: id=10
date: 21/Dec/2020:18:29:29 , slide: id=4
date: 21/Dec/2020:18:29:42 , slide: id=2
date: 21/Dec/2020:18:29:52 , slide: id=6
date: 21/Dec/2020:18:29:52 , slide: id=4
date: 21/Dec/2020:18:29:53 , slide: id=10
date: 21/Dec/2020:18:29:53 , slide: id=8
date: 21/Dec/2020:18:30:07 , slide: id=6
date: 21/Dec/2020:18:30:07 , slide: id=8
date: 21/Dec/2020:18:30:14 , slide: id=4
date: 21/Dec/2020:18:30:56 , slide: id=6
date: 21/Dec/2020:19:11:52 , slide: id=6
date: 21/Dec/2020:19:11:53 , slide: id=8
date: 21/Dec/2020:19:12:08 , slide: id=6
date: 21/Dec/2020:19:12:08 , slide: id=4
date: 21/Dec/2020:19:12:33 , slide: id=2
date: 21/Dec/2020:19:12:33 , slide: id=0
date: 21/Dec/2020:19:12:34 , slide: id=2
date: 21/Dec/2020:19:13:37 , slide: id=4
