date: 04/Jan/2021:13:06:51 , slide: id=6
date: 04/Jan/2021:13:07:21 , slide: id=10
date: 04/Jan/2021:13:07:42 , slide: id=8
date: 04/Jan/2021:13:07:42 , slide: id=6
date: 04/Jan/2021:13:07:57 , slide: id=8
date: 04/Jan/2021:13:07:57 , slide: id=10
date: 04/Jan/2021:13:08:09 , slide: id=8
date: 04/Jan/2021:13:08:13 , slide: id=6
date: 04/Jan/2021:13:08:13 , slide: id=4
date: 04/Jan/2021:13:08:29 , slide: id=6
date: 04/Jan/2021:13:08:29 , slide: id=8
date: 04/Jan/2021:13:08:29 , slide: id=10
date: 04/Jan/2021:13:08:59 , slide: id=8
date: 04/Jan/2021:13:08:59 , slide: id=6
date: 04/Jan/2021:13:09:15 , slide: id=8
date: 04/Jan/2021:13:09:15 , slide: id=10
date: 04/Jan/2021:13:09:25 , slide: id=8
date: 04/Jan/2021:13:09:25 , slide: id=6
date: 04/Jan/2021:13:09:25 , slide: id=4
date: 04/Jan/2021:13:09:25 , slide: id=2
date: 04/Jan/2021:13:09:25 , slide: id=0
date: 04/Jan/2021:13:09:45 , slide: id=2
date: 04/Jan/2021:13:09:45 , slide: id=4
date: 04/Jan/2021:13:09:45 , slide: id=6
date: 04/Jan/2021:13:09:56 , slide: id=8
date: 04/Jan/2021:13:09:57 , slide: id=10
date: 04/Jan/2021:13:09:58 , slide: id=8
date: 04/Jan/2021:13:09:58 , slide: id=6
date: 04/Jan/2021:13:10:19 , slide: id=8
date: 04/Jan/2021:13:10:19 , slide: id=10
date: 04/Jan/2021:13:10:57 , slide: id=8
date: 04/Jan/2021:13:10:57 , slide: id=6
date: 04/Jan/2021:13:11:00 , slide: id=4
date: 04/Jan/2021:13:11:05 , slide: id=2
date: 04/Jan/2021:13:11:12 , slide: id=0
date: 04/Jan/2021:13:11:32 , slide: id=2
date: 04/Jan/2021:13:11:32 , slide: id=4
date: 04/Jan/2021:13:11:32 , slide: id=6
date: 04/Jan/2021:13:11:33 , slide: id=8
date: 04/Jan/2021:13:11:33 , slide: id=10
date: 04/Jan/2021:13:23:51 , slide: id=6
date: 04/Jan/2021:13:24:42 , slide: id=10
date: 04/Jan/2021:13:25:06 , slide: id=6
date: 04/Jan/2021:13:25:07 , slide: id=4
date: 04/Jan/2021:13:25:22 , slide: id=2
date: 04/Jan/2021:13:25:28 , slide: id=8
date: 04/Jan/2021:13:25:43 , slide: id=10
date: 04/Jan/2021:13:26:12 , slide: id=4
date: 04/Jan/2021:13:26:29 , slide: id=2
date: 04/Jan/2021:13:26:44 , slide: id=0
date: 04/Jan/2021:13:26:50 , slide: id=6
date: 04/Jan/2021:13:27:00 , slide: id=10
date: 04/Jan/2021:13:27:37 , slide: id=6
date: 04/Jan/2021:13:27:49 , slide: id=8
date: 04/Jan/2021:13:27:58 , slide: id=0
date: 04/Jan/2021:13:28:40 , slide: id=8
date: 04/Jan/2021:13:28:58 , slide: id=6
