date: 10/Jan/2021:19:12:39 , slide: id=6
date: 10/Jan/2021:19:12:40 , slide: id=8
date: 10/Jan/2021:19:12:50 , slide: id=6
date: 10/Jan/2021:19:12:51 , slide: id=4
date: 10/Jan/2021:19:12:52 , slide: id=2
date: 10/Jan/2021:19:12:56 , slide: id=4
date: 10/Jan/2021:19:12:58 , slide: id=6
date: 10/Jan/2021:19:13:00 , slide: id=8
date: 10/Jan/2021:19:13:16 , slide: id=6
date: 10/Jan/2021:19:13:34 , slide: id=4
date: 10/Jan/2021:19:13:34 , slide: id=2
date: 10/Jan/2021:19:13:47 , slide: id=4
date: 10/Jan/2021:19:13:57 , slide: id=2
date: 10/Jan/2021:19:14:06 , slide: id=0
date: 10/Jan/2021:19:14:58 , slide: id=2
date: 10/Jan/2021:19:15:06 , slide: id=4
date: 10/Jan/2021:19:15:07 , slide: id=6
date: 10/Jan/2021:19:15:09 , slide: id=8
date: 10/Jan/2021:19:15:32 , slide: id=6
date: 10/Jan/2021:19:15:47 , slide: id=4
date: 10/Jan/2021:19:15:48 , slide: id=2
date: 10/Jan/2021:19:15:58 , slide: id=4
date: 10/Jan/2021:19:16:05 , slide: id=2
date: 10/Jan/2021:19:16:17 , slide: id=4
date: 10/Jan/2021:19:16:18 , slide: id=6
date: 10/Jan/2021:19:16:20 , slide: id=8
date: 10/Jan/2021:19:16:30 , slide: id=6
date: 10/Jan/2021:19:16:30 , slide: id=4
date: 10/Jan/2021:19:16:39 , slide: id=6
date: 10/Jan/2021:19:16:44 , slide: id=8
date: 10/Jan/2021:19:16:54 , slide: id=10
date: 10/Jan/2021:19:17:02 , slide: id=8
date: 10/Jan/2021:19:17:02 , slide: id=6
date: 10/Jan/2021:19:17:02 , slide: id=4
date: 10/Jan/2021:19:17:06 , slide: id=6
date: 10/Jan/2021:19:17:07 , slide: id=8
date: 10/Jan/2021:19:17:12 , slide: id=6
date: 10/Jan/2021:19:31:36 , slide: id=8
date: 10/Jan/2021:19:31:42 , slide: id=6
date: 10/Jan/2021:19:31:51 , slide: id=8
date: 10/Jan/2021:19:32:01 , slide: id=6
date: 10/Jan/2021:19:32:14 , slide: id=4
date: 10/Jan/2021:19:32:30 , slide: id=6
date: 10/Jan/2021:19:32:30 , slide: id=8
date: 10/Jan/2021:19:32:39 , slide: id=6
date: 10/Jan/2021:19:32:41 , slide: id=4
date: 10/Jan/2021:19:32:51 , slide: id=6
date: 10/Jan/2021:19:33:07 , slide: id=8
date: 10/Jan/2021:19:33:07 , slide: id=6
date: 10/Jan/2021:19:33:21 , slide: id=8
date: 10/Jan/2021:19:33:30 , slide: id=6
date: 10/Jan/2021:19:33:31 , slide: id=4
date: 10/Jan/2021:19:33:46 , slide: id=6
date: 10/Jan/2021:19:33:47 , slide: id=8
date: 10/Jan/2021:19:34:05 , slide: id=6
date: 10/Jan/2021:19:34:05 , slide: id=4
date: 10/Jan/2021:19:34:06 , slide: id=2
date: 10/Jan/2021:19:34:18 , slide: id=4
date: 10/Jan/2021:19:34:25 , slide: id=2
date: 10/Jan/2021:19:34:37 , slide: id=0
date: 10/Jan/2021:19:34:40 , slide: id=2
date: 10/Jan/2021:19:34:40 , slide: id=4
date: 10/Jan/2021:19:34:41 , slide: id=6
date: 10/Jan/2021:19:34:45 , slide: id=8
date: 10/Jan/2021:19:34:52 , slide: id=6
date: 10/Jan/2021:19:35:01 , slide: id=8
date: 10/Jan/2021:19:35:04 , slide: id=6
date: 10/Jan/2021:19:35:05 , slide: id=4
date: 10/Jan/2021:19:35:21 , slide: id=6
date: 10/Jan/2021:19:35:26 , slide: id=4
date: 10/Jan/2021:19:35:43 , slide: id=6
date: 10/Jan/2021:19:35:44 , slide: id=8
date: 10/Jan/2021:19:35:51 , slide: id=6
date: 10/Jan/2021:19:35:51 , slide: id=4
date: 10/Jan/2021:19:36:07 , slide: id=2
date: 10/Jan/2021:19:36:14 , slide: id=4
date: 10/Jan/2021:19:36:26 , slide: id=6
