date: 22/Dec/2020:18:13:54 , slide: id=6
date: 22/Dec/2020:18:13:55 , slide: id=4
date: 22/Dec/2020:18:15:03 , slide: id=6
date: 22/Dec/2020:18:15:19 , slide: id=8
date: 22/Dec/2020:18:15:26 , slide: id=10
date: 22/Dec/2020:18:15:37 , slide: id=8
date: 22/Dec/2020:18:16:00 , slide: id=6
date: 22/Dec/2020:18:16:10 , slide: id=8
date: 22/Dec/2020:18:16:27 , slide: id=4
date: 22/Dec/2020:18:16:38 , slide: id=8
date: 22/Dec/2020:18:16:59 , slide: id=4
date: 22/Dec/2020:18:17:11 , slide: id=8
date: 22/Dec/2020:18:17:26 , slide: id=10
date: 22/Dec/2020:18:17:37 , slide: id=8
date: 22/Dec/2020:18:17:48 , slide: id=6
date: 22/Dec/2020:18:17:59 , slide: id=8
date: 22/Dec/2020:18:18:25 , slide: id=10
date: 22/Dec/2020:18:18:26 , slide: id=8
date: 22/Dec/2020:18:18:27 , slide: id=6
date: 22/Dec/2020:18:18:47 , slide: id=4
date: 22/Dec/2020:18:18:58 , slide: id=6
date: 22/Dec/2020:18:18:59 , slide: id=8
date: 22/Dec/2020:18:19:09 , slide: id=6
date: 22/Dec/2020:18:19:25 , slide: id=8
date: 22/Dec/2020:18:24:41 , slide: id=8
date: 22/Dec/2020:18:25:14 , slide: id=2
date: 22/Dec/2020:18:25:23 , slide: id=6
date: 22/Dec/2020:18:25:46 , slide: id=4
date: 22/Dec/2020:18:25:58 , slide: id=6
date: 22/Dec/2020:18:26:09 , slide: id=4
date: 22/Dec/2020:18:26:10 , slide: id=8
date: 22/Dec/2020:18:26:22 , slide: id=6
date: 22/Dec/2020:18:26:54 , slide: id=8
date: 22/Dec/2020:18:27:05 , slide: id=4
date: 22/Dec/2020:18:27:16 , slide: id=8
date: 22/Dec/2020:18:27:28 , slide: id=4
date: 22/Dec/2020:18:27:40 , slide: id=8
date: 22/Dec/2020:18:27:53 , slide: id=6
date: 22/Dec/2020:18:28:05 , slide: id=8
date: 22/Dec/2020:18:28:16 , slide: id=6
date: 22/Dec/2020:18:28:28 , slide: id=8
date: 22/Dec/2020:18:28:40 , slide: id=6
date: 22/Dec/2020:18:28:51 , slide: id=8
date: 22/Dec/2020:18:29:03 , slide: id=6
date: 22/Dec/2020:18:29:04 , slide: id=8
date: 22/Dec/2020:18:29:13 , slide: id=6
date: 22/Dec/2020:18:29:50 , slide: id=8
date: 22/Dec/2020:18:30:02 , slide: id=6
