condition4
date: 28/Dec/2020:11:36:15 , slide: id=8
date: 28/Dec/2020:11:36:17 , slide: id=10
date: 28/Dec/2020:11:36:22 , slide: id=8
date: 28/Dec/2020:11:36:23 , slide: id=6
date: 28/Dec/2020:11:36:28 , slide: id=4
date: 28/Dec/2020:11:36:33 , slide: id=6
date: 28/Dec/2020:11:36:34 , slide: id=4
date: 28/Dec/2020:11:36:37 , slide: id=2
date: 28/Dec/2020:11:36:46 , slide: id=0
date: 28/Dec/2020:11:36:55 , slide: id=2
date: 28/Dec/2020:11:37:02 , slide: id=0
date: 28/Dec/2020:11:37:05 , slide: id=2
date: 28/Dec/2020:11:37:06 , slide: id=6
date: 28/Dec/2020:11:37:06 , slide: id=4
date: 28/Dec/2020:11:37:14 , slide: id=8
date: 28/Dec/2020:11:37:18 , slide: id=10
date: 28/Dec/2020:11:37:30 , slide: id=8
date: 28/Dec/2020:11:37:32 , slide: id=6
date: 28/Dec/2020:11:37:33 , slide: id=4
date: 28/Dec/2020:11:37:35 , slide: id=2
date: 28/Dec/2020:11:37:40 , slide: id=4
date: 28/Dec/2020:11:37:40 , slide: id=6
date: 28/Dec/2020:11:37:44 , slide: id=8
date: 28/Dec/2020:11:37:46 , slide: id=6
date: 28/Dec/2020:11:37:46 , slide: id=4
date: 28/Dec/2020:11:37:48 , slide: id=2
date: 28/Dec/2020:11:37:49 , slide: id=0
date: 28/Dec/2020:11:37:52 , slide: id=2
date: 28/Dec/2020:11:37:54 , slide: id=4
date: 28/Dec/2020:11:37:55 , slide: id=6
date: 28/Dec/2020:11:37:56 , slide: id=4
date: 28/Dec/2020:11:37:57 , slide: id=2
date: 28/Dec/2020:11:38:01 , slide: id=4
date: 28/Dec/2020:11:38:03 , slide: id=6
date: 28/Dec/2020:11:38:06 , slide: id=8
date: 28/Dec/2020:11:38:07 , slide: id=10
date: 28/Dec/2020:11:38:30 , slide: id=8
date: 28/Dec/2020:11:38:31 , slide: id=6
date: 28/Dec/2020:11:38:32 , slide: id=4
date: 28/Dec/2020:11:38:33 , slide: id=2
date: 28/Dec/2020:11:38:38 , slide: id=4
date: 28/Dec/2020:11:38:46 , slide: id=2
date: 28/Dec/2020:11:38:48 , slide: id=0
date: 28/Dec/2020:11:38:51 , slide: id=2
date: 28/Dec/2020:11:38:52 , slide: id=4
date: 28/Dec/2020:11:38:53 , slide: id=6
date: 28/Dec/2020:11:38:53 , slide: id=8
date: 28/Dec/2020:11:38:54 , slide: id=10
date: 28/Dec/2020:11:39:05 , slide: id=8
date: 28/Dec/2020:11:39:06 , slide: id=6
date: 28/Dec/2020:11:39:15 , slide: id=8
date: 28/Dec/2020:11:39:23 , slide: id=10
date: 28/Dec/2020:11:39:26 , slide: id=8
date: 28/Dec/2020:11:39:28 , slide: id=6
date: 28/Dec/2020:11:39:29 , slide: id=4
date: 28/Dec/2020:11:39:31 , slide: id=2
date: 28/Dec/2020:11:39:57 , slide: id=0
date: 28/Dec/2020:11:40:00 , slide: id=2
date: 28/Dec/2020:11:40:02 , slide: id=4
date: 28/Dec/2020:11:40:05 , slide: id=6
date: 28/Dec/2020:11:40:14 , slide: id=4
date: 28/Dec/2020:11:40:14 , slide: id=6
date: 28/Dec/2020:11:40:14 , slide: id=8
date: 28/Dec/2020:11:40:15 , slide: id=10
date: 28/Dec/2020:11:40:24 , slide: id=8
date: 28/Dec/2020:11:40:26 , slide: id=6
date: 28/Dec/2020:11:40:27 , slide: id=4
date: 28/Dec/2020:11:40:28 , slide: id=2
date: 28/Dec/2020:11:40:37 , slide: id=4
date: 28/Dec/2020:11:40:50 , slide: id=2
date: 28/Dec/2020:11:40:52 , slide: id=4
date: 28/Dec/2020:11:40:54 , slide: id=6
date: 28/Dec/2020:11:41:00 , slide: id=4
date: 28/Dec/2020:11:41:02 , slide: id=2
condition3
date: 28/Dec/2020:11:59:20 , slide: id=6
date: 28/Dec/2020:11:59:22 , slide: id=8
date: 28/Dec/2020:11:59:24 , slide: id=6
date: 28/Dec/2020:11:59:30 , slide: id=8
date: 28/Dec/2020:11:59:32 , slide: id=10
date: 28/Dec/2020:11:59:38 , slide: id=8
date: 28/Dec/2020:11:59:45 , slide: id=10
date: 28/Dec/2020:11:59:49 , slide: id=8
date: 28/Dec/2020:11:59:51 , slide: id=6
date: 28/Dec/2020:11:59:57 , slide: id=8
date: 28/Dec/2020:11:59:58 , slide: id=10
date: 28/Dec/2020:12:00:07 , slide: id=8
date: 28/Dec/2020:12:00:09 , slide: id=6
date: 28/Dec/2020:12:00:10 , slide: id=4
date: 28/Dec/2020:12:00:11 , slide: id=2
date: 28/Dec/2020:12:00:15 , slide: id=4
date: 28/Dec/2020:12:00:17 , slide: id=2
date: 28/Dec/2020:12:00:20 , slide: id=4
date: 28/Dec/2020:12:00:21 , slide: id=6
date: 28/Dec/2020:12:00:25 , slide: id=8
date: 28/Dec/2020:12:00:33 , slide: id=6
date: 28/Dec/2020:12:00:34 , slide: id=4
date: 28/Dec/2020:12:00:40 , slide: id=2
date: 28/Dec/2020:12:00:46 , slide: id=4
date: 28/Dec/2020:12:00:48 , slide: id=6
date: 28/Dec/2020:12:00:49 , slide: id=4
date: 28/Dec/2020:12:00:50 , slide: id=2
date: 28/Dec/2020:12:00:50 , slide: id=0
date: 28/Dec/2020:12:01:07 , slide: id=2
date: 28/Dec/2020:12:01:08 , slide: id=4
date: 28/Dec/2020:12:01:09 , slide: id=6
date: 28/Dec/2020:12:01:09 , slide: id=8
date: 28/Dec/2020:12:01:15 , slide: id=10
date: 28/Dec/2020:12:01:16 , slide: id=8
date: 28/Dec/2020:12:01:17 , slide: id=10
date: 28/Dec/2020:12:01:24 , slide: id=8
date: 28/Dec/2020:12:01:34 , slide: id=10
date: 28/Dec/2020:12:01:46 , slide: id=8
date: 28/Dec/2020:12:01:47 , slide: id=10
date: 28/Dec/2020:12:01:50 , slide: id=8
date: 28/Dec/2020:12:01:50 , slide: id=6
date: 28/Dec/2020:12:01:52 , slide: id=8
date: 28/Dec/2020:12:01:55 , slide: id=10
date: 28/Dec/2020:12:02:10 , slide: id=8
date: 28/Dec/2020:12:02:11 , slide: id=6
date: 28/Dec/2020:12:02:18 , slide: id=8
date: 28/Dec/2020:12:02:20 , slide: id=10
date: 28/Dec/2020:12:02:26 , slide: id=8
date: 28/Dec/2020:12:02:27 , slide: id=6
date: 28/Dec/2020:12:02:32 , slide: id=8
date: 28/Dec/2020:12:02:34 , slide: id=10
date: 28/Dec/2020:12:02:43 , slide: id=8
date: 28/Dec/2020:12:02:47 , slide: id=10
date: 28/Dec/2020:12:03:48 , slide: id=8
date: 28/Dec/2020:12:03:49 , slide: id=6
date: 28/Dec/2020:12:03:51 , slide: id=4
date: 28/Dec/2020:12:03:53 , slide: id=2
date: 28/Dec/2020:12:03:56 , slide: id=4
date: 28/Dec/2020:12:03:59 , slide: id=6
date: 28/Dec/2020:12:04:03 , slide: id=4
date: 28/Dec/2020:12:04:05 , slide: id=6
date: 28/Dec/2020:12:04:09 , slide: id=8
date: 28/Dec/2020:12:04:15 , slide: id=10
