condition4
date: 21/Dec/2020:10:08:45 , slide: id=6
date: 21/Dec/2020:10:08:46 , slide: id=8
date: 21/Dec/2020:10:08:47 , slide: id=10
date: 21/Dec/2020:10:08:47 , slide: id=8
date: 21/Dec/2020:10:08:57 , slide: id=6
date: 21/Dec/2020:10:08:58 , slide: id=8
date: 21/Dec/2020:10:09:21 , slide: id=6
date: 21/Dec/2020:10:09:22 , slide: id=4
date: 21/Dec/2020:10:09:23 , slide: id=2
date: 21/Dec/2020:10:09:23 , slide: id=4
date: 21/Dec/2020:10:09:23 , slide: id=6
date: 21/Dec/2020:10:09:26 , slide: id=8
date: 21/Dec/2020:10:09:27 , slide: id=6
date: 21/Dec/2020:10:10:23 , slide: id=4
date: 21/Dec/2020:10:10:24 , slide: id=6
date: 21/Dec/2020:10:10:24 , slide: id=8
date: 21/Dec/2020:10:10:24 , slide: id=10
date: 21/Dec/2020:10:10:25 , slide: id=8
date: 21/Dec/2020:10:10:26 , slide: id=10
date: 21/Dec/2020:10:10:27 , slide: id=8
date: 21/Dec/2020:10:10:45 , slide: id=6
date: 21/Dec/2020:10:10:47 , slide: id=8
date: 21/Dec/2020:10:10:48 , slide: id=6
date: 21/Dec/2020:10:10:57 , slide: id=8
date: 21/Dec/2020:10:10:58 , slide: id=6
date: 21/Dec/2020:10:11:10 , slide: id=8
date: 21/Dec/2020:10:11:12 , slide: id=6
date: 21/Dec/2020:10:11:13 , slide: id=8
date: 21/Dec/2020:10:11:15 , slide: id=10
date: 21/Dec/2020:10:11:16 , slide: id=8
date: 21/Dec/2020:10:11:17 , slide: id=6
date: 21/Dec/2020:10:11:18 , slide: id=8
date: 21/Dec/2020:10:11:22 , slide: id=10
date: 21/Dec/2020:10:11:32 , slide: id=8
date: 21/Dec/2020:10:11:33 , slide: id=6
date: 21/Dec/2020:10:11:34 , slide: id=4
date: 21/Dec/2020:10:11:35 , slide: id=2
date: 21/Dec/2020:10:11:37 , slide: id=4
date: 21/Dec/2020:10:11:40 , slide: id=2
date: 21/Dec/2020:10:11:41 , slide: id=4
date: 21/Dec/2020:10:11:43 , slide: id=6
date: 21/Dec/2020:10:11:45 , slide: id=4
date: 21/Dec/2020:10:12:08 , slide: id=6
date: 21/Dec/2020:10:12:10 , slide: id=8
date: 21/Dec/2020:10:12:11 , slide: id=10
date: 21/Dec/2020:10:12:44 , slide: id=8
date: 21/Dec/2020:10:12:45 , slide: id=6
date: 21/Dec/2020:10:12:46 , slide: id=8
date: 21/Dec/2020:10:12:47 , slide: id=6
date: 21/Dec/2020:10:12:48 , slide: id=4
date: 21/Dec/2020:10:12:49 , slide: id=6
date: 21/Dec/2020:10:12:57 , slide: id=8
date: 21/Dec/2020:10:12:58 , slide: id=10
date: 21/Dec/2020:10:13:09 , slide: id=8
