condition3
date: 11/Jan/2021:18:23:11 , slide: id=8
date: 11/Jan/2021:18:23:52 , slide: id=6
date: 11/Jan/2021:18:23:53 , slide: id=4
date: 11/Jan/2021:18:23:59 , slide: id=8
date: 11/Jan/2021:18:24:15 , slide: id=10
date: 11/Jan/2021:18:24:41 , slide: id=6
date: 11/Jan/2021:18:24:47 , slide: id=8
date: 11/Jan/2021:18:24:47 , slide: id=10
date: 11/Jan/2021:18:24:48 , slide: id=8
date: 11/Jan/2021:18:24:51 , slide: id=10
date: 11/Jan/2021:18:25:00 , slide: id=8
date: 11/Jan/2021:18:25:19 , slide: id=10
date: 11/Jan/2021:18:25:23 , slide: id=8
date: 11/Jan/2021:18:25:30 , slide: id=6
date: 11/Jan/2021:18:25:41 , slide: id=8
date: 11/Jan/2021:18:25:44 , slide: id=6
date: 11/Jan/2021:18:25:53 , slide: id=8
date: 11/Jan/2021:18:26:04 , slide: id=10
date: 11/Jan/2021:18:26:14 , slide: id=8
date: 11/Jan/2021:18:26:26 , slide: id=6
date: 11/Jan/2021:18:26:35 , slide: id=4
date: 11/Jan/2021:18:26:49 , slide: id=8
date: 11/Jan/2021:18:27:06 , slide: id=4
date: 11/Jan/2021:18:27:12 , slide: id=8
date: 11/Jan/2021:18:27:27 , slide: id=4
date: 11/Jan/2021:18:27:37 , slide: id=6
condition4
date: 11/Jan/2021:18:34:00 , slide: id=6
date: 11/Jan/2021:18:34:34 , slide: id=4
date: 11/Jan/2021:18:34:58 , slide: id=8
date: 11/Jan/2021:18:35:11 , slide: id=10
date: 11/Jan/2021:18:35:33 , slide: id=6
date: 11/Jan/2021:18:35:43 , slide: id=8
date: 11/Jan/2021:18:35:54 , slide: id=4
date: 11/Jan/2021:18:35:56 , slide: id=6
date: 11/Jan/2021:18:36:07 , slide: id=10
date: 11/Jan/2021:18:36:14 , slide: id=8
date: 11/Jan/2021:18:36:18 , slide: id=6
date: 11/Jan/2021:18:36:30 , slide: id=8
date: 11/Jan/2021:18:36:45 , slide: id=6
date: 11/Jan/2021:18:37:12 , slide: id=4
date: 11/Jan/2021:18:37:18 , slide: id=6
date: 11/Jan/2021:18:37:32 , slide: id=8
date: 11/Jan/2021:18:37:41 , slide: id=4
date: 11/Jan/2021:18:37:48 , slide: id=6
date: 11/Jan/2021:18:38:01 , slide: id=8
date: 11/Jan/2021:18:38:04 , slide: id=6
date: 11/Jan/2021:18:38:06 , slide: id=4
date: 11/Jan/2021:18:38:22 , slide: id=2
date: 11/Jan/2021:18:38:36 , slide: id=6
