date: 28/Dec/2020:16:24:17 , slide: id=6
date: 28/Dec/2020:16:24:18 , slide: id=8
date: 28/Dec/2020:16:25:06 , slide: id=10
date: 28/Dec/2020:16:27:50 , slide: id=8
date: 28/Dec/2020:16:27:51 , slide: id=6
date: 28/Dec/2020:16:33:48 , slide: id=8
date: 28/Dec/2020:16:33:49 , slide: id=10
date: 28/Dec/2020:16:33:57 , slide: id=6
date: 28/Dec/2020:16:34:11 , slide: id=8
date: 28/Dec/2020:16:34:22 , slide: id=10
date: 28/Dec/2020:16:35:42 , slide: id=8
date: 28/Dec/2020:16:35:45 , slide: id=6
date: 28/Dec/2020:16:35:54 , slide: id=8
date: 28/Dec/2020:16:36:06 , slide: id=10
date: 28/Dec/2020:16:36:43 , slide: id=6
date: 28/Dec/2020:16:37:04 , slide: id=8
date: 28/Dec/2020:16:37:53 , slide: id=10
date: 28/Dec/2020:16:38:03 , slide: id=8
date: 28/Dec/2020:16:38:38 , slide: id=6
